Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Participação,Pressão na linha alta,Impacto do passe,Criação de oportunidades,Drible,Efetividade,Ameaça ofensiva,rating,percentil,rank
BEL1,2022,275825.0,Kristiyan Malinov,OH Leuven,1433.0,MC,Meio Campo,Segundo Volante,0.0430138232090617,0.0,-0.223148186081255,-0.1361582668509718,-0.3074484983593123,-0.6482557405423945,-0.2462071952956281,0.162,6.0,101
BEL1,2022,290832.0,Alessio da Cruz,KV Mechelen,1936.0,MC,Meio Campo,Segundo Volante,0.1271243727091638,0.0,-0.2708107895842401,-0.1361582668509718,-0.185882460293326,-0.0214532926730457,-0.0121074305942835,0.33,28.0,77
BEL1,2022,294044.0,Amadou Diawara,Anderlecht,1678.0,MC,Meio Campo,Segundo Volante,-0.1691493705991617,0.0,-0.1787138279471479,-0.0248986270587963,0.5832595482770127,-0.3057358878850012,-0.247427869514901,0.411,46.0,58
BEL1,2022,297527.0,Bart Nieuwkoop,Union St.Gilloise,2954.0,DMR,Meio Campo,Primeiro Volante,0.0625106425103577,0.0,-0.1404147578568477,0.053442622354787,-0.1067023418302592,0.3345103188065392,0.0271137120028501,0.473,58.0,46
BEL1,2022,299470.0,Gojko Cimirot,Standard Liege,2823.0,MC,Meio Campo,Segundo Volante,-0.2175426575860729,0.0,-0.1432218647676909,-0.1361582668509718,0.2332109118968371,-0.5782561689983132,-0.2233104923839767,0.29,21.0,85
BEL1,2022,317306.0,Alessio Castro-Montes,Gent,2339.0,ML,Meio Campo,Segundo Volante,-0.0642392111997405,0.0,-0.0006643267106345,-0.0563405346700096,0.0102766701659218,0.0117818096239175,0.1078973676250358,0.456,55.0,49
BEL1,2022,319466.0,Abdoulaye Sissako,Zulte Waregem,2561.0,MC,Meio Campo,Segundo Volante,0.0497335851414444,0.0,-0.3527061765328138,-0.0632595259016276,0.3034227698060369,-0.5253913422525198,-0.1751241384044632,0.296,23.0,83
BEL1,2022,322667.0,Faïz Selemani,Kortrijk,2230.0,MC,Meio Campo,Segundo Volante,0.0352074707045103,0.0,0.3130538635610991,0.0312800072039793,-0.0664311072835502,0.2932580241945616,0.2537132130930943,0.591,80.0,22
BEL1,2022,327684.0,Bryan Heynen,Genk,3569.0,DMC,Meio Campo,Primeiro Volante,0.2853037164494886,0.0,-0.1151065261364475,0.1777005320920439,0.0261262379241363,0.8641216790403485,0.0062509226071573,0.615,83.0,19
BEL1,2022,331043.0,Sofian Kiyine,OH Leuven,1136.0,ML,Meio Campo,Segundo Volante,-0.1006577246895241,0.0,0.1327099083269814,-0.1361582668509718,0.0903332578893835,0.2489531868196571,0.087770584928686,0.519,63.0,40
BEL1,2022,332554.0,Filippo Melegoni,Standard Liege,1317.0,DMR,Meio Campo,Primeiro Volante,-0.1568296890262374,0.0,-0.0444063715953409,-0.1361582668509718,0.0831054296944499,-0.2901927868477847,0.16133436047764,0.402,44.0,60
BEL1,2022,332815.0,Kenny Rocha,Oostende,1342.0,MC,Meio Campo,Segundo Volante,-0.0523391515006791,0.0,0.1835599075424682,-0.1361582668509718,-0.1494076086669405,-0.7633462112330603,-0.1031519786560437,0.268,19.0,87
BEL1,2022,332875.0,Frank Boya,St.Truiden,2510.0,MC,Meio Campo,Segundo Volante,0.3443179563996768,0.0,-0.4137637164271182,-0.0617783164241708,0.1264583129456299,-0.4197282424404405,-0.2016744674406159,0.268,18.0,88
BEL1,2022,339671.0,Aron Dønnum,Standard Liege,3236.0,DML,Meio Campo,Primeiro Volante,-0.1222333195082199,0.0,0.2083787297509137,0.0369199243461269,0.0839224364216001,0.3047513005316683,0.4073569094425057,0.63,85.0,17
BEL1,2022,355963.0,Jurgen Ekkelenkamp,Royal Antwerp,2491.0,AMC,Meio Campo,Meia,0.0294727107811619,0.0,-0.2474179781610239,0.0886835744632841,-0.330904124187843,0.8907860141384538,0.1040797767517101,0.533,66.0,37
BEL1,2022,362146.0,Steven Alzate,Standard Liege,2387.0,MC,Meio Campo,Segundo Volante,0.0265952395269126,0.0,0.0738582848985693,0.0202671001965945,0.1485977020752303,-0.0694515647628395,-0.1487942720656394,0.447,51.0,53
BEL1,2022,363677.0,William Balikwisha,Standard Liege,2681.0,MC,Meio Campo,Segundo Volante,-0.1805536711777661,0.0,-0.0892335862083506,0.2120209117601258,0.0237609624335563,0.2988087089614274,0.1261222240328446,0.545,69.0,34
BEL1,2022,364201.0,Alfons Amade,Oostende,1419.0,MC,Meio Campo,Segundo Volante,-0.1382079254930083,0.0,-0.241974003228243,-0.1361582668509718,-0.2711163374028918,-0.3198705592831712,-0.1943598175542085,0.233,11.0,95
BEL1,2022,364234.0,Ryota Morioka,Sporting Charleroi,1097.0,MC,Meio Campo,Segundo Volante,-0.0196913065003716,0.0,0.3766869871837083,0.2042130650930036,-0.0866752539371748,0.28022627274986,-0.031382714201641,0.576,78.0,24
BEL1,2022,366551.0,Jón Thorsteinsson,OH Leuven,2260.0,ML,Meio Campo,Segundo Volante,-0.1103881567446127,0.0,-0.0079793104031536,0.1942730173459672,-0.3122430010677041,1.1900655658884438,0.255613255683805,0.68,92.0,10
BEL1,2022,367188.0,Yari Verschaeren,Anderlecht,2420.0,MC,Meio Campo,Segundo Volante,-0.1439510076687514,0.0,-0.1219914336865967,0.0181340270095823,0.1617161368271872,0.567948940243543,0.1803640931784869,0.587,79.0,23
BEL1,2022,367190.0,Sieben Dewaele,Oostende,1439.0,MC,Meio Campo,Segundo Volante,-0.0242042197818294,0.0,0.0471907870033916,-0.1361582668509718,-0.3237249164310301,-0.5972859067656648,-0.1596212839670148,0.232,10.0,96
BEL1,2022,368548.0,Isaac Christie-Davies,Eupen,1458.0,MC,Meio Campo,Segundo Volante,0.0136105371245841,0.0,-0.0424321440524198,-0.1361582668509718,0.2545752007704587,-0.4234095031356552,-0.1185788113296403,0.359,36.0,69
BEL1,2022,369862.0,Casper De Norre,OH Leuven,3311.0,MC,Meio Campo,Segundo Volante,-0.15374739098272,0.0,0.0987277080831224,-0.0233864906073774,0.1995102507001156,0.0757889290460421,-0.1335832220138173,0.482,58.0,45
BEL1,2022,376861.0,Stjepan Loncar,Kortrijk,1282.0,MC,Meio Campo,Segundo Volante,-0.0154446562759243,0.0,-0.0934719060184655,-0.1361582668509718,0.3409518341521231,-0.3773259130179529,-0.102196094293781,0.376,41.0,64
BEL1,2022,377276.0,Andreas Skov Olsen,Club Bruges,1690.0,DMR,Meio Campo,Primeiro Volante,-0.1697020438298492,0.0,0.4987905566244143,0.4161898857267517,0.0654044021053367,1.2787473148097623,0.8423424482548194,1.0,100.0,1
BEL1,2022,380615.0,Sambou Sissoko,RFC Seraing,2502.0,MC,Meio Campo,Segundo Volante,-0.0144526084196672,0.0,-0.2391088338908598,-0.1361582668509718,-0.2123063044331035,-0.382656622681035,-0.1930493489122539,0.233,12.0,94
BEL1,2022,381660.0,Sami Lahssaini,RFC Seraing,1618.0,MC,Meio Campo,Segundo Volante,-0.1589247502178584,0.0,-0.1444067576697001,-0.1361582668509718,0.0915403772057691,-0.8436921193821242,-0.271319499593079,0.208,8.0,98
BEL1,2022,383688.0,Majeed Ashimeru,Anderlecht,1985.0,MC,Meio Campo,Segundo Volante,-0.1811872989063665,0.0,0.0471352442984793,0.0519461921629027,0.0616341057433475,0.1423158025457083,-0.1659616853810534,0.467,57.0,47
BEL1,2022,383816.0,Mousa Al Ta'mari,OH Leuven,2987.0,MR,Meio Campo,Segundo Volante,-0.1794090588390144,0.0,-0.1041137369320255,0.1763520705632741,0.0178693022024304,0.7668073611996415,0.2395779040281661,0.64,86.0,16
