Atleta,Equipe_Janela_Análise,Código_Posição_Wyscout,Minutos,Liga,Versão_Temporada,Posição
A. Bencharki,Al Rayyan,10,1712,QAT,2024,Extremo
A. Benedyczak,Parma,10,2127,ITA2,2024,Extremo
A. Benítez,Cerro Porteño,1,2604,PAR,2024,Lateral
A. Bernabéi,Internacional,1,2319,BRA1,2024,Lateral
A. Bernede,Lausanne Sport,8,3424,SWZ,2024,Segundo Volante
A. Bernhardsson,Holstein Kiel,12,980,GER2,2024,Atacante
A. Bernier,Charleroi,10,1286,BEL1,2024,Extremo
A. Bertolacci,Fatih Karagümrük,7,994,TUR,2024,Primeiro Volante
A. Bianco,Reggiana,8,3281,ITA2,2024,Segundo Volante
A. Bianconi,Lecco,4,2098,ITA2,2024,Zagueiro
A. Bjelland,Lyngby,4,1978,DEN,2024,Zagueiro
A. Blagojević,Napredak Kruševac,10,1344,SER,2024,Extremo
A. Blake,Philadelphia Union,0,1214,USA,2024,Goleiro
A. Blin,Lecce,8,2028,ITA1,2024,Segundo Volante
A. Boakye,Wolfsberger AC,11,2161,AUT,2024,Extremo
A. Bobichon,Laval,10,1708,FRA2,2024,Extremo
A. Bodart,Standard Liège,0,3612,BEL1,2024,Goleiro
A. Bogdanov,Kolos Kovalivka,8,1311,UKR,2024,Segundo Volante
A. Bondarenko,Shakhtar Donetsk,8,1853,UKR,2024,Segundo Volante
A. Bonny,Parma,12,2155,ITA2,2024,Atacante
A. Bono,DC United,0,2959,USA,2024,Goleiro
A. Boryachuk,Metalist 1925 Kharkiv,12,1325,UKR,2024,Atacante
A. Bouchalakis,Hertha BSC,7,1649,GER2,2024,Primeiro Volante
A. Boutoutaou,Valenciennes,10,1703,FRA2,2024,Extremo
A. Boutrah,Vitesse,10,2007,HOL,2024,Extremo
A. Bouzat,Vélez Sarsfield,7,2223,ARG1,2024,Primeiro Volante
A. Briançon,Saint-Étienne,4,2962,FRA2,2024,Zagueiro
A. Briedl,Blau-Weiß Linz,8,1435,AUT,2024,Segundo Volante
A. Briseño,Guadalajara,4,2328,MEX,2024,Zagueiro
A. Brody,Real Salt Lake,1,2437,USA,2024,Lateral
A. Brooks,Sheffield United,8,1047,ENG1,2024,Segundo Volante
A. Brown,Gent,1,2595,BEL1,2024,Lateral
A. Browne,Preston North End,8,3510,ENG2,2024,Segundo Volante
A. Budimir,Osasuna,12,2696,SPA1,2024,Atacante
A. Buleza,Karpaty,1,994,UKR,2024,Lateral
A. Buongiorno,Torino,4,2957,ITA1,2024,Zagueiro
A. Burcă,Al Akhdoud,4,2726,SAUD,2024,Zagueiro
A. Busch,Silkeborg,4,1857,DEN,2024,Zagueiro
A. Caci,Mainz 05,1,2680,GER1,2024,Lateral
A. Cadavid,Envigado,4,1040,COL,2024,Zagueiro
A. Cagnano,Südtirol,4,1504,ITA2,2024,Zagueiro
A. Calabresi,Pisa,4,1603,ITA2,2024,Zagueiro
A. Callens,AEK Athens,4,2334,GRE,2024,Zagueiro
A. Camara,Paris,8,2654,FRA2,2024,Segundo Volante
A. Camara,Atromitos,10,1862,GRE,2024,Extremo
A. Cambiaso,Juventus,1,2709,ITA1,2024,Lateral
A. Campuzano,Libertad,7,1164,PAR,2024,Primeiro Volante
A. Candela,Venezia,1,3520,ITA2,2024,Lateral
A. Candreva,Salernitana,9,3189,ITA1,2024,Meia
A. Çankaya,Ankaragücü,1,1692,TUR,2024,Lateral
A. Canobbio,Athletico Paranaense,10,1346,BRA1,2024,Extremo
A. Cantero,Guaraní,1,2656,PAR,2024,Lateral
A. Caporale,Lecco,1,2879,ITA2,2024,Lateral
A. Caracciolo,Pisa,4,2177,ITA2,2024,Zagueiro
A. Carboni,Monza,4,1614,ITA1,2024,Zagueiro
A. Cardozo,Tigre,7,2321,ARG1,2024,Primeiro Volante
A. Carrasquilla,Houston Dynamo,10,2602,USA,2024,Extremo
A. Carroll,Amiens SC,12,1643,FRA2,2024,Atacante
A. Castillo,Estudiantes,10,1039,ARG1,2024,Extremo
A. Castro,Nacional,8,2218,URU,2024,Segundo Volante
Á. Castro,Tolima,10,2688,COL,2024,Extremo
A. Castro-Montes,Union Saint-Gilloise,1,3212,BEL1,2024,Lateral
A. Ćatić,Wehen Wiesbaden,1,1022,GER2,2024,Lateral
A. Čavrić,Kashima Antlers,12,1375,JAP,2024,Atacante
A. Cayetano,Liverpool,1,2951,URU,2024,Lateral
A. Celli,Catania,4,1037,ITA2,2024,Zagueiro
A. Čerin,Panathinaikos,7,2122,GRE,2024,Primeiro Volante
A. Cervantes,Santos Laguna,8,3166,MEX,2024,Segundo Volante
A. Chandarov,Levski Sofia,7,951,BUL,2024,Primeiro Volante
A. Chelyadin,Vorskla,8,2217,UKR,2024,Segundo Volante
A. Chernev,Botev Plovdiv,4,1693,BUL,2024,Zagueiro
A. Cherni,Laval,1,3392,FRA2,2024,Lateral
A. Chernikov,Krasnodar,7,1693,RUS,2024,Primeiro Volante
A. Chopitea,Fénix,1,2814,URU,2024,Lateral
A. Chovan,Panserraikos,0,2787,GRE,2024,Goleiro
A. Christensen,Barcelona,4,2296,SPA1,2024,Zagueiro
A. Cicâldău,Konyaspor,9,2269,TUR,2024,Meia
A. Circati,Parma,4,2820,ITA2,2024,Zagueiro
A. Ćirković,Bačka Topola,10,2436,SER,2024,Extremo
A. Cissé,Novi Pazar,4,2595,SER,2024,Zagueiro
A. Cistana,Brescia,4,2262,ITA2,2024,Zagueiro
