Atleta,Código_Posição_Wyscout,Liga,Versão_Temporada,Posição
A. Barrionuevo,4,ARG2,2023,Zagueiro
A. Bassi,12,USA,2023,Atacante
A. Bastoni,4,ITA1,2023,Zagueiro
A. Bastunov,8,BUL,2023,Segundo Volante
A. Batagov,4,UKR,2023,Zagueiro
A. Batalla,0,ARG1,2023,Goleiro
A. Batista,10,ARG2,2023,Extremo
A. Batsula,1,UKR,2023,Lateral
A. Bayındır,0,TUR,2023,Goleiro
A. Bedoya,4,COL,2023,Zagueiro
A. Bedoya,8,USA,2023,Segundo Volante
A. Bedrane,4,SAUD,2023,Zagueiro
A. Begić,8,GEO,2023,Segundo Volante
A. Begović,0,ENG2,2023,Goleiro
A. Behich,1,SCT,2023,Lateral
A. Bejarano,8,BOL,2023,Segundo Volante
A. Bejarano,8,BOL,2023,Segundo Volante
A. Belenov,0,RUS,2023,Goleiro
A. Bell,4,ENG1,2023,Zagueiro
A. Bell,4,ENG2,2023,Zagueiro
A. Bella-Kotchap,4,ENG1,2023,Zagueiro
A. Bellemo,8,ITA2,2023,Segundo Volante
A. Bellone,1,ARG2,2023,Lateral
A. Belotti,12,ITA1,2023,Atacante
A. Belousov,1,BUL,2023,Lateral
A. Benamara,7,ALG,2023,Primeiro Volante
A. Bencharki,10,UAE,2023,Extremo
A. Bendouma,1,ALG,2023,Lateral
A. Benedyczak,10,ITA2,2023,Extremo
A. Benga,4,ROM,2023,Zagueiro
A. Benítez,8,ARG2,2023,Segundo Volante
A. Benítez,1,PAR,2023,Lateral
A. Benítez,1,PAR,2023,Lateral
A. Bennett,4,CRC,2023,Zagueiro
A. Berlian,7,INDO,2023,Primeiro Volante
A. Bernede,8,SWZ,2023,Segundo Volante
A. Bernhardsson,10,SWE,2023,Extremo
A. Bernier,12,BEL1,2023,Atacante
A. Berrondo,10,ARG2,2023,Extremo
A. Bertolacci,7,TUR,2023,Primeiro Volante
A. Bessak,0,MOR,2023,Goleiro
A. Bianco,8,ITA2,2023,Segundo Volante
A. Bianconi,4,ITA2,2023,Zagueiro
A. Bindella,1,ARG2,2023,Lateral
A. Bjarnason,1,SWE,2023,Lateral
A. Bjelland,4,DEN,2023,Zagueiro
A. Blake,0,USA,2023,Goleiro
A. Blin,8,ITA1,2023,Segundo Volante
A. Bliznichenko,10,UKR,2023,Extremo
A. Boakye,11,AUT,2023,Extremo
A. Bobek,0,POL,2023,Goleiro
A. Bobichon,10,FRA2,2023,Extremo
A. Bodart,0,BEL1,2023,Goleiro
