Atleta,Código_Posição_Wyscout,Liga,Versão_Temporada,Posição
B. Samudio,12,PAR,2023,Atacante
B. Sánchez,10,ARG2,2023,Extremo
B. Sangaré,12,POR2,2023,Atacante
B. Santamaria,7,FRA1,2023,Primeiro Volante
B. Santelli,12,FRA2,2023,Atacante
B. Schenkeveld,4,GRE,2023,Zagueiro
B. Schmitz,1,GER1,2023,Lateral
B. Scorza,12,URU,2023,Atacante
B. Seck,0,QAT,2023,Goleiro
B. Segura,0,CRC,2023,Goleiro
B. Sekulić,1,POL,2023,Lateral
B. Şen,0,TUR,2023,Goleiro
B. Sepúlveda,12,ARG1,2023,Atacante
B. Sequeira,1,CRC,2023,Lateral
B. Servania,8,USA,2023,Segundo Volante
B. Šeško,12,AUT,2023,Atacante
B. Setiawan,1,INDO,2023,Lateral
B. Shamsiev,1,UZB,2023,Lateral
B. Sharp,12,ENG2,2023,Atacante
B. Shaydulov,1,UZB,2023,Lateral
B. Sheaf,8,ENG2,2023,Segundo Volante
B. Shubitidze,10,GEO,2023,Extremo
B. Singh,10,IND,2023,Extremo
B. Singh,11,IND,2023,Extremo
B. Slisz,8,POL,2023,Segundo Volante
B. Slyubyk,4,UKR,2023,Zagueiro
B. Sosa,1,ARG2,2023,Lateral
B. Sosa,1,GER1,2023,Lateral
B. Soufi,4,MOR,2023,Zagueiro
B. Soumaré,7,ENG1,2023,Primeiro Volante
B. Soumaré,9,FRA2,2023,Meia
B. Souyad,4,ALG,2023,Zagueiro
B. Spencer,1,SCT,2023,Lateral
B. Śpiączka,12,POL,2023,Atacante
B. Spittal,8,SCT,2023,Segundo Volante
B. Stambouli,8,TUR,2023,Segundo Volante
B. Stillhart,4,SWZ,2023,Zagueiro
B. Stuver,0,USA,2023,Goleiro
B. Sylla,7,MOR,2023,Primeiro Volante
B. Teidi,7,GEO,2023,Primeiro Volante
B. Tekpetey,10,BUL,2023,Extremo
B. Thomas,4,ENG2,2023,Zagueiro
B. Thomas-Asante,12,ENG2,2023,Atacante
B. Toma,9,BEL2,2023,Meia
B. Tomiak,4,GER2,2023,Zagueiro
B. Toshmirzaev,10,UZB,2023,Extremo
B. Touré,8,FRA1,2023,Segundo Volante
B. Touré,8,SAUD,2023,Segundo Volante
B. Traoré,4,BEL2,2023,Zagueiro
B. Traoré,1,BUL,2023,Lateral
B. Traoré,8,FRA2,2023,Segundo Volante
B. Traoré,12,SWE,2023,Atacante
B. Tsonev,9,CHN,2023,Meia
B. Tuiloma,4,USA,2023,Zagueiro
B. Tyutyukov,10,BUL,2023,Extremo
B. Uraezaña,0,BOL,2023,Goleiro
B. Utvik,4,NOR,2023,Zagueiro
B. Vachiberadze,8,UKR,2023,Segundo Volante
B. Valdez,4,ARG1,2023,Zagueiro
B. van den Boomen,7,FRA1,2023,Primeiro Volante
B. Van Durmen,10,ROM,2023,Extremo
B. van Polen,1,HOL,2023,Lateral
B. van Rooij,1,HOL,2023,Lateral
B. Varga,1,SER,2023,Lateral
B. Vătăjelu,1,ROM,2023,Lateral
B. Vázquez,12,USA,2023,Atacante
B. Vega,10,CRC,2023,Extremo
B. Veglio,9,URU,2023,Meia
B. Vera,4,USA,2023,Zagueiro
B. Verbič,10,GRE,2023,Extremo
B. Verbruggen,0,BEL1,2023,Goleiro
B. Verbruggen,0,BEL2,2023,Goleiro
B. Verstraete,7,BEL1,2023,Primeiro Volante
B. Vliet,1,CAN,2023,Lateral
B. Vriends,4,HOL,2023,Zagueiro
B. Warland,4,AUS,2023,Zagueiro
B. Wdowik,1,POL,2023,Lateral
B. Wembangomo,1,NOR,2023,Lateral
B. White,1,ENG1,2023,Lateral
B. White,12,USA,2023,Atacante
B. Whiteman,7,ENG2,2023,Primeiro Volante
B. Wiles,9,ENG2,2023,Meia
B. Willemen,4,BRA1,2023,Zagueiro
B. Wilmot,4,ENG2,2023,Zagueiro
B. Wilson,0,ENG2,2023,Goleiro
B. Wood,12,USA,2023,Atacante
B. Woodburn,9,ENG2,2023,Meia
B. Wright,12,CAN,2023,Atacante
B. Yıldırım,12,TUR,2023,Atacante
B. Yılmaz,10,TUR,2023,Extremo
B. Youssouf,1,FRA2,2023,Lateral
B. Zapelli,10,ARG1,2023,Extremo
B. Zapelli,11,BRA1,2023,Extremo
B. Zech,4,POL,2023,Zagueiro
B. Zimmermann,12,AUT,2023,Atacante
Ba Dun,10,CHN,2023,Extremo
Baba Alhassan,8,ROM,2023,Segundo Volante
Bader Munshi,8,SAUD,2023,Segundo Volante
Bae-Jong Park,0,KOR,2023,Goleiro
Bahaa Ellithi,4,QAT,2023,Zagueiro
Bai Yang,4,CHN,2023,Zagueiro
Baltazar Costa,1,SWZ,2023,Lateral
Bambo Diaby,4,ENG2,2023,Zagueiro
Bandar Al Ahbabi,1,UAE,2023,Lateral
Bandar Nasser,1,SAUD,2023,Lateral
Ban-Suk Oh,4,KOR,2023,Zagueiro
Bao Yaxiong,0,CHN,2023,Goleiro
Barbu,4,SPA2,2023,Zagueiro
Barrenetxea,10,SPA1,2023,Extremo
Bashar Rasan,10,QAT,2023,Extremo
Basilio Ndong,1,ROM,2023,Lateral
Bassam Al Rawi,1,QAT,2023,Lateral
Batxi,11,RUS,2023,Extremo
Bebé,10,SPA2,2023,Extremo
Bebeto,8,POR2,2023,Segundo Volante
Beñat Prados,4,SPA2,2023,Zagueiro
Beni,8,POR1,2023,Segundo Volante
Benito,10,UKR,2023,Extremo
Benny,10,POR1,2023,Extremo
Bento,0,BRA1,2023,Goleiro
Beraldo,4,BRA1,2023,Zagueiro
Bernabé Barragán,0,SPA2,2023,Goleiro
Bernard,9,GRE,2023,Meia
Bernardo,4,GER1,2023,Zagueiro
Bernardo Folha,7,POR2,2023,Primeiro Volante
Bernardo Martins,10,POR2,2023,Extremo
Bernardo Silva,8,ENG1,2023,Segundo Volante
Bernardo Vital,4,POR1,2023,Zagueiro
Berto Cayarga,9,POL,2023,Meia
Beto,12,ITA1,2023,Atacante
Beto Goncalves,12,INDO,2023,Atacante
Biel,10,BRA1,2023,Extremo
Bigas,4,SPA1,2023,Zagueiro
Bigas,4,SPA2,2023,Zagueiro
Bilal Abdullah,8,UAE,2023,Segundo Volante
Bismark,10,BRA3,2023,Extremo
Bissoli,12,BRA2,2023,Atacante
Bitello,10,BRA1,2023,Extremo
Bit-Garam Yoon,8,KOR,2023,Segundo Volante
Bo-Kyung Kim,8,KOR,2023,Segundo Volante
Bong-Soo Kim,8,KOR,2023,Segundo Volante
Borja Bastón,12,SPA2,2023,Atacante
Borja Garcés,12,SPA2,2023,Atacante
Borja González,1,SPA2,2023,Lateral
Borja Herrera,7,IND,2023,Primeiro Volante
Borja Iglesias,12,SPA1,2023,Atacante
Borja López,4,BEL1,2023,Zagueiro
Borja Mayoral,12,SPA1,2023,Atacante
Borja Sainz,10,TUR,2023,Extremo
Borja Valle,12,SPA2,2023,Atacante
Boualem Khoukhi,4,QAT,2023,Zagueiro
Brahim Diaz,9,ITA1,2023,Meia
Braima Sambú,8,POR2,2023,Segundo Volante
Brais Martínez,1,SPA2,2023,Lateral
Brais Méndez,8,SPA1,2023,Segundo Volante
Brandon Fernandes,9,IND,2023,Meia
Brandon Thomas,12,GRE,2023,Atacante
Brem Soumaoro,7,CAN,2023,Primeiro Volante
Bremer,4,ITA1,2023,Zagueiro
Brenno,0,ITA2,2023,Goleiro
Breno Caetano,1,URU,2023,Lateral
Breno Cascardo,7,BRA1,2023,Primeiro Volante
Breno Lopes,10,BRA1,2023,Extremo
Bressan,4,CHN,2023,Zagueiro
Brian López,4,BOL,2023,Zagueiro
Brian Oliván,1,SPA1,2023,Lateral
Brian Oliván,1,SPA2,2023,Lateral
Brugui,12,SPA2,2023,Atacante
Bruma,10,POR1,2023,Extremo
Brunão,4,POR2,2023,Zagueiro
Bruninho,9,BRA2,2023,Meia
Bruno,0,BRA3,2023,Goleiro
Bruno,1,BUL,2023,Lateral
Bruno,10,INDO,2023,Extremo
Bruno Alves,4,BRA1,2023,Zagueiro
Bruno Alves,10,BRA3,2023,Extremo
Bruno Barra,7,BRA3,2023,Primeiro Volante
Bruno Bispo,4,BRA3,2023,Zagueiro
Bruno Brígido,0,POR2,2023,Goleiro
Bruno Camilo,8,BRA3,2023,Segundo Volante
Bruno Cortez,1,BRA2,2023,Lateral
Bruno Costa,8,POR2,2023,Segundo Volante
Bruno Dybal,8,INDO,2023,Segundo Volante
Bruno Elesbão,8,BRA2,2023,Segundo Volante
Bruno Fernandes,9,ENG1,2023,Meia
Bruno Ferreira,0,BRA2,2023,Goleiro
Bruno Fuchs,4,BRA1,2023,Zagueiro
Bruno Gomes,8,BRA1,2023,Segundo Volante
Bruno González,4,SPA2,2023,Zagueiro
Bruno Guimarães,7,ENG1,2023,Primeiro Volante
Bruno Henrique,9,BRA1,2023,Meia
Bruno Henrique,10,BRA1,2023,Extremo
Bruno Henrique,7,SAUD,2023,Primeiro Volante
Bruno Jesus,4,BRA3,2023,Zagueiro
Bruno Jordão,8,POR1,2023,Segundo Volante
Bruno José,10,BRA2,2023,Extremo
Bruno Langa,1,POR1,2023,Lateral
Bruno Leite,8,NOR,2023,Segundo Volante
Bruno Leonardo,4,BRA2,2023,Zagueiro
Bruno Lourenço,10,POR1,2023,Extremo
Bruno Matias,8,BRA2,2023,Segundo Volante
Bruno Matias,7,BRA3,2023,Primeiro Volante
Bruno Melo,4,BRA1,2023,Zagueiro
Bruno Mendes,12,BRA2,2023,Atacante
Bruno Nazário,12,BRA2,2023,Atacante
Bruno Pacheco,1,BRA1,2023,Lateral
Bruno Paz,8,TUR,2023,Segundo Volante
Bruno Ré,1,BRA3,2023,Lateral
Bruno Rodrigues,12,BRA1,2023,Atacante
Bruno Santos,12,BRA3,2023,Atacante
Bruno Silva,7,BRA2,2023,Primeiro Volante
Bruno Silva,1,POR2,2023,Lateral
Bruno Tubarão,1,BRA2,2023,Lateral
Bruno Uvini,4,BRA1,2023,Zagueiro
Bruno Varela,0,POR1,2023,Goleiro
Bruno Viana,4,SAUD,2023,Zagueiro
Bruno Wilson,4,POR1,2023,Zagueiro
Bruno Xadas,10,POR1,2023,Extremo
Bruno Xadas,9,POR2,2023,Meia
Brwa Nouri,8,INDO,2023,Segundo Volante
Bryan Gil,10,SPA1,2023,Extremo
Bryan Teixeira,12,AUT,2023,Atacante
Bryan Zaragoza,10,SPA1,2023,Extremo
Bubacar Djaló,7,FIN,2023,Primeiro Volante
Bull,1,GEO,2023,Lateral
Bum-Keun Song,0,JAP,2023,Goleiro
Busanello,1,SWE,2023,Lateral
Busatto,0,BUL,2023,Goleiro
Byong-Jun An,12,KOR,2023,Atacante
Byung-Kwan Jeon,10,KOR,2023,Extremo
C. Abastoflor,10,BOL,2023,Extremo
C. Acevedo,0,MEX,2023,Goleiro
C. Adams,12,ENG1,2023,Atacante
C. Adjapong,1,ITA2,2023,Lateral
C. Adorno,0,BOL,2023,Goleiro
C. Akas,4,POR2,2023,Zagueiro
C. Akolo,12,SWZ,2023,Atacante
C. Akpom,9,ENG2,2023,Meia
C. Albanis,11,SPA2,2023,Extremo
C. Albornoz,8,ARG2,2023,Segundo Volante
C. Alcaraz,9,ENG1,2023,Meia
C. Alcaraz,12,ENG2,2023,Atacante
C. Algarañaz,12,BOL,2023,Atacante
C. Álvarez,9,BOL,2023,Meia
C. Álvarez,0,SPA2,2023,Goleiro
C. Amzăr,1,ROM,2023,Lateral
C. Áñez,8,BOL,2023,Segundo Volante
C. Ansaldi,1,ITA2,2023,Lateral
C. Antwi,1,FIN,2023,Lateral
C. Antwi-Adjei,11,GER1,2023,Extremo
C. Aquino,10,ARG1,2023,Extremo
C. Aquino,10,PAR,2023,Extremo
C. Árabe,10,BOL,2023,Extremo
C. Aracena,0,ARG2,2023,Goleiro
C. Aránguiz,8,BRA1,2023,Segundo Volante
C. Araújo,7,USA,2023,Primeiro Volante
C. Arboleda,1,COL,2023,Lateral
C. Arce,8,ARG1,2023,Segundo Volante
C. Archer,12,ENG1,2023,Atacante
C. Archer,12,ENG2,2023,Atacante
C. Arcus,1,HOL,2023,Lateral
C. Armiento,10,AUS,2023,Extremo
C. Arrúa,8,ARG1,2023,Segundo Volante
C. Atamañuk,0,ARG2,2023,Goleiro
C. Avinel,4,FRA1,2023,Zagueiro
C. Avinel,4,FRA2,2023,Zagueiro
C. Awaziem,4,CRO,2023,Zagueiro
C. Awaziem,4,POR1,2023,Zagueiro
C. Ayala,7,COL,2023,Primeiro Volante
C. Bacca,12,COL,2023,Atacante
C. Báez,12,PAR,2023,Atacante
C. Baeza,8,MEX,2023,Segundo Volante
C. Baird,12,USA,2023,Atacante
C. Bakambu,12,GRE,2023,Atacante
C. Bălan,12,GRE,2023,Atacante
C. Barahona,4,CRC,2023,Zagueiro
C. Barahona,1,CRC,2023,Lateral
C. Barrios,11,COL,2023,Extremo
C. Barron,8,SCT,2023,Segundo Volante
C. Barros,10,URU,2023,Extremo
C. Bassett,9,USA,2023,Meia
C. Bassogog,10,CHN,2023,Extremo
C. Baumgartner,12,GER1,2023,Atacante
C. Bayala,10,FRA1,2023,Extremo
C. Bayiha,10,CAN,2023,Extremo
C. Bedia,12,SWZ,2023,Atacante
C. Benavidez,7,SPA2,2023,Primeiro Volante
C. Benbow,10,CRC,2023,Extremo
C. Benítez,4,PAR,2023,Zagueiro
C. Benteke,12,USA,2023,Atacante
C. Biceanu,8,ROM,2023,Segundo Volante
C. Bieler,12,ARG2,2023,Atacante
C. Biraghi,1,ITA1,2023,Lateral
C. Boli,10,FRA2,2023,Extremo
C. Bonsu Baah,10,NOR,2023,Extremo
C. Borges,8,CRC,2023,Segundo Volante
C. Borja,1,POR1,2023,Lateral
C. Boukholda,9,BUL,2023,Meia
C. Boyd-Munce,8,SCT,2023,Segundo Volante
C. Bozdogan,7,HOL,2023,Primeiro Volante
C. Brady,0,USA,2023,Goleiro
C. Bramall,1,ENG2,2023,Lateral
C. Braun,1,ROM,2023,Lateral
C. Bravo,0,SPA1,2023,Goleiro
C. Bravo,1,USA,2023,Lateral
C. Brittain,1,ENG2,2023,Lateral
C. Broggi,1,ARG2,2023,Lateral
C. Brüls,8,BEL1,2023,Segundo Volante
C. Brunner,1,GER1,2023,Lateral
C. Budescu,12,ROM,2023,Atacante
C. Burgess,4,BEL1,2023,Zagueiro
C. Burgess,4,ENG2,2023,Zagueiro
C. Burke,12,USA,2023,Atacante
C. Butcher,4,SCT,2023,Zagueiro
C. Căbuz,0,ROM,2023,Goleiro
C. Cadden,1,SCT,2023,Lateral
C. Calderón,1,MEX,2023,Lateral
C. Canak,11,BEL1,2023,Extremo
C. Cándido,1,BRA1,2023,Lateral
C. Cándido,1,URU,2023,Lateral
C. Carter-Vickers,4,SCT,2023,Zagueiro
C. Casadei,8,ENG2,2023,Segundo Volante
C. Cásseres,7,FRA1,2023,Primeiro Volante
C. Cásseres,8,USA,2023,Segundo Volante
C. Castro Devenish,4,COL,2023,Zagueiro
C. Cathcart,4,ENG2,2023,Zagueiro
C. Chaplin,9,ENG2,2023,Meia
C. Chapman,8,AUS,2023,Segundo Volante
C. Charisis,8,TUR,2023,Segundo Volante
C. Christie,1,ENG2,2023,Lateral
C. Cisneros,10,MEX,2023,Extremo
C. Coady,4,ENG1,2023,Zagueiro
C. Conde,8,SWZ,2023,Segundo Volante
C. Connolly,1,ENG2,2023,Lateral
C. Cook,0,AUS,2023,Goleiro
C. Correa,0,ARG2,2023,Goleiro
C. Corvalán,4,ARG1,2023,Zagueiro
C. Costin,1,ROM,2023,Lateral
C. Coventry,7,ENG2,2023,Primeiro Volante
C. Cowell,11,USA,2023,Extremo
C. Cresswell,4,ENG2,2023,Zagueiro
C. Cuesta,4,BEL1,2023,Zagueiro
C. Cvetko,8,AUT,2023,Segundo Volante
C. Dájome,10,USA,2023,Extremo
C. Dalle Mura,4,ITA2,2023,Zagueiro
C. Dawson,4,ENG1,2023,Zagueiro
C. Dawson,0,ENG2,2023,Goleiro
C. De Ketelaere,12,ITA1,2023,Atacante
C. de Murga,4,INDO,2023,Zagueiro
C. De Norre,8,BEL1,2023,Segundo Volante
C. De Norre,8,ENG2,2023,Segundo Volante
C. de Pena,7,BRA1,2023,Primeiro Volante
C. Deac,10,ROM,2023,Extremo
C. Dépres,12,FRA2,2023,Atacante
C. Devlin,7,SCT,2023,Primeiro Volante
C. Díaz,1,ARG2,2023,Lateral
C. Doidge,12,SCT,2023,Atacante
C. Domínguez,10,PAR,2023,Extremo
C. Donis,7,POL,2023,Primeiro Volante
C. Doucouré,7,ENG1,2023,Primeiro Volante
C. Doukouré,7,GRE,2023,Primeiro Volante
C. Doyle,4,ENG2,2023,Zagueiro
C. Drameh,1,ENG2,2023,Lateral
C. Driouech,10,HOL,2023,Extremo
C. Dunne,4,SCT,2023,Zagueiro
C. Dur-Bozoancă,0,ROM,2023,Goleiro
C. Durkin,8,USA,2023,Segundo Volante
C. D'Urso,10,ITA2,2023,Extremo
C. Edwards,8,NOR,2023,Segundo Volante
C. Eiting,8,HOL,2023,Segundo Volante
C. El Bahri,12,MOR,2023,Atacante
C. El Maftoul,9,MOR,2023,Meia
C. Elder,1,ENG2,2023,Lateral
C. Elliott,1,AUS,2023,Lateral
C. Erbes,8,ARG2,2023,Segundo Volante
C. Eriksen,7,ENG1,2023,Primeiro Volante
C. Espínola,1,PAR,2023,Lateral
C. Espinoza,11,USA,2023,Extremo
C. Evans,12,ENG2,2023,Atacante
C. Fai,1,SAUD,2023,Lateral
C. Faidi,11,MOR,2023,Extremo
C. Falletti,12,ITA2,2023,Atacante
C. Fassnacht,10,ENG2,2023,Extremo
C. Fassnacht,8,SWZ,2023,Segundo Volante
C. Ferreira,8,ARG1,2023,Segundo Volante
C. Flórez,1,COL,2023,Lateral
C. Früchtl,0,AUT,2023,Goleiro
C. Frýdek,9,CZH,2023,Meia
C. Führich,10,GER1,2023,Extremo
C. Gakpo,12,ENG1,2023,Atacante
C. Gallagher,8,ENG1,2023,Segundo Volante
C. Gamboa,1,GER1,2023,Lateral
C. Garcés,4,COL,2023,Zagueiro
C. García,4,BOL,2023,Zagueiro
C. Gebauer,1,AUT,2023,Lateral
C. Goldson,4,SCT,2023,Zagueiro
C. Gomes,7,ITA2,2023,Primeiro Volante
C. Gomez,10,GEO,2023,Extremo
C. Gondo,12,ITA2,2023,Atacante
C. Gonzáles,8,SAUD,2023,Segundo Volante
C. González,4,ARG2,2023,Zagueiro
C. González,12,MEX,2023,Atacante
C. González,12,PAR,2023,Atacante
C. Good,4,AUS,2023,Zagueiro
C. Goodwin,10,AUS,2023,Extremo
C. Grameni,8,ROM,2023,Segundo Volante
C. Gravius,8,SWE,2023,Segundo Volante
C. Groß,7,GER1,2023,Primeiro Volante
C. Gruezo,7,USA,2023,Primeiro Volante
C. Guanca,10,SAUD,2023,Extremo
C. Günter,1,GER1,2023,Lateral
C. Hamilton,10,ENG2,2023,Extremo
C. Harper,1,USA,2023,Lateral
C. Harris,10,USA,2023,Extremo
C. Haydar,4,COL,2023,Zagueiro
C. Hazard,0,ENG2,2023,Goleiro
C. Henao,4,COL,2023,Zagueiro
C. Herc,8,SWZ,2023,Segundo Volante
C. Hérelle,4,FRA1,2023,Zagueiro
C. Hernández,12,USA,2023,Atacante
C. Holse,11,NOR,2023,Extremo
C. Holse,9,TUR,2023,Meia
C. Hountondji,4,FRA1,2023,Zagueiro
C. Hountondji,4,FRA2,2023,Zagueiro
C. Huerta,10,MEX,2023,Extremo
C. Hughes,4,ENG2,2023,Zagueiro
C. Humphreys,4,ENG2,2023,Zagueiro
C. Ibáñez,1,ARG1,2023,Lateral
C. Ikonomidis,10,AUS,2023,Extremo
C. Ilić,8,ROM,2023,Segundo Volante
C. Immobile,12,ITA1,2023,Atacante
C. Irobiso,12,ROM,2023,Atacante
C. Irving,0,CAN,2023,Goleiro
C. Itten,12,SWZ,2023,Atacante
C. Ivaylov,8,BUL,2023,Segundo Volante
C. Izquierdoz,4,SPA2,2023,Zagueiro
C. Jakobsen,8,DEN,2023,Segundo Volante
C. Janssens,1,BEL2,2023,Lateral
C. Jenkinson,4,AUS,2023,Zagueiro
C. Johansson,4,DEN,2023,Zagueiro
C. Jones,8,ENG1,2023,Segundo Volante
C. Jullien,4,FRA1,2023,Zagueiro
C. Kaboré,7,FRA2,2023,Primeiro Volante
C. Keddad,4,ALG,2023,Zagueiro
C. Keita,4,FRA2,2023,Zagueiro
C. Keles,10,TUR,2023,Extremo
C. Kinsombi,10,GER2,2023,Extremo
C. Kipré,4,ENG2,2023,Zagueiro
C. Klarer,4,GER1,2023,Zagueiro
C. Klarer,4,GER2,2023,Zagueiro
C. Kleine-Bekel,4,GER2,2023,Zagueiro
C. Kletnicki,0,ARG2,2023,Goleiro
C. Kobald,4,GER2,2023,Zagueiro
C. Konaté,4,FRA1,2023,Zagueiro
C. Konsham,4,IND,2023,Zagueiro
C. Kouakou,7,POR2,2023,Primeiro Volante
C. Kouamé,12,ITA1,2023,Atacante
C. Kourfalidis,8,ITA2,2023,Segundo Volante
C. Kramer,7,GER1,2023,Primeiro Volante
C. Lampe,0,BOL,2023,Goleiro
C. Lang,11,AUT,2023,Extremo
C. Lang,9,ENG2,2023,Meia
C. Larin,12,SPA1,2023,Atacante
C. Lattanzio,10,ARG2,2023,Extremo
C. Ledesma,0,SPA1,2023,Goleiro
C. Leemans,8,DEN,2023,Segundo Volante
C. Lema,4,ARG1,2023,Zagueiro
C. Lenglet,4,ENG1,2023,Zagueiro
C. Lenz,1,GER1,2023,Lateral
C. Lepoint,7,BEL1,2023,Primeiro Volante
C. Lewis,8,AUS,2023,Segundo Volante
C. Lokolingoy,12,INDO,2023,Atacante
C. Loughrey,4,CAN,2023,Zagueiro
C. Lucchetti,0,ARG2,2023,Goleiro
C. Lukeba,4,FRA1,2023,Zagueiro
C. Lukeba,4,GER1,2023,Zagueiro
C. Lykogiannis,1,ITA1,2023,Lateral
C. Machado,8,BOL,2023,Segundo Volante
C. MacPherson,8,SCT,2023,Segundo Volante
C. Mafla,1,COL,2023,Lateral
C. Main,12,SCT,2023,Atacante
Č. Makreckis,8,BUL,2023,Segundo Volante
C. Makridis,10,GER2,2023,Extremo
C. Malele,12,CHN,2023,Atacante
C. Mandas,0,GRE,2023,Goleiro
C. Mandouki,8,FRA2,2023,Segundo Volante
C. Manea,1,ROM,2023,Lateral
C. Manzoki,12,CHN,2023,Atacante
C. Marrugo,9,COL,2023,Meia
C. Martin,12,ENG2,2023,Atacante
C. Martínez,1,CRC,2023,Lateral
C. Martínez,7,CRC,2023,Primeiro Volante
C. Martínez,7,PAR,2023,Primeiro Volante
C. Martins,7,RUS,2023,Primeiro Volante
C. Matei,9,ROM,2023,Meia
C. Mathenia,0,GER2,2023,Goleiro
C. Matsima,4,FRA1,2023,Zagueiro
C. Mavinga,4,USA,2023,Zagueiro
C. Maxwell,0,ENG2,2023,Goleiro
C. Mbemba,4,FRA1,2023,Zagueiro
C. McGeehan,8,BEL1,2023,Segundo Volante
C. McGregor,7,SCT,2023,Primeiro Volante
C. McHugh,7,IND,2023,Primeiro Volante
C. McMenamin,10,SCT,2023,Extremo
C. McVey,4,USA,2023,Zagueiro
C. Medina,8,ARG1,2023,Segundo Volante
C. Melgar,8,BOL,2023,Segundo Volante
C. Meli,8,URU,2023,Segundo Volante
C. Menacho,12,BOL,2023,Atacante
C. Meneses,1,CRC,2023,Lateral
C. Mepham,4,ENG1,2023,Zagueiro
C. Metcalfe,11,GER2,2023,Extremo
C. Michelin,1,FRA2,2023,Lateral
C. Micovschi,10,ROM,2023,Extremo
C. Mihai,8,ROM,2023,Segundo Volante
C. Montaño,1,SCT,2023,Lateral
C. Montes,4,SPA1,2023,Zagueiro
C. Mora,10,CRC,2023,Extremo
C. Moreno,4,ARG2,2023,Zagueiro
C. Moreno,0,MEX,2023,Goleiro
C. Morris,12,ENG1,2023,Atacante
C. Morris,12,ENG2,2023,Atacante
C. Mosca,8,ARG2,2023,Segundo Volante
C. Mosquera,0,COL,2023,Goleiro
C. Mulgrew,4,SCT,2023,Zagueiro
C. Muzungu,10,MOR,2023,Extremo
C. Ndiaye,12,TUR,2023,Atacante
C. Ndour,8,POR2,2023,Segundo Volante
C. Nduwarugira,7,POR2,2023,Primeiro Volante
C. Neguţ,12,ROM,2023,Atacante
C. Nelson,4,ENG2,2023,Zagueiro
C. Nessakh,1,ALG,2023,Lateral
C. Ngonge,9,ITA1,2023,Meia
C. Niasse,7,SWZ,2023,Primeiro Volante
C. Nielsen,8,BEL1,2023,Segundo Volante
C. Nieuwenhof,8,AUS,2023,Segundo Volante
C. Niyukuri,1,NOR,2023,Lateral
C. N'Jie,10,TUR,2023,Extremo
C. Noboa,8,RUS,2023,Segundo Volante
C. Nørgaard,7,ENG1,2023,Primeiro Volante
C. Noß,11,AUT,2023,Extremo
C. Nouck,10,DEN,2023,Extremo
C. Nsundi,7,MOR,2023,Primeiro Volante
C. Nuñez,8,URU,2023,Segundo Volante
C. Núñez,10,ARG2,2023,Extremo
C. Núñez,8,GRE,2023,Segundo Volante
C. Núñez,4,PAR,2023,Zagueiro
C. Nunnely,10,HOL,2023,Extremo
C. Nyman,12,SWE,2023,Atacante
C. Ocampos,12,PAR,2023,Atacante
C. Odenthal,4,ITA2,2023,Zagueiro
C. O'Dowda,1,ENG2,2023,Lateral
C. Offor,12,USA,2023,Atacante
C. Ogbene,10,ENG1,2023,Extremo
C. Ogbene,10,ENG2,2023,Extremo
C. Ohene,8,BUL,2023,Segundo Volante
C. Okoli,4,ITA1,2023,Zagueiro
C. Olivera,10,URU,2023,Extremo
C. Olivera,11,USA,2023,Extremo
C. Operi,1,FRA1,2023,Lateral
C. Operi,1,FRA2,2023,Lateral
C. Ordoñez,7,ARG1,2023,Primeiro Volante
C. Ortiz,8,MEX,2023,Segundo Volante
C. Osmanpaşa,4,TUR,2023,Zagueiro
C. Öyvann,4,NOR,2023,Zagueiro
C. Özkacar,4,SPA1,2023,Zagueiro
C. Páez,4,COL,2023,Zagueiro
C. Pain,10,AUS,2023,Extremo
C. Pájaro,1,COL,2023,Lateral
C. Palmer,9,ENG1,2023,Meia
C. Paredes,7,USA,2023,Primeiro Volante
C. Paterson,10,ENG2,2023,Extremo
C. Patino,8,ENG2,2023,Segundo Volante
C. Pavón,10,BRA1,2023,Extremo
C. Paz,4,ROM,2023,Zagueiro
C. Perez,8,CRC,2023,Segundo Volante
C. Petrila,10,ROM,2023,Extremo
C. Petro,1,ROM,2023,Lateral
C. Piccini,4,GER2,2023,Zagueiro
C. Pickel,8,ITA1,2023,Segundo Volante
C. Pombo,8,ARG2,2023,Segundo Volante
C. Popescu,10,ROM,2023,Extremo
C. Pring,1,ENG2,2023,Lateral
C. Psyché,4,NOR,2023,Zagueiro
C. Puertas,8,BEL1,2023,Segundo Volante
C. Quintana,4,ARG1,2023,Zagueiro
C. Rahmani,0,ALG,2023,Goleiro
C. Ramírez,4,COL,2023,Zagueiro
C. Ramírez,1,RUS,2023,Lateral
C. Ramírez,12,USA,2023,Atacante
C. Randall,1,SCT,2023,Lateral
C. Râpă,1,POL,2023,Lateral
C. Ravych,4,BEL1,2023,Zagueiro
C. Reyes,4,CRC,2023,Zagueiro
C. Riad,4,SPA1,2023,Zagueiro
C. Riaño,12,ARG2,2023,Atacante
C. Ribera,7,BOL,2023,Primeiro Volante
C. Rius,10,ARG1,2023,Extremo
C. Rivera,12,CRC,2023,Atacante
C. Rivera,8,MEX,2023,Segundo Volante
C. Roberts,1,ENG2,2023,Lateral
C. Robinson,9,ENG2,2023,Meia
C. Robles,7,COL,2023,Primeiro Volante
C. Roca,1,BOL,2023,Lateral
C. Rodríguez,8,MEX,2023,Segundo Volante
C. Roldán,10,USA,2023,Extremo
