Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,xG_Percentil,xA_Percentil,A,B,C,D,E,F,G,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,Similar_StScaled_D,Similar_StScaled_E,Similar_StScaled_F,Similar_StScaled_G,A1,B1,C1,D1,E1,F1,G1,ID
1577,Kareem Tunde,SPA1,3,Kareem Tunde,Levante,Levante,"RAMF, RW, LW",RAMF,10,20,0,2029-06-30,21,1223,Spain,Spain,unknown,0,0,no,6.26,3.383627,3.013867000000001,1.250352,3.16388,0.09,0.01,SPA1,Testing,2026,0.2011406668987339,0.2097780297893261,0.20545934834403,85,85,14,1,29,13,0,6.26,3.383627,3.013867000000001,1.250352,3.16388,0.09,0.01,1.197558312123861,1.152738746111931,-0.9433582346380776,-1.546963148045704,-0.581949837840228,-0.9999029885735666,-2.086781031925742,0.88445549321169,0.875491183559798,0.1727488491755264,0.06093606610964887,0.2803002347161834,0.1586787289952172,0.01845396625008609,ABE
1578,M. Rashford,SPA1,40,M. Rashford,Barcelona,Barcelona,"LAMF, LWF",LAMF,10,28,0,2028-06-30,32,1963,England,"England, St. Kitts and Nevis",right,186,70,yes,2.52,0.9634560000000001,3.622964,3.160494,3.621454,0.32,0.24,SPA1,Testing,2026,0.1905410293038259,0.1857048305701155,0.1881229299369707,0,0,34,60,41,80,90,2.52,0.9634560000000001,3.622964,3.160494,3.621454,0.32,0.24,-2.271010327750512,-2.638097630981925,-0.572041218253281,0.09180688410831546,-0.3011632222993082,0.9951715864194336,1.727927068343136,0.01157317637581902,0.004168628752771182,0.2836470253331964,0.5365742627815214,0.3816450164980203,0.8401735907455014,0.9579993496544837,GFD
1579,Roger Brugué,SPA1,46,Roger Brugué,Levante,Levante,"LW, RW, CF",LW,10,29,1000000,2028-06-30,19,1111,Spain,Spain,left,173,68,no,4.94,2.674518,3.485525,1.703236,1.215,0.36,0.07,SPA1,Testing,2026,0.1848560706980056,0.1734847048329758,0.1791703877654907,50,52,25,7,0,91,9,4.94,2.674518,3.485525,1.703236,1.215,0.36,0.07,-0.02664238430238779,0.04202541530817835,-0.6558266242147456,-1.158419926001457,-1.777864420608015,1.342141077722564,-1.091639788377339,0.4893724837305958,0.5167607812374906,0.2559678419065232,0.1233463557360496,0.03771306248944421,0.9102248714793975,0.1374957301214595,FBA
1580,Joel Roca,SPA1,4,Joel Roca,Girona,Girona,"LW, LAMF",LW,10,21,0,2029-06-30,32,1645,Spain,Spain,right,176,66,no,4.27,2.463136,2.845468,1.586394,6.01803,0.27,0.08,SPA1,Testing,2026,0.1760868825367855,0.155580922992872,0.1658339027648288,20,32,9,3,85,73,16,4.27,2.463136,2.845468,1.586394,6.01803,0.27,0.08,-0.6480169802157121,-0.2890729141333583,-1.046017440383934,-1.258662299655845,1.169476420526979,0.5614597222905205,-0.9257829144526054,0.2584869839070573,0.3862627902780122,0.1477764901570123,0.1040761670718428,0.878894132028073,0.7127579096944012,0.1772794040188449,EFB
1581,W. Swedberg,SPA1,6,W. Swedberg,Celta de Vigo,Celta de Vigo,"LWF, AMF",LWF,11,22,5000000,2029-06-30,29,1397,Sweden,Sweden,right,187,75,no,5.03,3.093681,2.060338,0.965,3.348086,0.27,0.07,SPA1,Testing,2026,0.1441673285290741,0.1273125636802694,0.1357399461046717,54,74,0,0,32,73,9,5.03,3.093681,2.060338,0.965,3.348086,0.27,0.07,0.05682584499940181,0.6985816455628968,-1.52464749286194,-1.791775474152985,-0.468913303198114,0.5614597222905205,-1.091639788377339,0.5226580370666442,0.7575932412412217,0.06367352239221945,0.0365844695051278,0.3195658034764481,0.7127579096944012,0.1374957301214595,BFA
1582,Fran Pérez,SPA1,12,Fran Pérez,Rayo Vallecano,Rayo Vallecano,"LAMF, RAMF, LW",LAMF,10,23,8000000,2029-06-30,29,1380,Spain,Spain,right,176,68,no,4.37,1.82406,3.32595,2.08992,4.109764,0.13,0.07,SPA1,Testing,2026,0.1374381553590216,0.1068202780396319,0.1221292166993267,26,12,21,18,56,32,9,4.37,1.82406,3.32595,2.08992,4.109764,0.13,0.07,-0.5552745032137231,-1.290090011077183,-0.7531065531745073,-0.8266717360169195,-0.001515706848721942,-0.6529334972704361,-1.091639788377339,0.2893534578847536,0.09850970383168683,0.2256929434042546,0.2042115727215629,0.4993953206848792,0.2568995763286341,0.1374957301214595,EAF
1583,Victor Muñoz,SPA1,9,Victor Muñoz,Osasuna,Osasuna,"LAMF, RW, LW",LAMF,10,22,0,2030-06-30,34,2871,Spain,Spain,right,173,70,no,3.45,1.882608,2.539011,2.067105,4.984932,0.25,0.1,SPA1,Testing,2026,0.1291614393551027,0.09748366871234501,0.1133225540337239,8,14,3,16,72,65,34,3.45,1.882608,2.539011,2.067105,4.984932,0.25,0.1,-1.408505291632018,-1.198383314233823,-1.232839406163171,-0.8462454317335698,0.5355241178566055,0.3879749766389552,-0.5940691666031378,0.07949075058415062,0.1153839126361522,0.1088178430217748,0.1987079211141202,0.7038562575698337,0.6509827241234298,0.2762329262424458,EFG
1584,Iñaki Williams,SPA1,54,Iñaki Williams,Athletic Club,Athletic Club,"RAMF, CF, RW",RAMF,10,32,25000000,2028-06-30,30,2320,Spain,"Spain, Ghana",right,186,80,no,3.45,1.665558,2.405746,2.287206,3.140905,0.32,0.1,SPA1,Testing,2026,0.01854463607858997,0.00745471654347629,0.01299967631103313,8,7,1,23,27,80,34,3.45,1.665558,2.405746,2.287206,3.140905,0.32,0.1,-1.408505291632018,-1.538359719061507,-1.314080263019336,-0.6574139611690091,-0.5960482623399866,0.9951715864194336,-0.5940691666031378,0.07949075058415062,0.06198034272944671,0.09440959765848705,0.2554573885209071,0.275571492877407,0.8401735907455014,0.2762329262424458,FGE
1585,A. Danjuma,SPA1,43,A. Danjuma,Valencia,Valencia,"LW, CF, LAMF",LW,10,29,13000000,2028-06-30,30,1798,Nigeria,"Nigeria, Netherlands",right,178,74,no,2.7,1.5999,2.900145,1.75005,5.254968,0.33,0.11,SPA1,Testing,2026,0.0,0.0,0.0,1,3,12,9,76,85,41,2.7,1.5999,2.900145,1.75005,5.254968,0.33,0.11,-2.104073869146932,-1.641203168903369,-1.012685310189775,-1.118256744266666,0.7012295436767085,1.081913959245216,-0.428212292678404,0.01768600192784036,0.05037762407251019,0.1556052483262667,0.1317286777046469,0.7584201123564608,0.8603546192352587,0.3342482836934696,FEG
1586,Iñigo Vicente,SPA2,53,Iñigo Vicente,Racing Santander,Racing Santander,"LAMF, AMF, LW",LAMF,10,28,0,2030-06-30,40,3449,Spain,Spain,right,178,69,no,4.78,2.9232,15.00408,11.535136,3.365890000000001,0.15,0.34,SPA2,Testing,2026,1.0,1.0,1.0,33,61,98,98,34,34,98,4.78,2.9232,15.00408,11.535136,3.365890000000001,0.15,0.34,-0.4705383279456002,0.1123614708954203,5.476819230284868,5.723220742307313,-0.6290762394149199,-0.5090684584893651,2.903938909447254,0.318985228742208,0.5447315982039695,0.9999999783480402,0.9999999947738344,0.2646495725733624,0.3053521198013528,0.9981574997214231,DCG
