Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
839,A. Sher,Sarpsborg 08,Sarpsborg 08,"DMF, LDMF",DMF,7,22,750000,2026-12-31,9,884,Sweden,"Sweden, Iraq",right,175,65,no,8.65,2.443138,11.602688,3.9675,1.32,2.648913,1.016626,0.81,8.751378,NOR,Testing,2025,0.4034295647660419,0.4503218226977219,0.4266072780273719
840,S. Väänänen,Rosenborg,Rosenborg,DMF,DMF,7,23,650000,2026-12-31,8,517,Finland,Finland,right,176,72,no,10.62,0.696,7.486037999999999,1.917108,0.35,1.395,0.17,0.0,3.307588,NOR,Testing,2025,0.3627791187303079,0.3846191637188559,0.3734058209371594
841,B. Ambina,Vålerenga,Vålerenga,"DMF, RCMF",DMF,7,23,0,2027-06-30,10,965,Cameroon,Cameroon,right,180,69,no,10.45,2.704845,9.230928,5.597555,2.52,3.079776,1.309,1.12,5.130994,NOR,Testing,2025,0.5528776170043369,0.5762623454788305,0.5643660529594089
842,K. Krasniqi,Strømsgodset,Strømsgodset,LDMF,LDMF,7,24,600000,2026-12-31,9,850,Norway,"Norway, Kosovo",right,184,71,no,9.53,2.860905,7.9425,3.9177,0.85,1.589168,0.21,0.42,4.343196000000001,NOR,Testing,2025,0.4291041453544986,0.4454708655151566,0.4370239659739927
843,E. Kornvig,Brann,Brann,DMF,DMF,7,25,1200000,2027-12-31,11,1052,Denmark,Denmark,right,187,78,no,11.12,3.335433000000001,13.86067,6.242884000000001,1.11,3.681287999999999,0.597376,0.94,6.329841,NOR,Testing,2025,0.7061043734173109,0.7307993235225693,0.7183199888635337
844,J. Bell,Viking,Viking,DMF,DMF,7,26,1200000,2027-12-31,12,1197,England,"England, New Zealand",right,182,77,no,9.32,2.404204,12.934915,7.29343,2.26,2.106456,0.7500600000000002,0.98,8.19365,NOR,Testing,2025,0.564453983104496,0.5804458800300933,0.5722496937627267
845,T. Sørås,HamKam,HamKam,"DMF, RCMF",DMF,7,26,200000,2025-12-31,9,820,Norway,Norway,right,190,84,no,9.33,1.20474,7.795382,3.073664,0.55,1.20474,0.33,0.66,3.292923,NOR,Testing,2025,0.3134221360308305,0.3180266683312682,0.3154039301391925
846,P. Berg,Bodø / Glimt,Bodø / Glimt,"DMF, RCMF, LCMF",DMF,7,27,4500000,2028-07-31,8,785,Norway,Norway,right,177,76,no,8.6,2.9796,11.92184,5.157246,1.38,0.687,0.575,1.38,5.504562000000001,NOR,Testing,2025,0.4465993291084713,0.4711518954089123,0.4586221833215929
847,L. Owusu,Fredrikstad,Fredrikstad,"DMF, RCMF",DMF,7,27,1500000,2026-12-31,10,963,Ghana,Ghana,right,181,73,yes,6.36,3.365734999999999,9.627938,4.581242,0.37,1.496104,0.185,0.65,5.982912,NOR,Testing,2025,0.2450853466040053,0.2744160975466058,0.2594040354503028
848,F. Ottosson,Sandefjord,Sandefjord,"DMF, RDMF",DMF,7,28,450000,2025-12-31,9,901,Sweden,Sweden,right,174,72,no,6.39,4.894344,18.775044,10.290795,0.4,0.49994,0.0,1.4,11.884422,NOR,Testing,2025,0.6812541395179723,0.6838845797716683,0.6824206949170604
