Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Contra-pressão (p90),Interceptações (p90),Recuperações linha alta (p90),Intensidade defensiva (p90)
BRA1,2024,402835.0,Marcelinho,Juventude,1230.0,AML,Extremo,Extremo,-0.1342486668645869,-0.1857180262256464,-1.1659009615440887,-1.0163204934529189
BRA1,2024,402981.0,Wellington Rato,Sao Paulo,1217.0,AMR,Extremo,Extremo,-1.079825361076443,-1.3403127938348718,0.0106326104474516,-1.4393912627712222
BRA1,2024,406285.0,Breno Lopes,Fortaleza,2095.0,AML,Extremo,Extremo,-0.5397320745318702,-0.907235725683855,-0.4886378985433941,-0.8059228762294098
BRA1,2024,410684.0,Julimar,Athletico Paranaense,1856.0,AML,Extremo,Extremo,0.2019552790646443,1.3767179225245616,-0.2359033497255286,0.2526053997026331
BRA1,2024,416802.0,Biel,Bahia,1037.0,FWL,Extremo,Extremo,-1.1377092521918384,0.4162635605033618,-0.9358766363304948,-1.2153425697217144
BRA1,2024,416895.0,Adson,Vasco da Gama,1356.0,AMR,Extremo,Extremo,1.5760798893435954,0.2223255759427403,0.5294787517050107,-0.0502797189599968
BRA1,2024,419077.0,Marquinhos,Fluminense,1440.0,AMR,Extremo,Extremo,-0.0742877349773715,2.0894149111015463,1.6244138454665185,1.387838196529525
BRA1,2024,424039.0,Jhon Arias,Fluminense,2688.0,AMR,Extremo,Extremo,0.9563483435042368,0.9603933396693723,2.18472941706168,1.5194677384304671
BRA1,2024,436503.0,Lucas Barbosa,Juventude,2715.0,AMR,Extremo,Extremo,-0.3055447261360499,0.5934743524366535,-0.2237494026676599,0.3978950241056805
BRA1,2024,436639.0,Moisés,Fortaleza,1332.0,AML,Extremo,Extremo,-0.4708186217567368,-1.0486702291685406,-1.2068618074652235,-1.3081134109529593
BRA1,2024,439650.0,Wesley,Corinthians,1637.0,AML,Extremo,Extremo,0.6951865325063824,-0.1983304379395566,-0.2982415812127955,-0.5573419957165697
BRA1,2024,446364.0,Alejo Cruz,Atletico GO,2415.0,AML,Extremo,Extremo,0.110972702668962,1.081236518812784,0.2355746735554992,0.7123979795936211
BRA1,2024,468023.0,Erick Farias,Juventude,2340.0,AML,Extremo,Extremo,-0.9802966426868585,-0.6297116176411309,-1.2293718257824735,-1.1999595139546149
BRA1,2024,472122.0,Rayan,Vasco da Gama,997.0,AMR,Extremo,Extremo,-1.1538255202218244,-0.99694962528268,-1.4124432590373903,-1.5229742996547044
BRA1,2024,478208.0,Gabriel Carvalho,Internacional,1453.0,AMR,Extremo,Extremo,2.5856437317337733,-0.7450221563408741,0.8492863957335625,0.1074958097367751
BRA1,2024,479727.0,Henry Mosquera,Red Bull Bragantino,2148.0,FWL,Extremo,Extremo,0.7306571542926862,-0.8900926824467255,-0.7787903201192387,-0.6364545716401684
BRA1,2024,492869.0,Gustavo Nunes,Gremio,1387.0,AML,Extremo,Extremo,1.3081129249949088,-1.3803119219223896,0.0983303886392095,0.2853161424473769
BRA1,2024,510728.0,Estêvão,Palmeiras,2286.0,AMR,Extremo,Extremo,-0.1093414384222778,-0.8790552515909024,0.7216734721304339,0.2782090589910613
BRA1,2024,519613.0,Kevin Serna,Fluminense,960.0,AML,Extremo,Extremo,-1.2752810925781062,0.1407489306081965,-0.4712283914920533,0.5416824581778913
BRA1,2024,16886.0,Hulk,Atletico MG,2096.0,FW,Atacante,Atacante,0.9192006260208512,-0.4573365640088586,2.9752676706099264,1.0316418746544866
BRA1,2024,69844.0,Yannick Bolasie,Criciuma,2620.0,FW,Atacante,Atacante,-0.6926883151703432,-0.2058385910015187,-0.1461414303346861,0.1924432524854147
BRA1,2024,73494.0,Martin Braithwaite,Gremio,1587.0,FW,Atacante,Atacante,0.3133088503053157,-0.7353697267688567,-0.130067136076717,-0.138604167619039
BRA1,2024,83895.0,Enner Valencia,Internacional,1105.0,FW,Atacante,Atacante,0.1880987999388145,-0.6220837790429212,-0.6447723643289132,-0.7659717136809642
BRA1,2024,92032.0,Eduardo Sasha,Red Bull Bragantino,2233.0,FW,Atacante,Atacante,-0.1069811231548098,-0.16725540505362,0.0569072026606542,-0.1442387210691912
BRA1,2024,101698.0,Gilberto,Juventude,1236.0,FW,Atacante,Atacante,-0.5486697903515133,-0.479837815880622,-1.1453316537053302,-1.1468913460463888
BRA1,2024,106118.0,Gonzalo Mastriani,Athletico Paranaense,999.0,FW,Atacante,Atacante,-1.3250930438520094,0.0448472171290811,-0.262098976210044,0.8029703141290873
BRA1,2024,107182.0,Pablo,Athletico Paranaense,1888.0,FW,Atacante,Atacante,1.360458344349669,-0.3038399517613641,-0.1813568131221587,0.2718590929494102
BRA1,2024,108660.0,Everaldo,Bahia,2226.0,FW,Atacante,Atacante,1.1021082765914387,-0.2937153072030586,0.0380171574275057,-0.5972379789347737
BRA1,2024,121496.0,Eduardo,Botafogo RJ,934.0,FW,Atacante,Atacante,-1.0493627871666578,4.614359956303153,1.5385804185363188,-0.0456455883862425
BRA1,2024,130508.0,Arthur Caíke,Criciuma,1889.0,FW,Atacante,Atacante,-0.9779984481660032,-0.703473579086447,-0.9628875678058404,-0.8353208512919897
BRA1,2024,133445.0,Jonathan Calleri,Sao Paulo,2273.0,FW,Atacante,Atacante,0.912893318943526,-0.487863309276959,0.0113803658620539,-0.2135478320196285
BRA1,2024,135641.0,Deyverson,Cuiaba,1412.0,FW,Atacante,Atacante,-0.7289993010387056,-0.5254830934595849,-0.1144897363948627,-0.3262383345764857
BRA1,2024,145777.0,Rafael Borré,Internacional,2049.0,FW,Atacante,Atacante,-0.7696830219920151,-0.1960246049652126,0.960890048386852,1.2979103179900804
BRA1,2024,228061.0,Ángel Romero,Corinthians,1636.0,FW,Atacante,Atacante,2.2559582671175504,0.3597166939004566,1.6536536246126814,1.1448361244622447
BRA1,2024,296479.0,Renato Kayzer,Fortaleza,1369.0,FW,Atacante,Atacante,0.0380484476306872,-0.5203296552155934,-0.6151551718846084,0.0050934092186537
BRA1,2024,298449.0,Thaciano,Bahia,2517.0,FW,Atacante,Atacante,-0.460072385579256,1.8143538923161333,0.1128703338164038,1.84231070622161
BRA1,2024,303689.0,Pablo Vegetti,Vasco da Gama,3338.0,FW,Atacante,Atacante,1.1080999254745725,-0.7492600920757324,-0.1313444787072264,-0.1968090444673681
BRA1,2024,303995.0,Juan Lucero,Fortaleza,2478.0,FW,Atacante,Atacante,-0.5783309958203738,-0.90805491481787,-1.1013477207325937,-0.4871512256610906
BRA1,2024,315587.0,Lucas Di Yorio,Athletico Paranaense,931.0,FW,Atacante,Atacante,0.0838957554393339,-0.4508580089921973,-0.2458487920313459,-0.284250880449602
BRA1,2024,318475.0,Pedro,Flamengo,1857.0,FW,Atacante,Atacante,-1.1472623673090598,0.5609897173467352,-0.5984684395496357,-0.4603753282884616
BRA1,2024,322788.0,Tiquinho Soares,Botafogo RJ,1525.0,FW,Atacante,Atacante,-0.1187039915110158,-0.3914331403371,-0.3373731804268649,-0.2567266425915367
