Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
820,I. Provedel,Lazio,Lazio,GK,GK,0,29,12000000,2027-06-30,37,3611,Italy,Italy,right,192,84,no,0.27501,75.36,0.011,1.02,0.97,0.01162790697674421,4.047058823529412,ITA1,Testing,2023,0.4125817895290759,0.3868291923213734,0.4
821,T. Cardozo,Peñarol,Peñarol,GK,GK,0,27,600000,2024-12-31,21,2091,Uruguay,Uruguay,right,182,83,no,0.34,72.13,-0.02,1.29,1.38,-0.028169014084507,3.602739726027397,URU,Testing,2023,0.398296780859991,0.4010685063031659,0.4
822,R. Méndez,La Luz,La Luz,GK,GK,0,22,300000,2023-12-31,22,2195,Uruguay,Uruguay,right,182,77,yes,0.575572,59.22,-0.258,2.05,2.01,-0.178082191780822,2.453488372093023,URU,Testing,2023,0.4062910780127893,0.3936893629611967,0.4
823,A. Rodríguez,Deportivo Cali,Deportivo Cali,GK,GK,0,22,0,2024-12-31,16,1584,Colombia,Colombia,,0,0,no,0.34,71.26,0.021,1.02,1.59,0.01388888888888895,3.47887323943662,COL,Testing,2023,0.4056996053127007,0.3929423497681661,0.399
824,I. Meslier,Leeds United,Leeds United,GK,GK,0,23,22000000,2026-06-30,20,1977,France,France,left,196,74,no,0.548544,57.73,-0.259,1.68,2.46,-0.1614906832298137,2.363636363636363,ENG1,Testing,2023,0.4318312254122507,0.3665136440146164,0.399
825,K. Casteels,Wolfsburg,Wolfsburg,GK,GK,0,31,8000000,2024-06-30,29,2842,Belgium,Belgium,left,197,86,no,0.414375,65.65,0.041,1.43,1.3,0.02721088435374153,2.902097902097903,GER1,Testing,2023,0.4050638652716251,0.3937492775297409,0.399
826,O. Sail,Perth Glory,Perth Glory,GK,GK,0,27,700000,,23,2268,New Zealand,"New Zealand, Australia",right,194,80,no,0.28,71.11,0.006,1.27,1.67,0.0,3.458064516129032,AUS,Testing,2023,0.4072468803680875,0.3885281441029608,0.398
827,I. Pomazun,Ural,Ural,GK,GK,0,27,1800000,2024-06-30,31,3047,Russia,Russia,right,192,84,yes,0.37,70.75,0.04,0.91,1.49,0.02962962962962967,3.412213740458015,RUS,Testing,2023,0.4042056448814773,0.3911053692552074,0.398
828,Kim Seung-Gyu,Al Shabab,Al Shabab,GK,GK,0,33,900000,2025-06-30,38,3940,Korea Republic,Korea Republic,right,187,84,no,0.344136,66.46,-0.019,1.55,1.83,-0.01652892561983466,2.991869918699187,SAUD,Testing,2023,0.3938918952869402,0.4012763277580587,0.398
829,B. Stuver,Austin FC,Austin FC,GK,GK,0,32,800000,2025-12-31,34,3384,United States,United States,right,191,81,no,0.160008,70.74,0.071,1.62,1.38,0.04575163398692816,3.424657534246575,USA,Testing,2023,0.3993440937035484,0.3966706759500514,0.398
