Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,xG,xA,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
747,A. Connolly,Millwall,Millwall,"LAMF, CF, AMF",LAMF,10,25.0,2500000,2025-06-30,24,1060,Republic of Ireland,Republic of Ireland,right,174,73,no,3.14,1.955,2.71415,1.4416,4.75664,0.22,0.04,ENG2,Testing,2025,0.1485315443197786,0.1434668528788223,0.1434701422789285
748,E. Le Fée,Sunderland,Sunderland,"LW, LAMF, CF",LW,10,25.0,18000000,2029-06-30,18,1434,France,France,right,173,66,yes,8.85,4.519008,6.718716000000001,4.141956,3.70164,0.07,0.07,ENG2,Testing,2025,0.6337667858562059,0.6379666931142516,0.6347883874246077
749,A. Musaba,Sheffield Wednesday,Sheffield Wednesday,"LAMF, LW, RW",LAMF,10,24.0,1300000,2026-06-30,29,1482,Netherlands,"Netherlands, Congo DR",right,182,72,no,3.28,1.698606,2.065088,1.762332,4.918122,0.24,0.1,ENG2,Testing,2025,0.1328367525833888,0.1358954374939695,0.1318025881955006
750,Y. Hirakawa,Bristol City,Bristol City,"RAMF, RWB, RW",RAMF,10,24.0,0,2026-01-31,38,1905,Japan,Japan,right,172,68,yes,5.76,3.540292,4.111376,2.739888,5.053408000000001,0.1,0.08,ENG2,Testing,2025,0.4139783332853615,0.3909397024228935,0.4006894471522048
751,M. Whittaker,Middlesbrough,Middlesbrough,"RAMF, AMF, RW",RAMF,10,24.0,12000000,2027-06-30,36,2971,England,England,left,183,69,no,4.12,2.483368,4.118939999999999,3.359065,4.5152,0.1,0.05,ENG2,Testing,2025,0.3276838212599679,0.3137498695962932,0.3187052017006605
752,A. Mehmeti,Bristol City,Bristol City,"LAMF, LWF, AMF",LAMF,10,24.0,1800000,2026-06-30,44,2869,England,"England, Albania",right,180,63,no,5.11,3.452734,2.950423,2.1038,4.48573,0.31,0.09,ENG2,Testing,2025,0.3164488088446891,0.3096883578493891,0.3110342898919291
753,P. Lane,Portsmouth,Portsmouth,"RAMF, AMF, LAMF",RAMF,10,24.0,0,2026-06-30,22,1165,England,"England, Northern Ireland",left,175,65,no,4.56,2.31572,2.856525,2.083823,1.620814,0.08,0.12,ENG2,Testing,2025,0.1889705620628298,0.1806902631486924,0.1824163518767864
754,Borja Sainz,Norwich City,Norwich City,"LWF, LAMF, CF",LWF,11,24.0,2200000,2026-06-30,41,3909,Spain,Spain,right,178,75,no,5.11,3.363906,3.82464,2.97206,5.01762,0.4,0.13,ENG2,Testing,2025,0.4186235190235112,0.4029990102209918,0.4090664284433451
755,L. Ramazani,Leeds United,Leeds United,"LAMF, LW, RAMF",LAMF,10,24.0,5000000,2028-06-30,29,936,Belgium,"Belgium, Burundi",right,168,55,no,7.31,5.383000000000001,4.231140999999999,3.27038,4.03956,0.37,0.11,ENG2,Testing,2025,0.5467352443298381,0.5397982691544163,0.5419141771032198
756,O. Azeez,Millwall,Millwall,"LAMF, LW, RAMF",LAMF,10,23.0,600000,2028-06-30,34,2087,England,"England, Spain",left,181,69,no,7.55,4.228504,3.92396,3.535083,4.095559,0.24,0.13,ENG2,Testing,2025,0.5193259653844041,0.5005580757537108,0.5084907523405082
757,Ronald,Swansea City,Swansea City,"RAMF, LAMF, RW",RAMF,10,23.0,1800000,2027-06-30,46,4027,Brazil,Brazil,right,177,65,no,7.33,3.888126,3.309171,2.774655,5.766128000000001,0.1,0.16,ENG2,Testing,2025,0.4595770972215519,0.4449049746980181,0.4506188907957828
758,K. Saito,Queens Park Rangers,Queens Park Rangers,"LAMF, LW",LAMF,10,23.0,4000000,2025-06-30,39,2515,Japan,Japan,right,170,60,yes,7.48,4.83054,3.646692,1.574038,4.042203,0.12,0.12,ENG2,Testing,2025,0.4266230952601959,0.422542786859448,0.4228788886193845
759,O. Schwartau,Norwich City,Norwich City,"RWF, AMF, RW",RWF,11,18.0,1200000,2028-06-30,40,1774,Denmark,Denmark,right,186,77,no,5.58,3.244395,3.348454,1.878825,1.979548,0.19,0.06,ENG2,Testing,2025,0.2554922512106012,0.2284061151365843,0.2397042751989006
760,Tom Watson,Sunderland U21,Sunderland,"LAMF, LW, RAMF",LAMF,10,19.0,0,,21,1045,England,England,,0,0,no,6.89,4.135521000000001,3.44624,2.239511,5.855105999999999,0.23,0.14,ENG2,Testing,2025,0.4152393818912419,0.4195579802420458,0.415673353004318
761,B. Doak,Middlesbrough,Middlesbrough,"RAMF, RW",RAMF,10,19.0,0,2025-06-30,24,1902,Scotland,Scotland,right,173,65,yes,4.68,3.026942,2.744324,3.361722,5.91714,0.22,0.24,ENG2,Testing,2025,0.4636267246072855,0.444772720358096,0.4525833778150372
762,L. Koumas,Stoke City,Stoke City,"RW, LW, RAMF",RW,10,19.0,0,2025-05-31,43,2678,England,"England, Wales",right,181,62,yes,4.97,3.228526,2.052967,0.8733770000000001,3.225132,0.18,0.05,ENG2,Testing,2025,0.2175991605455234,0.1866878041296267,0.1997806929052531
763,R. Esse,Crystal Palace,Millwall,"RAMF, RW",RAMF,10,19.0,0,2030-06-30,24,2195,England,"England, Côte d'Ivoire",right,178,65,no,8.49,4.676393999999999,4.467794,3.523893,5.864225999999999,0.12,0.04,ENG2,Testing,2025,0.5714749357623312,0.5493041868369467,0.5590876895020095
764,Z. Nelson,Luton Town,Luton Town,"LAMF, RCMF, LW",LAMF,10,20.0,0,,21,919,England,England,,0,0,no,7.83,4.307951999999999,4.308738,1.862,2.253374,0.08,0.1,ENG2,Testing,2025,0.4366729433795491,0.4259912691302971,0.4296480409372915
765,R. Vata,Watford,Watford,"LW, LAMF, LWF",LW,10,20.0,0,2028-06-30,33,1733,Republic of Ireland,"Republic of Ireland, Albania",right,175,65,no,4.62,2.806875,1.92286,2.12604,4.466406,0.17,0.07,ENG2,Testing,2025,0.2533604179700525,0.2260629389591789,0.2374601442954085
766,C. Ashford,Cardiff City U21,Cardiff City,"RAMF, RW, CF",RAMF,10,20.0,0,2027-06-30,28,1688,Wales,Wales,unknown,0,0,no,5.44,3.995348000000001,2.984273,1.54672,3.785376,0.12,0.1,ENG2,Testing,2025,0.3213514914199633,0.2959465933440982,0.3066016608033588
767,L. Koleosho,Burnley,Burnley,"RAMF, LW, LAMF",RAMF,10,20.0,0,2029-06-30,28,1828,United States,"United States, Italy",right,175,67,no,5.61,3.986382,3.298096,4.085406000000001,5.660264000000001,0.12,0.09,ENG2,Testing,2025,0.5285738052021995,0.4902991775612763,0.5079837260681928
768,A. Crnac,Norwich City,Norwich City,"RWF, CF, RAMF",RWF,11,21.0,2000000,2028-06-30,38,2690,Croatia,Croatia,left,190,83,no,5.45,3.210510000000001,1.638119,1.101821,2.072722,0.21,0.09,ENG2,Testing,2025,0.2120223642747912,0.1892137640623451,0.1982507573301089
769,W. Gnonto,Leeds United,Leeds United,"RAMF, LAMF, RW",RAMF,10,21.0,16000000,2028-06-30,43,2489,Italy,"Italy, Côte d'Ivoire",right,170,71,no,4.85,2.565248,5.529966000000001,3.185292,5.425482,0.34,0.15,ENG2,Testing,2025,0.426414429597483,0.4285157869292779,0.4257695911348192
770,D. Gassama,Sheffield Wednesday,Sheffield Wednesday,"LW, LAMF, RAMF",LW,10,21.0,0,2026-06-30,43,3171,Mauritania,"Mauritania, France",right,177,0,no,5.51,3.294135,2.698746,1.76202,6.586101,0.18,0.1,ENG2,Testing,2025,0.3167170505931512,0.3219340787369529,0.3173098007688403
771,Bae Jun-Ho,Stoke City,Stoke City,"LAMF, LW",LAMF,10,21.0,0,2027-06-30,45,3559,Korea Republic,Korea Republic,right,178,70,no,7.21,3.666636,4.30016,2.375562,3.564544,0.12,0.12,ENG2,Testing,2025,0.4018870401524276,0.4102656701655724,0.4043174969174857
772,A. Brooks,Sheffield United,Sheffield United,"RAMF, RW",RAMF,10,21.0,0,2027-06-30,25,1185,England,"England, Jamaica",left,180,71,no,7.97,4.405968,2.353644,2.357343,4.63437,0.26,0.22,ENG2,Testing,2025,0.4421432245192685,0.4542370177363163,0.4465559794975779
773,T. Goodrham,Oxford United,Oxford United,"LW, RW, LAMF",LW,10,21.0,500000,2027-06-30,41,3320,England,"England, Republic of Ireland",right,170,60,no,7.92,4.935294,3.983615,2.38868,2.763486,0.07,0.09,ENG2,Testing,2025,0.4524094381387009,0.4389457778821076,0.4440360257698659
774,M. Burstow,Hull City,Hull City,"LWF, LAMF, RAMF",LWF,11,21.0,0,2028-06-30,31,1104,England,"England, Jamaica",right,187,79,no,6.6,4.074354,3.17941,2.935352,2.93425,0.21,0.03,ENG2,Testing,2025,0.3910448189658142,0.3683370646725343,0.3778539452477389
775,T. Fellows,West Bromwich Albion,West Bromwich Albion,"RAMF, RW",RAMF,10,21.0,600000,2027-06-30,45,3075,England,England,right,183,73,no,4.62,2.8116,1.841,2.46065,5.767840000000001,0.14,0.22,ENG2,Testing,2025,0.303307060990241,0.2998853908049363,0.299527957956659
776,A. Kamara,Hull City,Hull City,"RAMF, RWF, LW",RAMF,10,21.0,600000,2028-06-30,38,2449,England,"England, Sierra Leone",left,183,74,no,6.14,3.419365999999999,2.31777,2.023637,3.309042,0.16,0.12,ENG2,Testing,2025,0.2691168092756733,0.2684807041139923,0.2666333616239949
777,R. Mundle,Sunderland,Sunderland,"LWF, LW, LAMF",LWF,11,22.0,1500000,2028-06-30,24,1657,England,England,right,177,61,no,6.3,3.80328,3.099096,2.226735,7.984817999999999,0.12,0.13,ENG2,Testing,2025,0.3861877372467596,0.38895259092437,0.385756501212224
778,K. Dembélé,Queens Park Rangers,Queens Park Rangers,"RAMF, AMF, CF",RAMF,10,22.0,900000,2026-06-30,23,1307,England,"England, Scotland",left,167,60,yes,4.34,2.550302,4.405423,3.095841000000001,4.752800000000001,0.11,0.14,ENG2,Testing,2025,0.3493194315225056,0.3388581701540153,0.3421463713216582
779,K. Baah,Watford,Watford,"RWF, RW, CF",RWF,11,22.0,300000,2029-06-30,27,1607,Germany,"Germany, England",right,182,75,no,3.75,2.183051,1.50974,1.1775,5.768685,0.19,0.15,ENG2,Testing,2025,0.1487156126305079,0.1703356105234795,0.1570366126666115
780,L. Dobbin,Norwich City,Norwich City,"LWF, RAMF, LW",LWF,11,22.0,2500000,2025-05-31,27,1114,England,England,right,175,67,yes,5.01,2.991267,2.424312,1.453406,4.604145,0.1,0.04,ENG2,Testing,2025,0.2317556280123716,0.2239638211277509,0.2255730917699668
781,J. Rak-Sakyi,Sheffield United,Sheffield United,"RAMF, RW",RAMF,10,22.0,0,,35,1874,England,"England, Ghana",left,178,65,yes,5.91,3.646356,3.118414,1.922932,4.657653,0.29,0.12,ENG2,Testing,2025,0.3312182897420502,0.3381171124324768,0.3326973717234585
782,M. Peart-Harris,Swansea City,Swansea City,"RAMF, LAMF",RAMF,10,22.0,700000,2025-06-30,29,1815,England,England,right,187,70,yes,4.61,2.03528,2.976441,2.280114,3.867072,0.17,0.06,ENG2,Testing,2025,0.2076860819016723,0.1963134706075707,0.1996365612480182
783,O. Tanner,Cardiff City,Cardiff City,"RW, RAMF, LAMF",RW,10,22.0,1500000,2027-06-30,29,1533,England,England,left,177,69,no,7.05,4.167408,3.814848,3.871569,3.05371,0.22,0.1,ENG2,Testing,2025,0.5011857428679635,0.4844585370771867,0.4913201725618289
784,Eom Ji-Sung,Swansea City,Swansea City,"LAMF, RW, LW",LAMF,10,22.0,700000,2028-06-30,37,2419,Korea Republic,Korea Republic,right,176,70,no,6.88,3.12381,4.01898,2.41623,4.577625,0.24,0.15,ENG2,Testing,2025,0.3756408654128907,0.3836440778452545,0.377805331516975
785,M. Manhoef,Stoke City,Stoke City,"RAMF, RW, CF",RAMF,10,23.0,3500000,2027-06-30,34,2651,Netherlands,"Netherlands, Suriname",left,179,71,no,3.73,2.478348,3.158452,2.30728,4.241424,0.24,0.18,ENG2,Testing,2025,0.2667298843824347,0.2619008347673976,0.2621366872755273
