Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Sucesso em desarmes (%),Posses recuperadas (p90),Ações defensivas (p90),Sucesso em 1v1 defensivo (%)
BRA1,2024,317681.0,Fabrício Bruno,Flamengo,2604.0,DC,Zagueiro,Zagueiro,-1.464680447331166,-0.1504239774336958,-0.0170189405499014,-0.5637396286985208
BRA1,2024,317749.0,Neris,Cruzeiro,1888.0,DC,Zagueiro,Zagueiro,0.1335558125791394,-1.2518020593770474,-1.2862656880452366,-0.535198105455412
BRA1,2024,318478.0,Robert Arboleda,Sao Paulo,2571.0,DC,Zagueiro,Zagueiro,-0.2861733449421654,0.4205726234171057,0.7539302082419944,-0.164949425503733
BRA1,2024,334663.0,Agustín Rogel,Internacional,1182.0,DC,Zagueiro,Zagueiro,0.6763414117511225,-1.3100839232726182,-0.7622011013756302,-2.1154489011313955
BRA1,2024,334966.0,Alan Franco,Sao Paulo,2467.0,DC,Zagueiro,Zagueiro,-1.0137711659631352,2.033463632689813,0.6688981476170172,-0.3941651895897453
BRA1,2024,337247.0,Kanu,Bahia,3013.0,DC,Zagueiro,Zagueiro,-0.3619421599080776,0.4693082371064001,0.1732866061548938,0.4248420406632475
BRA1,2024,337888.0,Marllon,Cuiaba,3332.0,DC,Zagueiro,Zagueiro,0.6127627758235611,-0.7265242488763285,-0.926925026562928,0.3802141851266449
BRA1,2024,339173.0,Murilo,Palmeiras,2421.0,DC,Zagueiro,Zagueiro,0.1148679298694602,-0.2861628483368039,0.2552263703748209,0.6777977820478824
BRA1,2024,355684.0,Léo Ortiz,Flamengo,2082.0,DC,Zagueiro,Zagueiro,-2.523982435124396,-0.5073879425490437,-0.5479629383530339,-0.0367076597177444
BRA1,2024,361471.0,Cacá,Corinthians,2616.0,DC,Zagueiro,Zagueiro,0.3345774770474226,-0.8030301957446713,-0.6863614361295146,0.1329509505295078
BRA1,2024,364161.0,Luan Cândido,Red Bull Bragantino,2216.0,DC,Zagueiro,Zagueiro,0.7411892562412687,-0.9808607771669025,-0.5239086882048565,1.459137036501745
BRA1,2024,366432.0,Kaique Rocha,Athletico Paranaense,2783.0,DC,Zagueiro,Zagueiro,0.0043407688282098,0.1054735865286123,0.1261893417623967,-0.4852534288525149
BRA1,2024,373848.0,João Victor,Vasco da Gama,1983.0,DC,Zagueiro,Zagueiro,0.4435930834675935,-0.3561786504160563,-0.105771212067546,1.14682254740496
BRA1,2024,373938.0,Lucas Halter,Botafogo RJ,1528.0,DC,Zagueiro,Zagueiro,1.905911241662612,-0.5571580630868759,-0.5376311400416796,0.9592253490801482
BRA1,2024,373974.0,Wagner Leonardo,Vitoria,3577.0,DC,Zagueiro,Zagueiro,-1.1365305633454097,-0.5380058089197438,-0.4979382127615651,-0.7283439154625693
BRA1,2024,379229.0,Bruno Fuchs,Atletico MG,2363.0,DC,Zagueiro,Zagueiro,-0.2220402107844568,1.2903035337800266,0.9038507441532232,0.6495320634467188
BRA1,2024,383150.0,Diego Costa,Sao Paulo,1009.0,DC,Zagueiro,Zagueiro,1.093279671397804,1.549499017006989,1.9961445570929688,-1.1389798292275144
BRA1,2024,383601.0,Zé Marcos,Juventude,2232.0,DC,Zagueiro,Zagueiro,-0.6364674922687497,-0.1344284269601961,0.0105576309334962,0.6209310784788663
BRA1,2024,397496.0,Sabino,Sao Paulo,1101.0,DC,Zagueiro,Zagueiro,0.484471026863411,2.637692553624038,2.9166405771155506,2.2694053568457537
BRA1,2024,397766.0,Vitão,Internacional,2798.0,DC,Zagueiro,Zagueiro,0.2116283504326837,-0.2323432733294011,-0.3142254428264049,-0.1152354917506545
BRA1,2024,402736.0,Nahuel Ferraresi,Sao Paulo,1052.0,DC,Zagueiro,Zagueiro,0.6734566553151209,0.9965258597811304,0.378837263986847,0.1786282961790697
BRA1,2024,406287.0,Benjamín Kuscevic,Fortaleza,2096.0,DC,Zagueiro,Zagueiro,-0.4696730957869383,-0.5934474205646288,-0.2082765253265336,0.4543463914771217
BRA1,2024,409317.0,Lucas Freitas,Juventude,1409.0,DC,Zagueiro,Zagueiro,-2.2229124114450887,-0.8271658154426016,-1.321835600523989,-1.709654693409903
BRA1,2024,416910.0,Zé Ivaldo,Cruzeiro,2652.0,DC,Zagueiro,Zagueiro,-0.1330511125511395,0.4766900069455587,0.3340797412285697,0.2459763962794491
BRA1,2024,417439.0,Danilo Boza,Juventude,3188.0,DC,Zagueiro,Zagueiro,-2.415669496148551,-0.3322633518562575,-0.2252879492200603,-1.2283809895422688
BRA1,2024,417722.0,Félix Torres,Corinthians,1971.0,DC,Zagueiro,Zagueiro,-0.6958804601171833,0.8276615011238834,-0.0490561383871016,-1.2662690171733912
BRA1,2024,430082.0,João Marcelo,Cruzeiro,3021.0,DC,Zagueiro,Zagueiro,-0.3215000189030124,0.5899965400208512,0.9650149877065848,-0.6015611079649332
BRA1,2024,440058.0,Robert Renan,Internacional,1106.0,DC,Zagueiro,Zagueiro,1.5998147114461143,1.0119197518617955,0.2859930735166004,1.152442895649089
BRA1,2024,441930.0,Alix,Atletico GO,2286.0,DC,Zagueiro,Zagueiro,1.120551129761859,0.6103569895940208,0.2756050408111514,-0.1732928204818283
BRA1,2024,444209.0,Eduardo Santos,Red Bull Bragantino,1934.0,DC,Zagueiro,Zagueiro,0.8483713208427273,0.5646845313977201,-0.0265820720662933,0.6027327089686323
BRA1,2024,446331.0,Mateo Gamarra,Athletico Paranaense,1664.0,DC,Zagueiro,Zagueiro,-0.7852617730113306,0.8318648793928979,0.8590515160643959,-0.0194172787806203
BRA1,2024,450865.0,Gustavo Martins,Gremio,1525.0,DC,Zagueiro,Zagueiro,0.6173259430014395,0.291141096414799,-0.045995048712495,-0.8771209693591459
BRA1,2024,454770.0,Douglas Mendes,Red Bull Bragantino,1531.0,DC,Zagueiro,Zagueiro,1.1657406948232931,-0.6191771408531517,-0.8113742754758755,-1.0228645282792614
BRA1,2024,467987.0,Gabriel Xavier,Bahia,3510.0,DC,Zagueiro,Zagueiro,0.4116860063971568,1.2985627898819083,2.3338752084564307,1.0475200894069407
BRA1,2024,478314.0,Vitor Reis,Palmeiras,1656.0,DC,Zagueiro,Zagueiro,-0.0473241024940042,-0.0081082315989633,0.2716044543479906,0.1366403431913448
BRA1,2024,513490.0,Rodrigo,Criciuma,3268.0,DC,Zagueiro,Zagueiro,0.2390581188334115,0.5488339978330988,0.6028530742219198,-0.020567570009215
BRA1,2024,514393.0,Adriano Martins,Atletico GO,3364.0,DC,Zagueiro,Zagueiro,0.0107175742991701,-0.3016279701830093,-0.7202990766241629,-0.3770055963304176
BRA1,2024,20241.0,Marcelo,Fluminense,1151.0,DL,Lateral,Lateral,0.7660462768845975,0.6193053090910241,0.4580716501223854,-0.2101704820059208
BRA1,2024,74447.0,Marcos Rocha,Palmeiras,2178.0,DR,Lateral,Lateral,-0.1305705034207778,0.517022793143597,0.4083240882781369,0.2739017730432987
