Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Participação,Pressão na linha alta,Impacto do passe,Movimentação ofensiva,Drible,Efetividade,Criação de oportunidades,Ameaça ofensiva,Finalização,rating,percentil,rank
BEL1,2022,77176.0,Mats Rits,Club Bruges,1293.0,AMR,Extremo,Extremo,0.0124323302740972,0.0,-0.1127258842155416,0.0,-0.1200040966000249,0.0149682833581377,-0.1386496893856343,-0.2946928193349478,-0.4996504660054318,0.141,15.0,18
BEL1,2022,141875.0,Gyrano Kerk,Royal Antwerp,1137.0,AMR,Extremo,Extremo,0.0785458445363575,0.0,-0.216763216687883,0.0,-0.3111542635471618,1.1289820131548731,0.0051520799734529,-0.0342678787690725,0.5110405141602488,0.445,60.0,9
BEL1,2022,243549.0,Nikola Storm,KV Mechelen,2724.0,FWL,Extremo,Extremo,-0.1734337625069285,0.0,-0.0508003653022082,0.0,0.2662197468224241,-0.0440891487980934,-0.0372443975717399,0.1086362423723228,-0.5691693697617601,0.345,40.0,13
BEL1,2022,259352.0,David Atanga,Oostende,1372.0,FWR,Extremo,Extremo,0.2085015656273021,0.0,-0.1386994562613418,0.0,-0.1374332334825282,-0.0085584472287584,0.2802170477529827,-0.1875347878415323,0.1025512423548731,0.417,55.0,10
BEL1,2022,260640.0,Geoffry Hairemans,KV Mechelen,2658.0,FWR,Extremo,Extremo,0.3452635055645936,0.0,0.7641457482630337,0.0,0.2306263303789715,-0.5111637589484685,0.0229662567912006,0.0930040635866914,0.7957458303568307,0.685,95.0,2
BEL1,2022,280476.0,Anders Dreyer,Anderlecht,1250.0,FWR,Extremo,Extremo,-0.1590046658610909,0.0,0.0043264812955524,0.0,0.0680446231637896,0.2335195280068653,0.0986716998871943,0.1446252760565544,0.0451562415583377,0.491,70.0,7
BEL1,2022,288787.0,Regan Charles-Cook,Eupen,2354.0,FWL,Extremo,Extremo,0.0944041028058154,0.0,-0.1876485156701045,0.0,-0.0252658836377473,-0.0993822919307398,-0.0035697555657223,-0.1550520649173441,0.5990289041282694,0.505,75.0,6
BEL1,2022,328987.0,Calvin Stengs,Royal Antwerp,2101.0,AMR,Extremo,Extremo,-0.0932510055799138,0.0,0.5060607060438991,0.0,0.3792632078033626,-0.1562949159113255,-0.2514879307667815,0.0913971759818682,-0.7638818835847752,0.267,25.0,16
BEL1,2022,354283.0,Noa Lang,Club Bruges,2464.0,AML,Extremo,Extremo,-0.1378301910697165,0.0,0.63751158251715,0.0,0.3052039563127923,0.3345936436401325,0.1037876685168791,0.3580082116446175,0.0826757080396064,0.613,90.0,3
BEL1,2022,355450.0,Philip Zinckernagel,Standard Liege,2283.0,FWL,Extremo,Extremo,-0.007691207690207,0.0,0.1974339133066501,0.0,0.1021295043170811,-0.2687751629654208,0.1319545031512823,-0.0158537451447207,0.2622202958213167,0.521,80.0,5
BEL1,2022,361815.0,Yann Gboho,Cercle Bruges,1234.0,FWL,Extremo,Extremo,0.2873363867055976,0.0,-0.0817486462160623,0.0,0.1177240307436451,0.6035225197904692,-0.0150214054737129,0.048369572127006,-0.5556381631298136,0.302,35.0,14
BEL1,2022,363655.0,Joseph Paintsil,Genk,3097.0,AMR,Extremo,Extremo,-0.1476400978051427,0.0,-0.1282791021060489,0.0,0.0725778074348619,0.6155739036808563,0.4080528653202466,0.2576282651603283,1.6750323963630254,1.0,100.0,1
BEL1,2022,363717.0,Francis Amuzu,Anderlecht,2462.0,FWL,Extremo,Extremo,-0.0590080855721677,0.0,0.0289169118725926,0.0,-0.1607566308865028,0.3344212395753947,-0.0737058274696775,0.0894431806951586,-0.6052347370853634,0.216,20.0,17
BEL1,2022,371027.0,Tajon Buchanan,Club Bruges,1899.0,FWR,Extremo,Extremo,-0.0242317270800857,0.0,-0.3974899786636335,0.0,-0.3427898619899227,-0.6296175211742103,-0.1746581013271694,-0.3490553936679849,-0.7574021358721237,0.0,5.0,20
BEL1,2022,383208.0,Arbnor Muja,Royal Antwerp,1881.0,AMR,Extremo,Extremo,0.0467378600333784,0.0,-0.1463491976485764,0.0,-0.0114899966148804,-0.0606130435624852,-0.0187928014114014,0.0456727208520911,-0.4852566128231534,0.286,30.0,15
BEL1,2022,383581.0,Mike Trésor,Genk,3525.0,AML,Extremo,Extremo,-0.1340795705766171,0.0,0.3646789318958093,0.0,0.0553907441579655,0.0510243617999088,-0.0445377944464647,0.2445372005299005,0.2735515737255944,0.533,85.0,4
BEL1,2022,400037.0,Thomas Van den Keybus,Westerlo,2322.0,AML,Extremo,Extremo,-0.1302140307860046,0.0,-0.2568671341316051,0.0,0.2886554242872478,-0.4596756597596679,-0.1258205353267958,-0.2407125345974307,-0.1442565071761882,0.347,45.0,12
BEL1,2022,401117.0,Michel-Ange Balikwisha,Royal Antwerp,2499.0,AML,Extremo,Extremo,-0.1718892028822173,0.0,-0.0386290061540561,0.0,-0.38300347244964,0.0854391934187945,0.0404285280283831,0.1739314485124218,0.3890415296225659,0.457,65.0,8
BEL1,2022,421983.0,Alieu Fadera,Zulte Waregem,2947.0,FWL,Extremo,Extremo,0.0938593163373826,0.0,-0.3034740198745221,0.0,-0.1980371798873241,-0.2039598511780492,-0.053456242805026,-0.0239298573124598,0.2062332924416313,0.385,50.0,11
BEL1,2022,430351.0,Cihan Çanak,Standard Liege,1501.0,FWR,Extremo,Extremo,0.0711926355255666,0.0,-0.4435997522631029,0.0,-0.1959007563264151,-0.9599148849682066,-0.1542861678714961,-0.3541542759334691,-0.5617876531336892,0.089,10.0,19
