Liga,Temporada,Atleta,Clube,função,Posição,Participação,Pressão na linha alta,Ameaça aérea,Conexão ofensiva,Movimentação ofensiva,Criação de oportunidades,Finalização,Oportunismo
BEL1,2022,Jelle Vossen,Zulte Waregem,Atacante,Atacante,-0.0218766990611495,0.0,0.1549328876869017,0.3987742396637477,0.0,-0.0671086850210272,-0.2312321196013708,-0.2186645309067368
BEL1,2022,Shinji Okazaki,St.Truiden,Atacante,Atacante,0.0038430748740721,0.0,0.1570292221733277,-0.0809693167596157,0.0,-0.2000033769470237,-0.8271142079825271,-0.961479231622048
BEL1,2022,Igor Vetokele,Westerlo,Atacante,Atacante,0.1526548285478541,0.0,-0.3115415940159912,-0.6878322986160657,0.0,0.08243003575922,0.1033977985989631,1.290720057484135
BEL1,2022,Gianni Bruno,St.Truiden,Atacante,Atacante,-0.0659917376762399,0.0,-0.0223401823640873,0.2932495724787511,0.0,0.1361462703436094,1.0781088704298505,0.4146891327084128
BEL1,2022,Zinho Gano,Zulte Waregem,Atacante,Atacante,0.2709704125262742,0.0,0.9740099616783724,-0.0387629796560505,0.0,0.2158320539870314,-0.2147916980507512,2.010324230169521
BEL1,2022,Laurent Depoitre,Gent,Atacante,Atacante,0.1268473721167263,0.0,0.1398355140925915,-0.2403038285457533,0.0,0.0777264995542273,0.0153211784565949,-0.13550396641616
BEL1,2022,Felipe Avenatti,Kortrijk,Atacante,Atacante,0.2756989678114024,0.0,1.2333395408552696,0.4580404414339544,0.0,0.0016874773709645,0.0916889230299972,0.2012321491398889
BEL1,2022,Stipe Perica,Standard Liege,Atacante,Atacante,0.0464809966318379,0.0,-0.5662956860215647,-0.6170119161094444,0.0,-0.0338330324253427,-0.564098156689609,0.7429301132512125
BEL1,2022,Paul Onuachu,Genk,Atacante,Atacante,0.0467978047164369,0.0,0.5254781754001712,-0.0775397202331006,0.0,0.480565086562119,1.3875729342439485,2.2338041066984493
BEL1,2022,Vincent Janssen,Royal Antwerp,Atacante,Atacante,0.0340362452971422,0.0,0.484485042578193,0.1370442695298458,0.0,0.0410914210208381,0.5292796134723802,-0.0902793534145502
BEL1,2022,Smail Prevljak,Eupen,Atacante,Atacante,-0.0933906668593011,0.0,-0.111306498177129,-0.060318090155367,0.0,-0.0827644666731781,-0.4942176929685899,-0.5241880829078294
BEL1,2022,Thierry Ambrose,Oostende,Atacante,Atacante,0.1668685665140703,0.0,0.8972635501629977,0.2576622180521732,0.0,-0.1284276202563936,-0.6106641726425377,-0.8696409941825598
BEL1,2022,Roman Yaremchuk,Club Bruges,Atacante,Atacante,-0.0794965907345011,0.0,-0.4864869702259882,-0.3438452931798829,0.0,-0.1496164900505425,-0.6701728776391344,0.1608090170409883
BEL1,2022,Isaac Mbenza,Sporting Charleroi,Atacante,Atacante,-0.2299614011813457,0.0,-0.606862954774544,0.3082694312492168,0.0,-0.0927979060950573,-0.4923539870936489,-0.2046961482192469
BEL1,2022,Dante Vanzeir,Union St.Gilloise,Atacante,Atacante,-0.1672907242845609,0.0,-0.4437445558462948,0.2415745114826167,0.0,0.1029673529076325,0.7823441518480396,0.0609499208443771
