Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Ações_Ofensivas_BemSucedidas,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
15,N. Estévez,Parma,Parma,"RDMF, DMF, LDMF",RDMF,7,28,0,2026-06-30,34,2682,Argentina,"Argentina, Spain",right,181,77,no,10.34,2.38521,11.209188,4.794836,0.77,0.9072,0.204,0.34,4.696037999999999,ITA2,Testing,2024,0.5049321083657808,0.501064923022217,0.5029985156939989
16,S. Branca,Cittadella,Cittadella,DMF,DMF,7,32,0,,32,2787,Italy,Italy,left,179,71,no,14.24,4.165664,12.855636,5.651536,1.55,2.29425,0.8385000000000001,0.97,5.4875,ITA2,Testing,2024,0.9270259656629269,0.9302552747434912,0.9286406202032091
17,Adrián Bernabé,Parma,Parma,"RDMF, AMF, RCMF",RDMF,7,23,0,2027-06-30,37,2953,Spain,Spain,left,170,66,no,7.1,3.50277,13.107168,7.709695,3.35,4.116996,2.13194,2.13,7.46991,ITA2,Testing,2024,0.6589647645661586,0.7464000431424777,0.7026824038543182
18,F. Di Tacchio,Ascoli,Ascoli,"DMF, LCMF",DMF,7,34,0,2024-06-30,33,2961,Italy,Italy,left,186,80,yes,9.48,3.405544,9.364237,4.744854,0.94,1.309172,0.4565399999999999,0.36,4.375494,ITA2,Testing,2024,0.4839107370117789,0.4949350211899461,0.4894228791008626
19,C. Gomes,Palermo,Palermo,"DMF, RDMF, LDMF",DMF,7,23,0,2027-06-30,36,3030,France,"France, Guinea-Bissau",right,180,73,no,5.52,1.129272,7.095641,3.324444,1.87,2.585655,1.27756,1.31,3.94989,ITA2,Testing,2024,0.0,0.0,0.0
20,J. Segre,Palermo,Palermo,"LDMF, LCMF",LDMF,7,27,0,2025-06-30,37,3034,Italy,Italy,right,185,75,no,8.37,1.247344,6.404999999999998,2.725802,1.51,1.987251,0.711736,1.39,3.230136,ITA2,Testing,2024,0.05367639306129147,0.03825520958447962,0.04596580132288555
21,L. Fiordilino,FeralpiSalò,FeralpiSalò,DMF,DMF,7,27,0,2025-06-30,36,3040,Italy,Italy,right,178,68,yes,10.3,3.139745,9.0321,4.056834,0.71,1.511855,0.324184,0.5,4.496643000000001,ITA2,Testing,2024,0.4581261541224739,0.5087700857321769,0.4834481199273254
22,M. Castagnetti,Cremonese,Cremonese,DMF,DMF,7,34,0,2025-06-30,37,3052,Italy,Italy,left,180,71,no,7.76,3.804388,14.27558,8.135826,1.21,1.295328,0.4139160000000001,0.59,7.397991999999999,ITA2,Testing,2024,0.6683660731642909,0.751434726016798,0.7099003995905445
23,Gerard Yepes,Sampdoria,Sampdoria,"DMF, RCMF",DMF,7,21,0,2025-06-30,35,3071,Spain,Spain,right,170,66,no,10.67,3.019856,12.394317,5.684397000000001,0.79,1.32057,0.495197,1.0,5.361961,ITA2,Testing,2024,0.70185184798679,0.7142663390125987,0.7080590934996944
24,S. Esposito,Spezia,Spezia,"DMF, LCMF, RCMF",DMF,7,23,0,2027-06-30,37,3467,Italy,Italy,right,178,70,no,10.95,3.688392,13.941798,7.68828,1.66,3.814782,0.88527,1.25,7.425458000000001,ITA2,Testing,2024,1.0,1.0,1.0
25,T. Tessmann,Venezia,Venezia,"DMF, RCMF",DMF,7,22,0,2025-06-30,40,3782,United States,United States,right,188,83,no,6.83,5.020071,10.606864,7.530232,2.1,2.511128,1.119484,1.58,7.407168,ITA2,Testing,2024,0.6271733307637658,0.7033406771712168,0.6652570039674914
0,H. Bruseth,Orlando City,Kristiansund,"DMF, RCMF, LCMF",DMF,7,20,450000,2026-12-31,15,985,Norway,Norway,left,177,64,no,8.68,1.0032,6.125003,2.650392,1.83,3.927756,1.2768,1.19,2.7375,NOR,Testing,2024,0.0946854398084169,0.1073939890027435,0.1010397144055802
1,K. Krygård,Lillestrøm,Lillestrøm,"DMF, LCMF",DMF,7,24,800000,2028-07-31,14,1092,Norway,Norway,right,184,77,no,9.56,1.98,8.324546000000002,3.956459999999999,0.33,0.9068539999999998,0.164,0.66,3.875816,NOR,Testing,2024,0.3832531385794768,0.4071512577096961,0.3952021981445866
2,J. Andersen,Silkeborg,Sarpsborg 08,"RDMF, LDMF",RDMF,7,32,400000,2026-06-30,13,1123,Denmark,Denmark,right,178,75,no,8.5,2.805585,14.824965,7.21612,1.36,1.764455,0.5600400000000001,0.72,8.816136,NOR,Testing,2024,0.5901511843305387,0.6163506082195993,0.6032508962750691
3,A. Lúdvíksson,Haugesund,Haugesund,"RDMF, LDMF, RCMF",RDMF,7,21,350000,2027-12-31,22,1148,Iceland,Iceland,left,188,75,no,8.62,1.02135,8.465478000000001,2.821156,1.25,3.13563,0.9420000000000001,1.25,3.450393,NOR,Testing,2024,0.1296897656447007,0.1524421413440772,0.141065953494389
4,V. Hoff,Lillestrøm,Lillestrøm,"DMF, LCMF, RCMF",DMF,7,28,450000,2025-12-31,19,1309,Norway,Norway,right,181,74,no,9.08,2.268805,7.97202,5.22235,2.41,2.336184,1.028592,1.03,3.852537,NOR,Testing,2024,0.4547538568894773,0.4361770463433688,0.4454654516164231
5,S. Nilsen,Aberdeen,Brann,DMF,DMF,7,33,450000,2027-06-30,15,1380,Norway,Norway,right,185,78,no,11.67,2.28324,20.022714,8.872,0.85,1.69488,0.325,0.85,10.697723,NOR,Testing,2024,1.0,1.0,1.0
6,S. Jarl,Vålerenga,Kristiansund,"DMF, RCB",DMF,7,24,450000,2027-12-31,15,1484,Norway,Norway,right,188,75,no,8.37,3.337648,11.82827,4.49075,0.42,0.9106049999999999,0.244,0.36,5.399576000000001,NOR,Testing,2024,0.3521204766241046,0.3884223263490248,0.3702714014865647
7,M. Lundemo,Lillestrøm,Lillestrøm,"DMF, RCMF",DMF,7,30,300000,2024-12-31,20,1558,Norway,Norway,right,189,80,no,7.39,1.616202,9.53316,4.852458,0.64,1.67475,0.406029,0.69,5.892413999999999,NOR,Testing,2024,0.1278626212466145,0.1200839248075765,0.1239732730270955
8,T. Sørås,HamKam,HamKam,"DMF, RCMF",DMF,7,26,200000,2025-12-31,22,1642,Norway,Norway,right,190,84,no,7.78,0.657942,7.016655999999999,2.6848,1.26,1.920436,0.7149890000000001,1.43,3.39569,NOR,Testing,2024,0.0,0.0,0.0
