Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Aéreos_Ganhos,Passes_Curtos_Médios_Certos,Passes_Longos_Certos,Passes_Progressivos_Certos,Defesas,Gols_Evitados,Saídas,Interceptações.1,xG_Evitado,Finalizações_por_Gol_Sofrido,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
311,W. Ortega,Alajuelense,Alajuelense,GK,GK,0,30,700000,,26,2655,Uruguay,Uruguay,left,182,78,no,0.436442,6.272162000000001,2.373147,2.23787,84.21,0.0255192,1.49,0.98,0.4142857142857143,6.292682926829269,CRC,Testing,2025,0.655955764989377,0.6706660355922965,0.6662699711250374
312,A. Monreal,Municipal Liberia,Municipal Liberia,GK,GK,0,30,175000,2025-12-31,35,3475,Mexico,Mexico,right,187,84,no,0.72256,9.091320000000001,2.978616,2.767604,70.39,0.0002808,2.33,1.76,0.01680672268907568,3.367521367521368,CRC,Testing,2025,0.5310248141416193,0.5889567121254659,0.5624889164638792
313,G. Lajud,Guanacasteca,Guanacasteca,GK,GK,0,31,700000,,12,1197,Mexico,"Mexico, Lebanon",right,188,85,no,0.3,7.139154,2.102634,1.957632,74.51,0.000559,1.88,1.95,0.05769230769230771,3.908163265306122,CRC,Testing,2025,0.4618318975988669,0.5226424322085444,0.4944330652538092
314,D. Parker,Santos de Guápiles,Santos de Guápiles,GK,GK,0,32,0,,17,1647,Costa Rica,Costa Rica,right,193,82,no,0.44,9.176549999999999,3.226205,3.166335999999999,68.49,0.001326,1.97,2.19,0.05970149253731349,3.166666666666667,CRC,Testing,2025,0.431031132588762,0.4942774230932575,0.4647182071074777
315,K. Briceño,Cartaginés,Cartaginés,GK,GK,0,33,225000,2026-06-30,36,3613,Costa Rica,Costa Rica,right,186,81,no,0.725025,10.435824,3.462528,3.135353,77.42,0.0158802,2.29,2.04,0.1869158878504673,4.436781609195402,CRC,Testing,2025,0.6788931486896709,0.7021828712554394,0.6936185426222081
316,A. Cruz,Herediano,Herediano,GK,GK,0,33,200000,2026-06-30,11,1052,Costa Rica,Costa Rica,right,187,77,no,0.0,9.667658,4.62,3.677344,65.12,0.005559,0.6,1.11,-0.1962616822429906,2.875,CRC,Testing,2025,0.2054160453278291,0.2635448151368945,0.2355264618926091
317,L. Moreira,Puntarenas,Puntarenas,GK,GK,0,35,200000,2025-06-30,49,4900,Costa Rica,Costa Rica,right,179,74,no,0.437121,9.770859999999999,4.245648,4.113567000000001,75.0,0.0018821,1.49,1.12,0.07058823529411762,4.0,CRC,Testing,2025,0.4616177779577358,0.5237333980831718,0.4948734442031197
318,E. Alvarado,Deportivo Saprissa,Deportivo Saprissa,GK,GK,0,36,100000,2025-06-30,45,4392,Costa Rica,Costa Rica,right,193,89,no,0.2,8.0967,2.253446,2.357084,75.77,0.0040222,0.88,1.05,0.08571428571428574,4.145833333333333,CRC,Testing,2025,0.3634149898984141,0.4292765729436044,0.3981139043955407
319,D. Carvajal,Herediano,Herediano,GK,GK,0,36,75000,2025-06-30,39,3871,Costa Rica,Costa Rica,right,188,85,no,0.256676,9.184176,5.601686999999999,5.090511999999999,72.73,0.0198875,0.88,1.63,0.176470588235294,3.653061224489796,CRC,Testing,2025,0.3930316747263153,0.4529766806983505,0.4248912254368082
320,P. Pemberton,Santa Ana,Santa Ana,GK,GK,0,43,0,,29,2825,Costa Rica,Costa Rica,unknown,178,0,no,0.32,6.979626,3.5991,3.05664,62.4,0.0284445,1.27,1.69,-0.25,2.653333333333333,CRC,Testing,2025,0.2619942729517878,0.2883970235552529,0.276423313012367
321,M. Zlomislić,Rijeka,Rijeka,GK,GK,0,26,150000,2026-06-15,34,3306,Bosnia and Herzegovina,"Bosnia and Herzegovina, Croatia",right,190,85,no,0.44,13.58048,4.738063,3.919344000000001,70.42,6.400000000000001e-06,1.8,1.5,0.0,3.385964912280702,CRO,Testing,2025,0.4398697911782783,0.5009781683130747,0.4725225701315176
322,Z. Šubarić,Lokomotiva Zagreb,Lokomotiva Zagreb,GK,GK,0,28,250000,2025-06-15,33,3234,Croatia,Croatia,right,187,76,no,0.14,12.10566,3.783215,3.366104,66.19,0.0013826,0.86,1.89,-0.04800000000000004,2.954198473282443,CRO,Testing,2025,0.2854709153688945,0.3182865117576801,0.3032254131220906
323,M. Malenica,Osijek,Osijek,GK,GK,0,31,500000,2025-06-30,32,3172,Croatia,Croatia,right,191,84,no,0.20125,10.979405,4.199726999999999,3.545124,72.15,0.0001273,1.08,1.02,-0.0162601626016261,3.584000000000001,CRO,Testing,2025,0.332325071496513,0.3829314353743431,0.3592236551298112
324,O. Zelenika,Varaždin,Varaždin,GK,GK,0,32,400000,2026-05-31,32,3146,Croatia,Croatia,left,192,82,no,0.23,15.99686,5.003808,3.83569,79.35,0.007777799999999999,0.97,1.34,0.2173913043478259,4.87037037037037,CRO,Testing,2025,0.4773250420057457,0.5365038283612409,0.5091758117414981
325,I. Sušak,Slaven Belupo,Slaven Belupo,GK,GK,0,27,250000,2026-06-15,32,3118,Croatia,Croatia,right,203,91,no,0.29,11.085258,4.0095,3.666425,72.39,0.0013268,1.15,1.33,0.05309734513274322,3.616822429906542,CRO,Testing,2025,0.3901741660363337,0.4248217726903072,0.4093158429360452
326,L. Majkić,Istra 1961,Istra 1961,GK,GK,0,25,700000,2025-06-30,31,2989,Croatia,Croatia,right,190,82,no,0.33,10.298634,3.462365,3.194186,69.09,0.0001216,1.26,0.75,0.01923076923076927,3.245098039215686,CRO,Testing,2025,0.3231674044488604,0.3767001599411124,0.3514948583786292
327,I. Lučić,Hajduk Split,Hajduk Split,GK,GK,0,30,1500000,2026-05-31,28,2782,Austria,"Austria, Croatia",right,194,92,no,0.52,16.794432,5.08052,4.139415,67.47,0.0006209999999999999,1.1,1.16,-0.0481927710843375,3.091954022988506,CRO,Testing,2025,0.3681861989112563,0.4155986051510288,0.3936406582055649
328,I. Banić,Gorica,Gorica,GK,GK,0,30,600000,2025-05-30,27,2642,Croatia,Croatia,right,187,82,no,0.51,9.739296000000001,5.725359999999999,5.382206999999999,75.0,0.0014697,2.62,1.77,0.06034482758620674,4.0,CRO,Testing,2025,0.5640771490025844,0.6312745881766986,0.6003421374995502
329,I. Nevistić,Dinamo Zagreb,Dinamo Zagreb,GK,GK,0,26,1500000,2028-06-30,24,2371,Croatia,Croatia,right,193,89,no,0.075,18.675,3.375078,2.0886,62.5,0.0209526,0.72,0.87,-0.3783783783783785,2.676470588235294,CRO,Testing,2025,0.1582185072954632,0.204354519072427,0.1820952434996407
