Unnamed: 0.1,key_0,key_1,Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,Corridas_Progressivas,Passes_TerçoFinal_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating,Ações_Defensivas_BemSucedidas_Percentil,Duelos_Defensivos_Ganhos_Percentil,Duelos_Aéreos_Ganhos_Percentil,Passes_Longos_Certos_Percentil,Passes_Frontais_Certos_Percentil,Passes_Progressivos_Certos_Percentil,Duelos_Ofensivos_Ganhos_Percentil,Dribles_BemSucedidos_Percentil,Corridas_Progressivas_Percentil,Passes_TerçoFinal_Certos_Percentil,A,B,C,D,E,F,G,H,I,J,Similar_StScaled_A,Similar_StScaled_B,Similar_StScaled_C,Similar_StScaled_D,Similar_StScaled_E,Similar_StScaled_F,Similar_StScaled_G,Similar_StScaled_H,Similar_StScaled_I,Similar_StScaled_J,A1,B1,C1,D1,E1,F1,G1,H1,I1,J1,ID
2637,L. Mühl,SWZ,12,L. Mühl,Winterthur,Winterthur,"CB, LCB",CB,4,29.0,800000,2026-06-30,15,1155,Germany,Germany,right,189,82,no,10.99,4.596204,2.88373,4.36595,10.287648,4.905863999999999,0.2325,0.0,0.39,2.49504,SWZ,Testing,2026,0.7182877553702496,0.6779976075648972,0.6981426814675733,73,55,65,93,14,40,2,2,17,21,10.99,4.596204,2.88373,4.36595,10.287648,4.905863999999999,0.2325,0.0,0.39,2.49504,0.6738663592157738,0.09986387143708389,0.2423440628048509,1.26240609271364,-0.8752528091771492,-0.301693173742252,-1.462707259306108,-1.279872750100674,-0.7621641492703846,-0.8707389428896599,0.749801859310397,0.5397738003295641,0.5957432130268505,0.8965986510084757,0.1907181824595258,0.3814429862634811,0.07177374947369483,0.100294946344629,0.2229810200684277,0.1919483549814588,DACB
2638,F. Daniliuc,SWZ,31,F. Daniliuc,Basel,Basel,"LCB, RCB",LCB,4,25.0,6000000,2028-06-30,27,2529,Austria,"Austria, Romania",right,188,79,no,7.3,2.457069,3.346976999999999,2.848752,18.467174,7.113601000000001,0.5357500000000001,0.06999299999999999,1.74,5.519273000000001,SWZ,Testing,2026,0.7119684889018606,0.6669110968711167,0.6894397928864886,4,0,80,40,91,89,19,23,95,91,7.3,2.457069,3.346976999999999,2.848752,18.467174,7.113601000000001,0.5357500000000001,0.06999299999999999,1.74,5.519273000000001,-1.663974062444392,-2.093919838515285,0.6726395708777679,-0.3120753274429349,1.840181693089993,1.227673463210801,-0.7405104082570669,-0.8429721184652756,2.285051683823875,1.533442095039148,0.04805880642951661,0.0181335608568541,0.7494116896851075,0.3774916383336426,0.9671292166221488,0.8902152140048721,0.2294951740163342,0.1996220186967809,0.9888451013007235,0.9374165181955789,IEJF
2639,A. Durrer,SWZ,33,A. Durrer,Winterthur,Winterthur,LCB,LCB,4,24.0,300000,2026-06-30,18,1527,Switzerland,Switzerland,right,188,81,no,13.61,6.600828,2.297438,3.65598,11.14047,4.187659,1.003,0.474262,0.59,2.712196,SWZ,Testing,2026,0.6527933746060475,0.6910032121939671,0.6718982934000073,97,95,38,68,27,23,63,89,52,27,13.61,6.600828,2.297438,3.65598,11.14047,4.187659,1.003,0.474262,0.59,2.712196,2.333796414703479,2.155700214528828,-0.3022440597714143,0.5256304221231416,-0.5921334348891442,-0.7992156438067868,0.3722562154945053,1.680499963751674,-0.3107247665897536,-0.6981059686867898,0.9901968076812871,0.9844464592887214,0.3812330094995428,0.7004274924382954,0.2768806196642292,0.2120826912275242,0.6451489526308676,0.9535699593220044,0.3780049337991277,0.2425554628278663,ABHD
2640,T. Gaal,SWZ,30,T. Gaal,St. Gallen,St. Gallen,RCB,RCB,4,25.0,450000,2027-06-30,30,2904,Germany,Germany,right,193,87,no,9.73,4.49375,2.2608,4.060382000000001,12.488632,6.070981000000001,0.6177159999999999,0.0625,0.65,4.186468,SWZ,Testing,2026,0.6621461777633584,0.6476205737577114,0.6548833757605348,42,46,36,85,53,76,34,17,61,68,9.73,4.49375,2.2608,4.060382000000001,12.488632,6.070981000000001,0.6177159999999999,0.0625,0.65,4.186468,-0.1244206140340388,-0.005207531826132143,-0.3362759408732359,0.9453010486822068,-0.1445713622891578,0.5054188454642166,-0.545306493687947,-0.8897438875399551,-0.1752929517855642,0.4738992263988328,0.450491126262745,0.4979225047677442,0.368331395496995,0.8277473984032587,0.4425246546148204,0.693367657386419,0.2927713693497197,0.1868017112814837,0.4304247248439019,0.6822141145486361,DFJB
2641,K. Sow,SWZ,39,K. Sow,Lausanne Sport,Lausanne Sport,"LCB, RCB",LCB,4,23.0,250000,2028-06-30,31,2751,Switzerland,"Switzerland, Senegal",right,198,80,no,10.04,4.513559,3.892344,2.092275,10.956228,3.85869,1.013726,0.23,0.29,2.35345,SWZ,Testing,2026,0.6615965451503808,0.6478554904252862,0.6547260177878335,46,48,87,8,25,10,65,63,9,14,10.04,4.513559,3.892344,2.092275,10.956228,3.85869,1.013726,0.23,0.29,2.35345,0.07198332382900957,0.01510753080920664,1.17921375344388,-1.097113919159894,-0.6532979918043866,-1.027102485940523,0.3978004312384527,0.155801464122772,-0.9878838406107001,-0.9832990509105497,0.5286924104617704,0.5060268035343054,0.8808434645647086,0.1362957981479082,0.2567820934121893,0.1521861041141615,0.6546113503172202,0.5619052417413479,0.1616047701723574,0.1627301385518458,CGHA
2642,L. Kamberi,SWZ,22,L. Kamberi,Zürich,Zürich,"RCB, RB",RCB,4,26.0,1200000,2028-06-30,34,2953,Switzerland,"Switzerland, Kosovo",right,182,83,no,8.41,3.262308,3.564000000000001,3.289365,11.644,5.239050000000001,0.7609,0.368553,0.85,3.628674,SWZ,Testing,2026,0.6440170022190556,0.6282048214351169,0.6361109118270862,18,10,82,57,36,44,53,82,69,51,8.41,3.262308,3.564000000000001,3.289365,11.644,5.239050000000001,0.7609,0.368553,0.85,3.628674,-0.9607212526766998,-1.268109311915358,0.8742253815759694,0.1451734838390792,-0.4249718249221885,-0.07088508731717434,-0.2043105038425853,1.020657852832777,0.2761464308950667,0.03046852583096653,0.168346171148713,0.1023794582881888,0.8090022369198947,0.5577130495219691,0.3354286070184442,0.4717446060571907,0.4190554311082654,0.8462917152160256,0.608782200057404,0.5121533027649701,HCID
2643,D. Abels,SWZ,14,D. Abels,Grasshopper,Grasshopper,"RCB, CB",RCB,4,29.0,600000,2026-06-30,31,2908,Netherlands,Netherlands,right,182,84,no,10.77,5.230267,2.041445,3.033737,10.708308,5.443956000000001,0.649128,0.063327,0.5,3.340428,SWZ,Testing,2026,0.6408772362220087,0.6237596310185551,0.6323184336202818,70,80,29,44,21,48,36,19,37,44,10.77,5.230267,2.041445,3.033737,10.708308,5.443956000000001,0.649128,0.063327,0.5,3.340428,0.5344829194419966,0.7501253465116021,-0.5400278727224115,-0.1201060225086655,-0.7356023358216398,0.07105953747803564,-0.4704980930773863,-0.8845817024305518,-0.5138724887960375,-0.1986790191693119,0.7034962681280894,0.7734103923754487,0.2945889052715913,0.4521995808289414,0.2309863703272769,0.5283248144294643,0.3189995981539356,0.1881911394578937,0.3036705715505713,0.4212569185559401,BAFD
2644,M. Bürki,SWZ,2,M. Bürki,Thun,Thun,"LCB, LB",LCB,4,32.0,250000,2028-06-30,33,2983,Switzerland,Switzerland,left,184,81,no,7.42,2.987964,2.806233,4.224737999999999,11.946903,6.427603,0.9652640000000001,0.270018,0.63,4.6172,SWZ,Testing,2026,0.6481489525909203,0.6120538388409844,0.6301013957159523,6,4,63,91,44,85,61,68,59,80,7.42,2.987964,2.806233,4.224737999999999,11.946903,6.427603,0.9652640000000001,0.270018,0.63,4.6172,-1.587946731658695,-1.549462007338121,0.1703595470084684,1.115862483835201,-0.3244142550776491,0.7524617626248526,0.2823870634048551,0.4055962932740495,-0.2204368900536273,0.8163191744746434,0.05614919249213093,0.06063534888773776,0.5676363080716574,0.8677594986614878,0.3728122144285974,0.7741132918059132,0.6111766332823962,0.6574803735666983,0.4127654589037851,0.7928411947490357,DJFH
2645,L. Mai,SWZ,23,L. Mai,Lugano,Lugano,"CB, RCB, LCB",CB,4,26.0,2500000,2027-06-30,34,2929,Germany,Germany,right,190,87,no,9.83,4.543992,2.333922,2.301831,20.059952,5.869453999999999,0.675702,0.188562,0.49,2.706353,SWZ,Testing,2026,0.6439883245138829,0.6105193893305505,0.6272538569222166,44,51,42,14,95,57,46,53,31,25,9.83,4.543992,2.333922,2.301831,20.059952,5.869453999999999,0.675702,0.188562,0.49,2.706353,-0.06106450504595862,0.04631800590544006,-0.2683552244059781,-0.8796459100520967,2.368951249620781,0.3658149568464873,-0.4072115007615504,-0.1028570927858852,-0.5364444579300691,-0.7027509910129857,0.4756539186221975,0.5184716059632802,0.3942129507787125,0.1895255799286927,0.9910806977027791,0.6427484208100454,0.3419263277138419,0.459038196006224,0.2958257062628482,0.2411054721028053,EFBA
2646,S. Rouiller,SWZ,0,S. Rouiller,Servette,Servette,"RCB, CB",RCB,4,35.0,200000,2028-06-30,34,3054,Switzerland,Switzerland,right,183,74,no,10.61,5.095569,2.414082,3.1257,11.904038,4.360069,0.65,0.150003,0.53,3.23883,SWZ,Testing,2026,0.6228644663910056,0.6165720132224649,0.6197182398067351,62,74,48,51,42,27,38,42,43,40,10.61,5.095569,2.414082,3.1257,11.904038,4.360069,0.65,0.150003,0.53,3.23883,0.4331131450610679,0.611986202342036,-0.1938971320122331,-0.02467086187580175,-0.3386445539897967,-0.679781987589096,-0.4684214050176509,-0.3435447537695456,-0.4461565813939428,-0.2794466005995427,0.6675337132406306,0.7297265567935,0.4231282147034063,0.4901587484292242,0.3674387572231679,0.2483212567525031,0.3197416319010474,0.3655943392299241,0.3277420718713161,0.3899510563734728,BADC
2647,S. Köhler,SWZ,9,S. Köhler,Grasshopper,Grasshopper,"LCB, CB, LCMF",LCB,4,29.0,700000,2028-06-30,12,1152,Germany,Germany,right,185,83,no,9.69,4.061606,1.7952,3.675264,12.0315,4.686901000000001,1.32672,0.31,1.64,3.675264,SWZ,Testing,2026,0.528280966615067,0.5379040200476953,0.5330924933313811,40,29,19,72,46,36,82,76,93,53,9.69,4.061606,1.7952,3.675264,12.0315,4.686901000000001,1.32672,0.31,1.64,3.675264,-0.1497630576292715,-0.4483915606759508,-0.7687570763339097,0.5456425100024422,-0.2963297899645985,-0.4533755104187444,1.143202842441234,0.6551664082004923,2.059331992483559,0.06750627872801593,0.4404757781577764,0.3269353156921767,0.221018767350076,0.7073441513764521,0.3834891189558077,0.3251391838811515,0.8735228087996598,0.7438196902417662,0.980268777137924,0.52691066813614,IGHD
2648,N. Sow,SWZ,16,N. Sow,Sion,Sion,"RCB, RCMF, RDMF",RCB,4,27.0,350000,2028-06-30,30,1470,France,"France, Senegal",right,192,88,no,10.1,5.01952,1.53005,2.326708,13.160795,4.592555999999999,1.226136,0.186,0.61,3.003,SWZ,Testing,2026,0.5263930746379145,0.4995728831399485,0.5129829788889315,48,70,10,19,57,31,76,50,57,36,10.1,5.01952,1.53005,2.326708,13.160795,4.592555999999999,1.226136,0.186,0.61,3.003,0.1099969892218581,0.5339943704295255,-1.015046537389317,-0.8538296525239196,0.07857293743522573,-0.5187311643591086,0.9036597325783596,-0.1188492551199743,-0.2655808283216905,-0.466924884903282,0.5437941186603,0.7033272855208542,0.1550418222262689,0.1965996910410768,0.5313138431155027,0.3019741130550012,0.8169120713689886,0.4526973926257545,0.3952810261406006,0.3202768102622575,GBAE
2649,D. Vujevic,SWZ,45,D. Vujevic,Zürich,Zürich,"RCB, CB, LCB",RCB,4,19.0,0,2030-06-30,20,1461,Switzerland,Switzerland,unknown,0,0,no,11.33,5.728800000000001,2.341278,1.85,7.887061,3.201012,0.800411,0.059994,0.55,2.095824,SWZ,Testing,2026,0.4944405829715052,0.5033320862237328,0.4988863345976189,82,89,46,6,0,2,55,12,46,8,11.33,5.728800000000001,2.341278,1.85,7.887061,3.201012,0.800411,0.059994,0.55,2.095824,0.8892771297752469,1.261394422223834,-0.2615224683225401,-1.348536268825814,-1.672198349235824,-1.482696060292001,-0.1102141484203309,-0.9053864944131897,-0.4010126431258796,-1.188104548396176,0.8130729202172756,0.8964166115340464,0.3968448125148601,0.08874298152768445,0.04724260795421319,0.06907759092058718,0.4561197709077641,0.1826303340606421,0.3442054077453867,0.1173961113080941,BAGC
2650,T. Zoukrou,SWZ,37,T. Zoukrou,Young Boys,Young Boys,RCB,RCB,4,23.0,1000000,2028-06-30,15,952,France,"France, Côte d'Ivoire",right,189,81,no,8.79,3.498649,1.891334,1.512,14.276343,5.481,0.283884,0.285,1.32,4.913472,SWZ,Testing,2026,0.4914729184879021,0.458899018955831,0.4751859687218665,27,19,23,2,72,51,4,70,85,87,8.79,3.498649,1.891334,1.512,14.276343,5.481,0.283884,0.285,1.32,4.913472,-0.719968038521995,-1.025730483186057,-0.6794612398296647,-1.699297817425879,0.4489119434039222,0.09672104412456432,-1.340335081253993,0.4991148631762046,1.33702898019455,1.051847166024647,0.2357723372737539,0.1525093207789019,0.2484228293423367,0.04463154180813762,0.6732524100006559,0.5385260363060158,0.0900682155404599,0.6911507663615347,0.9093934113218466,0.8535651623384496,IJHE
2651,C. Okoroji,SWZ,13,C. Okoroji,St. Gallen,St. Gallen,"LCB, LWB",LCB,4,29.0,1000000,2028-06-30,35,3180,Germany,"Germany, England",left,180,72,no,8.15,3.933992,1.020768,2.265037,8.94375,5.543253999999999,1.781764,0.7051000000000001,1.36,4.158,SWZ,Testing,2026,0.4581202186107294,0.3599305615721509,0.4090253900914401,10,27,4,12,6,53,97,97,87,63,8.15,3.933992,1.020768,2.265037,8.94375,5.543253999999999,1.781764,0.7051000000000001,1.36,4.158,-1.125447136045709,-0.5792657291421123,-1.488102503088807,-0.9178291065585784,-1.321399321423435,0.1398462853180916,2.22690059640252,3.121405025764334,1.427316856730676,0.4512679589707757,0.1301998032782562,0.2812049430100331,0.06836193173565516,0.1793541707000073,0.09318412609842408,0.5556092789000557,0.9870230410083987,0.9991000485255697,0.9232557080267653,0.6741017825947646,HGIJ
2652,H. Delcroix,SWZ,18,H. Delcroix,Lugano,Lugano,LCB,LCB,4,27.0,4000000,2028-06-30,14,1251,Haiti,"Haiti, Belgium",left,183,75,no,8.27,3.37995,2.01483,2.592000000000001,15.681942,4.173248,1.294372,0.28886,0.36,3.310499,SWZ,Testing,2026,0.3387590420746563,0.3667682714493714,0.3527636567620138,14,14,27,29,82,21,80,72,14,42,8.27,3.37995,2.01483,2.592000000000001,15.681942,4.173248,1.294372,0.28886,0.36,3.310499,-1.049419805260013,-1.147461899196564,-0.5647497056697608,-0.5785212716031829,0.9155419193893508,-0.809198582266001,1.066165336298665,0.5232092217279548,-0.8298800566724792,-0.2224717409219584,0.1469924734122555,0.1255953856401232,0.2861220101926019,0.2814561201498526,0.8200463968455398,0.2092004651436202,0.8568255456339133,0.6995856676167848,0.2033033008326794,0.4119733347751389,GEHJ
