Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Participação,Intensidade defensiva,Inteligência defensiva,Controle de espaço,Controle defensivo,Transição ofensiva,Impacto do passe,Movimentação ofensiva,Criação de oportunidades,rating,percentil,rank
BEL1,2022,31856.0,Ritchie De Laet,Royal Antwerp,2336.0,DR,Lateral,Lateral,0.0075699231836514,-0.234534637078652,0.0,0.061082373265879,1.2688936786370155,-0.0455507343086049,-0.1057693138964986,0.0,0.0292634031399183,1.0,100.0,1
BEL1,2022,68335.0,Denis Odoi,Club Bruges,2361.0,DR,Lateral,Lateral,0.0834265223058389,0.024298922181309,0.0,0.078651516673865,-0.428621036862357,0.5316372293313977,0.052719817412617,0.0,-0.1168049769051889,0.565,22.0,26
BEL1,2022,83190.0,Jason Davidson,Eupen,2862.0,DL,Lateral,Lateral,0.410198950620481,0.1326635100822111,0.0,-0.2572108907030687,-0.2742411293812989,0.6704813451153121,0.3896339807066855,0.0,-0.1168049769051889,0.753,66.0,12
BEL1,2022,110501.0,Edisson Jordanov,Westerlo,1707.0,DR,Lateral,Lateral,-0.1563716890235441,0.2845956874614867,0.0,0.1237133307940621,0.5845386911222936,-0.1652505051978459,-0.00144564363439,0.0,-0.1168049769051889,0.895,91.0,4
BEL1,2022,115454.0,Sandy Walsh,KV Mechelen,2358.0,DR,Lateral,Lateral,0.0199022237480188,-0.2132693338779006,0.0,0.3218128705343948,1.1362776749182248,-0.1983012416133691,-0.1244792068183434,0.0,0.0279005938265204,0.968,97.0,2
BEL1,2022,243546.0,Boli Bolingoli,KV Mechelen,1315.0,DL,Lateral,Lateral,0.1572898934327634,0.3153891558922676,0.0,0.0489590662795579,-0.8434452212592771,0.1638390342423287,0.1496334360829128,0.0,-0.1168049769051889,0.55,19.0,27
BEL1,2022,280972.0,Amir Murillo,Anderlecht,2708.0,DR,Lateral,Lateral,0.2253136721325608,-0.1614986343804394,0.0,-0.0477480198852239,-0.2263015241562489,-0.1039610769850315,0.1099842449462706,0.0,0.1352007363779504,0.616,31.0,23
BEL1,2022,299032.0,Alessandro Ciranni,Zulte Waregem,2227.0,DR,Lateral,Lateral,-0.1342812044608337,0.0528432788235486,0.0,-0.0456279265986852,0.0720002170142364,0.07121960035433,0.1982333680494973,0.0,0.0364126862225033,0.665,50.0,17
BEL1,2022,322494.0,Hamza Mendyl,OH Leuven,2197.0,DL,Lateral,Lateral,-0.2168349753032213,-0.0693544823166224,0.0,-0.2348427206945594,0.1642321818740947,-0.4599612441561285,-0.2754857014924611,0.0,-0.1168049769051889,0.629,41.0,20
BEL1,2022,326460.0,Morgan Poaty,RFC Seraing,2223.0,DL,Lateral,Lateral,-0.1338230581080235,-0.40793439823032,0.0,-0.2163142923268681,0.964062483347804,-0.092938680863832,-0.0102203795348167,0.0,0.3436750983787121,0.802,78.0,8
BEL1,2022,364214.0,Clinton Mata,Club Bruges,2027.0,DR,Lateral,Lateral,-0.2210537394458822,0.0902363155571282,0.0,0.2608075525585585,-0.9482076470832734,0.2929780936574009,0.2632029700101696,0.0,0.0515303638868045,0.324,6.0,31
BEL1,2022,364716.0,Bryan Reynolds,Westerlo,2617.0,DR,Lateral,Lateral,-0.0350005528058269,0.1252904120355267,0.0,-0.1391549923595694,0.3398483188723197,-0.214343423773573,-0.2431300904330048,0.0,0.0135793317632752,0.805,81.0,7
BEL1,2022,365211.0,Sam Vines,Royal Antwerp,1372.0,DL,Lateral,Lateral,-0.1271487723564335,-0.3823186936414123,0.0,0.1738306394994172,-1.5849073101187796,-0.0651617278785035,-0.1160470246534482,0.0,0.1318945389733611,0.0,3.0,32
BEL1,2022,388097.0,Jelle Bataille,Royal Antwerp,2729.0,DR,Lateral,Lateral,-0.1880435919357585,0.0192251128057367,0.0,-0.0164638653989197,0.4195216306815912,-0.035662734138918,0.240545098236562,0.0,-0.1168049769051889,0.748,62.0,13
BEL1,2022,391592.0,Gastón Ávila,Royal Antwerp,1565.0,DL,Lateral,Lateral,0.0096534569018121,0.2710955570000228,0.0,0.0349838826370638,-0.2955397597452617,0.575982305514066,0.1165062828693466,0.0,-0.1168049769051889,0.663,47.0,18
BEL1,2022,392647.0,Maxim De Cuyper,Westerlo,3748.0,DL,Lateral,Lateral,-0.0207620269246114,0.0554106879379273,0.0,-0.2035777690463168,-0.942281327408932,0.3930307206202763,0.6316547632080449,0.0,0.1563132747906787,0.378,9.0,30
BEL1,2022,400137.0,Killian Sardella,Anderlecht,1217.0,DL,Lateral,Lateral,0.2478642117254792,0.0033986387617387,0.0,-0.369145756770848,-0.1804795420858334,-0.1083868976796586,-0.2185820459349787,0.0,-0.1168049769051889,0.69,56.0,15
BEL1,2022,400141.0,Robbe Decostere,Cercle Bruges,969.0,DR,Lateral,Lateral,0.059732322295453,-0.2661978797750087,0.0,0.2013569984716071,-0.0076113368821909,0.3322120897455413,0.0650516653078618,0.0,-0.1168049769051889,0.6,28.0,24
BEL1,2022,400299.0,Jannes Van Hecke,KV Mechelen,1705.0,DR,Lateral,Lateral,-0.056328744537221,0.200667832057496,0.0,0.1518550528259779,-0.1162132072041317,-0.1098269941957075,-0.2031245111015012,0.0,-0.1168049769051889,0.677,53.0,16
BEL1,2022,400496.0,Daniel Muñoz,Genk,3408.0,DR,Lateral,Lateral,-0.0672256580731938,0.2704179249544448,0.0,-0.1201512534022398,0.1964773474214517,0.2299323399340604,0.413085018246961,0.0,0.4839269522944073,0.795,75.0,9
