Liga,Temporada,Atleta,Clube,função,Posição,Participação,Intensidade defensiva,Inteligência defensiva,Controle de espaço,Controle defensivo,Bola aérea defensiva,Resistência à pressão,Transição ofensiva,Superioridade em duelos
BEL1,2022,Timothy Derijck,Zulte Waregem,Zagueiro,Zagueiro,-0.1367727058755639,-0.2417029587202154,0.0,0.0206909140148652,0.401320599848255,-0.0436350249279164,0.427239739384303,-0.0888216211487743,0.2698317595358399
BEL1,2022,Jan Vertonghen,Anderlecht,Zagueiro,Zagueiro,0.1533025035480943,0.052204747291475,0.0,-0.1577664278114751,-1.12001955864153,0.823934060420972,0.3578184940959414,0.2247353039610197,0.6030431965034955
BEL1,2022,Damien Marcq,Sporting Charleroi,Zagueiro,Zagueiro,0.1362867057146757,0.0413066205122713,0.0,-0.0902932358330829,-0.2971969089159983,0.0600526802801335,-0.0150307710933612,-0.014954338048706,0.2156872343072583
BEL1,2022,Roman Neustädter,Westerlo,Zagueiro,Zagueiro,-0.0930824985046229,-0.1083699068282894,0.0,-0.2326424212447442,-1.1336710309908558,0.2120312293935258,0.0693400760367248,-0.4454130370839445,-0.1339452838374398
BEL1,2022,Daniel Opare,RFC Seraing,Zagueiro,Zagueiro,-0.1653026028116552,-0.3655664634970902,0.0,0.1192294519633537,0.8545628374845655,-0.8622261013695203,-0.081685863293331,0.4357019696242176,-1.2916257283113557
BEL1,2022,Toby Alderweireld,Royal Antwerp,Zagueiro,Zagueiro,-0.065016623198733,-0.4294886586003909,0.0,0.1297774684870854,0.4592721528775002,0.0328075784700339,0.8753379848476339,0.6688487453401818,-0.0091671613874342
BEL1,2022,Jorge Teixeira,St.Truiden,Zagueiro,Zagueiro,-0.0243108721168263,0.3891482789474677,0.0,-0.3260103285573458,0.9801938322841088,-0.2524191193213039,0.5720109451957197,-0.0193376697213157,-0.2926427883507571
BEL1,2022,Toni Leistner,St.Truiden,Zagueiro,Zagueiro,0.03736108242033,-0.2413603099151381,0.0,-0.2003889064817796,-0.380568057957217,0.191277363404984,0.504606186237809,0.3104253534683778,0.1758344200806756
BEL1,2022,Thibault Peyre,KV Mechelen,Zagueiro,Zagueiro,0.194881782622465,-0.0724764618669292,0.0,0.0202460796030602,-0.3470823367499254,0.5335372954859947,0.0769309554230813,-0.2388504055466843,0.6147112172741116
BEL1,2022,Pietro Perdichizzi,Westerlo,Zagueiro,Zagueiro,0.3205868212784466,0.1892455823062651,0.0,-0.3539027799839599,0.5159903582935246,0.5634050450474084,0.0832304439088864,-0.0513543527850899,0.4734801569422768
BEL1,2022,Brandon Mechele,Club Bruges,Zagueiro,Zagueiro,0.074451181340813,0.1510654354289409,0.0,0.0143110853140526,-0.2357367035711407,-0.041236536497602,0.2188599341004826,-0.053588887936815,0.333584745091311
BEL1,2022,Christian Burgess,Union St.Gilloise,Zagueiro,Zagueiro,0.2799808105692942,-0.1908684652677615,0.0,-0.2357020912979635,0.0099284127895469,1.1202770255191266,0.2992842132241475,-0.2649929973064322,0.4262516327174764
BEL1,2022,Borja López,Zulte Waregem,Zagueiro,Zagueiro,-0.0629863169172546,0.0155471931672152,0.0,-0.085530016565936,0.7400179453737639,-0.703840711356819,-0.0012178712479067,0.4383520716430747,0.1483683014685302
BEL1,2022,Wesley Hoedt,Anderlecht,Zagueiro,Zagueiro,0.10897657597426,-0.0156401904313264,0.0,-0.3042685921716328,0.2867933987910568,1.2565568463736332,0.6206649191585467,0.664923954461461,0.6973422268579665
BEL1,2022,Michael Ngadeu,Gent,Zagueiro,Zagueiro,-0.0644803836391469,-0.0248543813635585,0.0,-0.2121839564329187,0.7212019279790154,0.1034986298384089,0.5124021153193439,-0.1974121674358315,0.3767800630457933
BEL1,2022,Konstantinos Laifis,Standard Liege,Zagueiro,Zagueiro,0.1170074562206152,-0.3535676721636435,0.0,-0.2873019069976643,-0.4277131826787012,-0.0111268607453945,-0.0509336415212851,-0.053704455180764,0.0335631960721572
BEL1,2022,Christophe Lepoint,RFC Seraing,Zagueiro,Zagueiro,-0.079354271726143,0.1040593198680453,0.0,0.233191434790844,-0.4287641269509836,-0.0659208343611851,-0.8545892985431836,-0.4284242909339301,-0.1937539431250763
BEL1,2022,Dries Wouters,KV Mechelen,Zagueiro,Zagueiro,-0.0996366169086853,-0.3338332213327468,0.0,0.0324431777738902,0.4387769572302314,-0.3200929940205878,-0.1405103217710109,-0.2694768405262512,-0.4418792421944743
