Atleta,Código_Posição_Wyscout,Minutos,Liga,Versão_Temporada,Posição
A. Bonetig,4,594,AUS,2025,Zagueiro
A. Cáceres,7,615,AUS,2025,Primeiro Volante
A. McCalmont,8,594,AUS,2025,Segundo Volante
A. Paulsen,0,592,AUS,2025,Goleiro
A. Popovic,4,615,AUS,2025,Zagueiro
A. Redmayne,0,570,AUS,2025,Goleiro
A. Rufer,7,588,AUS,2025,Primeiro Volante
A. Šušnjar,4,592,AUS,2025,Zagueiro
A. Taggart,12,675,AUS,2025,Atacante
A. Thurgate,8,677,AUS,2025,Segundo Volante
B. Borrello,12,552,AUS,2025,Atacante
B. Hamill,4,679,AUS,2025,Zagueiro
B. Kaltak,4,594,AUS,2025,Zagueiro
B. Warland,4,589,AUS,2025,Zagueiro
C. Shamoon,1,573,AUS,2025,Lateral
D. Hall,4,592,AUS,2025,Zagueiro
D. Ingham,1,555,AUS,2025,Lateral
D. Peraic-Cullen,0,594,AUS,2025,Goleiro
D. Pierias,1,595,AUS,2025,Lateral
E. Adams,10,576,AUS,2025,Extremo
E. Alagich,7,595,AUS,2025,Primeiro Volante
F. De Vries,1,557,AUS,2025,Lateral
F. Gallegos,8,541,AUS,2025,Segundo Volante
F. Kurto,0,684,AUS,2025,Goleiro
G. Cléùr,1,504,AUS,2025,Lateral
G. May,12,547,AUS,2025,Atacante
H. Ibusuki,12,650,AUS,2025,Atacante
H. Ishige,12,531,AUS,2025,Atacante
H. Steele,8,542,AUS,2025,Segundo Volante
I. Hughes,4,588,AUS,2025,Zagueiro
I. Vujica,1,603,AUS,2025,Lateral
J. Barnett,7,540,AUS,2025,Primeiro Volante
J. Courtney-Perkins,1,574,AUS,2025,Lateral
J. Delianov,0,595,AUS,2025,Goleiro
J. Duncan,0,679,AUS,2025,Goleiro
J. Geria,1,679,AUS,2025,Lateral
J. Oluwayemi,0,588,AUS,2025,Goleiro
J. O'Shea,8,589,AUS,2025,Segundo Volante
J. Valadon,7,669,AUS,2025,Primeiro Volante
K. Adamson,1,650,AUS,2025,Lateral
K. Barbarouses,12,557,AUS,2025,Atacante
K. Bos,1,585,AUS,2025,Lateral
K. Grozos,8,592,AUS,2025,Segundo Volante
K. Jelacic,10,548,AUS,2025,Extremo
K. Nagasawa,8,515,AUS,2025,Segundo Volante
K. Trewin,4,590,AUS,2025,Zagueiro
L. Barr,4,581,AUS,2025,Zagueiro
L. Brattan,8,684,AUS,2025,Segundo Volante
L. Cangá,4,628,AUS,2025,Zagueiro
L. Gillion,10,531,AUS,2025,Extremo
L. Mauragis,1,582,AUS,2025,Lateral
L. Verstraete,8,500,AUS,2025,Segundo Volante
Léo Sena,7,523,AUS,2025,Primeiro Volante
M. Freke,0,589,AUS,2025,Goleiro
M. Jakoliš,10,630,AUS,2025,Extremo
M. Natta,4,575,AUS,2025,Zagueiro
M. Sheridan,4,510,AUS,2025,Zagueiro
M. Sutton,0,677,AUS,2025,Goleiro
Mikael Doka,10,594,AUS,2025,Extremo
N. Atkinson,1,544,AUS,2025,Lateral
N. Pijnaker,4,592,AUS,2025,Zagueiro
P. Beach,0,590,AUS,2025,Goleiro
P. Kikianis,4,575,AUS,2025,Zagueiro
P. Klimala,12,572,AUS,2025,Atacante
R. Danzaki,10,590,AUS,2025,Extremo
R. Grant,1,615,AUS,2025,Lateral
R. Kitto,1,595,AUS,2025,Lateral
R. Scott,0,592,AUS,2025,Goleiro
R. Teague,7,679,AUS,2025,Primeiro Volante
Roderick Miranda,4,546,AUS,2025,Zagueiro
S. Souprayen,4,583,AUS,2025,Zagueiro
S. Ugarković,8,582,AUS,2025,Segundo Volante
S. Wootton,4,588,AUS,2025,Zagueiro
T. Aquilina,10,571,AUS,2025,Extremo
T. Gomulka,8,664,AUS,2025,Segundo Volante
T. Russell,1,646,AUS,2025,Lateral
T. Uskok,4,582,AUS,2025,Zagueiro
T. Waddingham,12,532,AUS,2025,Atacante
V. Germain,12,673,AUS,2025,Atacante
Z. Machach,9,548,AUS,2025,Meia
A. Barry,7,996,AUT,2025,Primeiro Volante
A. Briedl,8,1019,AUT,2025,Segundo Volante
A. Daghim,11,804,AUT,2025,Extremo
A. Dedić,1,757,AUT,2025,Lateral
A. Dragović,4,1374,AUT,2025,Zagueiro
A. Gattermayer,10,760,AUT,2025,Extremo
A. Gruber,10,982,AUT,2025,Extremo
A. Jašić,1,1389,AUT,2025,Lateral
A. Pašić,4,690,AUT,2025,Zagueiro
A. Schlager,0,681,AUT,2025,Goleiro
A. Schmidt,11,510,AUT,2025,Extremo
A. Stejskal,0,1558,AUT,2025,Goleiro
A. Terzić,1,564,AUT,2025,Lateral
Anderson,1,1439,AUT,2025,Lateral
B. Blume,8,665,AUT,2025,Segundo Volante
B. Bobzien,12,1340,AUT,2025,Atacante
B. Bolla,1,1469,AUT,2025,Lateral
B. Clark,10,528,AUT,2025,Extremo
B. Jovičić,7,1235,AUT,2025,Primeiro Volante
B. Markuš,7,1219,AUT,2025,Primeiro Volante
B. Matić,1,519,AUT,2025,Lateral
B. Rosenberger,1,983,AUT,2025,Lateral
C. Cvetko,8,1135,AUT,2025,Segundo Volante
C. Gebauer,12,500,AUT,2025,Atacante
C. Lichtenberger,11,1089,AUT,2025,Extremo
C. Nwaiwu,4,847,AUT,2025,Zagueiro
C. Üstündag,8,919,AUT,2025,Segundo Volante
C. Wernitznig,8,1140,AUT,2025,Segundo Volante
D. Atanga,10,690,AUT,2025,Extremo
D. Avdijaj,12,1399,AUT,2025,Atacante
D. Baumgartner,4,1408,AUT,2025,Zagueiro
D. Beljo,12,1299,AUT,2025,Atacante
D. Dressel,7,1035,AUT,2025,Primeiro Volante
D. Fitz,8,1394,AUT,2025,Segundo Volante
D. Frieser,1,957,AUT,2025,Lateral
D. Gugganig,4,1020,AUT,2025,Zagueiro
D. Guindo,1,502,AUT,2025,Lateral
D. Jaunegg,4,544,AUT,2025,Zagueiro
D. Kameri,9,592,AUT,2025,Meia
D. Lavalée,1,1514,AUT,2025,Lateral
D. Maderner,12,900,AUT,2025,Atacante
D. Nene,11,962,AUT,2025,Extremo
D. Prokop,9,1080,AUT,2025,Meia
D. Salifou,7,741,AUT,2025,Primeiro Volante
D. Stojanović,0,1369,AUT,2025,Goleiro
D. Toševski,12,713,AUT,2025,Atacante
D. Zukić,9,1264,AUT,2025,Meia
E. Aiwu,4,1387,AUT,2025,Zagueiro
E. Omić,7,503,AUT,2025,Primeiro Volante
F. Flecker,10,583,AUT,2025,Extremo
F. Jaritz,1,938,AUT,2025,Lateral
F. Rieder,10,510,AUT,2025,Extremo
F. Stojković,1,1163,AUT,2025,Lateral
F. Wilfinger,4,1422,AUT,2025,Zagueiro
G. Bello,1,1460,AUT,2025,Lateral
G. Burgstaller,12,934,AUT,2025,Atacante
G. Wüthrich,4,684,AUT,2025,Zagueiro
Gustavo Santos,12,852,AUT,2025,Atacante
H. Smolčić,4,864,AUT,2025,Zagueiro
J. Auer,1,1295,AUT,2025,Lateral
J. Blaswich,0,775,AUT,2025,Goleiro
J. Gazibegović,1,1275,AUT,2025,Lateral
J. Gorenc Stankovič,7,761,AUT,2025,Primeiro Volante
J. Heil,1,1503,AUT,2025,Lateral
J. Italiano,1,817,AUT,2025,Lateral
J. Kühn,1,524,AUT,2025,Lateral
J. Lawrence,4,1558,AUT,2025,Zagueiro
J. Meierhofer,0,1581,AUT,2025,Goleiro
J. Omoregie,7,539,AUT,2025,Primeiro Volante
J. Robatsch,4,1451,AUT,2025,Zagueiro
J. Siebenhandl,0,973,AUT,2025,Goleiro
K. Dobras,8,568,AUT,2025,Segundo Volante
K. Gezos,4,508,AUT,2025,Zagueiro
K. Konaté,12,811,AUT,2025,Atacante
K. Piątkowski,4,1148,AUT,2025,Zagueiro
K. Scherpen,0,1374,AUT,2025,Goleiro
L. Czyborra,1,846,AUT,2025,Lateral
L. Fadinger,10,1101,AUT,2025,Extremo
L. Fridrikas,12,641,AUT,2025,Atacante
L. Grgić,8,1330,AUT,2025,Segundo Volante
L. Gugganig,4,1308,AUT,2025,Zagueiro
L. Hinterseer,12,541,AUT,2025,Atacante
L. Jäger,7,835,AUT,2025,Primeiro Volante
L. Schaub,10,929,AUT,2025,Extremo
L. Sulzbacher,1,1348,AUT,2025,Lateral
Lucas Galvão,4,1184,AUT,2025,Zagueiro
M. Bähre,8,846,AUT,2025,Segundo Volante
M. Bidstrup,8,860,AUT,2025,Segundo Volante
M. Biereth,12,1354,AUT,2025,Atacante
M. Bogarde,1,1092,AUT,2025,Lateral
M. Diambou,7,676,AUT,2025,Primeiro Volante
M. Diarra,12,602,AUT,2025,Atacante
M. Entrup,12,607,AUT,2025,Atacante
M. Fischer,7,1396,AUT,2025,Primeiro Volante
M. Gantschnig,4,769,AUT,2025,Zagueiro
M. Jovičić,4,1312,AUT,2025,Zagueiro
M. Karamatić,4,548,AUT,2025,Zagueiro
M. Knaller,0,502,AUT,2025,Goleiro
M. Lang,1,1140,AUT,2025,Lateral
M. Ljubičić,12,1130,AUT,2025,Atacante
M. Malone,12,1327,AUT,2025,Atacante
M. Maranda,4,1559,AUT,2025,Zagueiro
M. Moormann,4,933,AUT,2025,Zagueiro
M. Ouédraogo,1,1097,AUT,2025,Lateral
M. Perchtold,8,558,AUT,2025,Segundo Volante
M. Pérez Vinlof,1,1012,AUT,2025,Lateral
M. Pfeifer,1,1465,AUT,2025,Lateral
M. Sangaré,8,1139,AUT,2025,Segundo Volante
M. Şatin,8,1231,AUT,2025,Segundo Volante
M. Seidl,10,1407,AUT,2025,Extremo
M. Taferner,8,1462,AUT,2025,Segundo Volante
M. Talovierov,4,691,AUT,2025,Zagueiro
M. Ullmann,1,1275,AUT,2025,Lateral
M. Usor,10,697,AUT,2025,Extremo
M. Yalcouyé,10,893,AUT,2025,Extremo
M. Yeo,11,631,AUT,2025,Extremo
N. Binder,12,796,AUT,2025,Atacante
N. Capaldo,1,1037,AUT,2025,Lateral
N. Cvetković,4,1163,AUT,2025,Zagueiro
N. Geyrhofer,4,859,AUT,2025,Zagueiro
N. Hedl,0,1466,AUT,2025,Goleiro
N. Polster,0,1366,AUT,2025,Goleiro
N. Prelec,12,1255,AUT,2025,Atacante
N. Szerencsi,4,986,AUT,2025,Zagueiro
N. Wimmer,4,1426,AUT,2025,Zagueiro
O. Gloukh,8,997,AUT,2025,Segundo Volante
O. Kiteishvili,8,1316,AUT,2025,Segundo Volante
O. Okungbowa,4,527,AUT,2025,Zagueiro
O. Strunz,10,868,AUT,2025,Extremo
P. Estrada,4,1182,AUT,2025,Zagueiro
P. Filipović,4,1350,AUT,2025,Zagueiro
P. Koller,4,1558,AUT,2025,Zagueiro
P. Komposch,4,1562,AUT,2025,Zagueiro
P. Mijić,12,1068,AUT,2025,Atacante
P. Ratkov,12,506,AUT,2025,Atacante
P. Wiesinger,4,930,AUT,2025,Zagueiro
P. Ziereis,4,1480,AUT,2025,Zagueiro
Q. Butler,11,1165,AUT,2025,Extremo
R. Ranftl,1,1576,AUT,2025,Lateral
R. Sallinger,0,1562,AUT,2025,Goleiro
R. Vítek,0,981,AUT,2025,Goleiro
R. Vučić,12,780,AUT,2025,Atacante
R. Žulj,9,1146,AUT,2025,Meia
Ronivaldo,12,1303,AUT,2025,Atacante
S. Altunashvili,8,640,AUT,2025,Segundo Volante
S. Baidoo,4,1263,AUT,2025,Zagueiro
S. Diabaté,8,1064,AUT,2025,Segundo Volante
S. Horvath,7,1110,AUT,2025,Primeiro Volante
S. Ingolitsch,1,1248,AUT,2025,Lateral
S. Jatta,12,787,AUT,2025,Atacante
S. Piesinger,7,1453,AUT,2025,Primeiro Volante
S. Pirkl,1,1366,AUT,2025,Lateral
S. Raux-Yao,4,1568,AUT,2025,Zagueiro
S. Şahin-Radlinger,0,1576,AUT,2025,Goleiro
S. Seidl,11,1128,AUT,2025,Extremo
S. Škrbo,11,778,AUT,2025,Extremo
S. Spari,0,974,AUT,2025,Goleiro
S. Straudi,1,1072,AUT,2025,Lateral
Stefan Bajčetić,7,629,AUT,2025,Primeiro Volante
T. Ballo,10,1310,AUT,2025,Extremo
T. Chukwuani,8,820,AUT,2025,Segundo Volante
T. Cipot,11,787,AUT,2025,Extremo
T. Goiginger,11,1363,AUT,2025,Extremo
T. Horvat,10,880,AUT,2025,Extremo
T. Kainz,8,1073,AUT,2025,Segundo Volante
T. Koch,8,1214,AUT,2025,Segundo Volante
T. Mahrer,4,1124,AUT,2025,Zagueiro
T. Plavotić,4,515,AUT,2025,Zagueiro
V. Berisha,10,1079,AUT,2025,Extremo
V. Demaku,8,1244,AUT,2025,Segundo Volante
V. Müller,7,1558,AUT,2025,Primeiro Volante
W. Bøving,10,1092,AUT,2025,Extremo
Y. Diarra,8,1032,AUT,2025,Segundo Volante
A. Bernier,10,1230,BEL1,2025,Extremo
A. Bertaccini,12,1306,BEL1,2025,Atacante
A. Brown,1,1555,BEL1,2025,Lateral
A. Castro-Montes,1,906,BEL1,2025,Lateral
A. Colassin,12,757,BEL1,2025,Atacante
A. Costa,1,1313,BEL1,2025,Lateral
A. Devine,9,1038,BEL1,2025,Meia
A. Dreyer,11,1259,BEL1,2025,Extremo
A. Francis,8,985,BEL1,2025,Segundo Volante
A. Gudjohnsen,12,805,BEL1,2025,Atacante
A. Ito,8,965,BEL1,2025,Segundo Volante
A. Jashari,7,955,BEL1,2025,Primeiro Volante
A. Kadri,8,1135,BEL1,2025,Segundo Volante
A. Konstantopoulos,1,1306,BEL1,2025,Lateral
A. Mebude,10,740,BEL1,2025,Extremo
A. Minda,11,785,BEL1,2025,Extremo
A. Moris,0,1682,BEL1,2025,Goleiro
A. O'Neill,7,1695,BEL1,2025,Primeiro Volante
A. Ouattara,8,1242,BEL1,2025,Segundo Volante
A. Piedfort,7,1023,BEL1,2025,Primeiro Volante
A. Sayyadmanesh,10,1390,BEL1,2025,Extremo
A. Scheidler,12,699,BEL1,2025,Atacante
A. Sissako,8,629,BEL1,2025,Segundo Volante
A. Skov Olsen,10,1017,BEL1,2025,Extremo
A. Touba,4,1052,BEL1,2025,Zagueiro
A. Valencia,10,502,BEL1,2025,Extremo
A. Zeqiri,12,919,BEL1,2025,Atacante
A. Zorgane,7,1665,BEL1,2025,Primeiro Volante
Aiham Ousou,4,1157,BEL1,2025,Zagueiro
B. Bafdili,9,725,BEL1,2025,Meia
B. Brahimi,9,762,BEL1,2025,Meia
B. Dejaegere,8,764,BEL1,2025,Segundo Volante
B. Godeau,4,1646,BEL1,2025,Zagueiro
B. Gonçalves,4,667,BEL1,2025,Zagueiro
B. Heynen,7,1301,BEL1,2025,Primeiro Volante
B. Lagae,4,1092,BEL1,2025,Zagueiro
B. Mechele,4,1687,BEL1,2025,Zagueiro
B. Nsimba,12,1354,BEL1,2025,Atacante
B. Plat,1,1287,BEL1,2025,Lateral
B. Reynolds,1,1541,BEL1,2025,Lateral
B. Šutalo,4,1510,BEL1,2025,Zagueiro
B. Van den Eynden,4,614,BEL1,2025,Zagueiro
B. Verstraete,7,1318,BEL1,2025,Primeiro Volante
C. Bonsu Baah,10,1122,BEL1,2025,Extremo
C. Burgess,4,981,BEL1,2025,Zagueiro
C. Coosemans,0,1684,BEL1,2025,Goleiro
C. Dagba,10,654,BEL1,2025,Extremo
C. Ikwuemesi,12,896,BEL1,2025,Atacante
C. Keita,4,646,BEL1,2025,Zagueiro
C. Keita,12,868,BEL1,2025,Atacante
C. Ravych,4,1410,BEL1,2025,Zagueiro
C. Tzolis,10,1277,BEL1,2025,Extremo
C. Vanhoutte,7,1477,BEL1,2025,Primeiro Volante
D. Bates,4,859,BEL1,2025,Zagueiro
D. De Neve,1,1210,BEL1,2025,Lateral
D. Eckert Ayensa,12,1058,BEL1,2025,Atacante
D. Foulon,1,1430,BEL1,2025,Lateral
D. Haspolat,7,1606,BEL1,2025,Primeiro Volante
D. Heymans,9,1515,BEL1,2025,Meia
D. Hrnčár,1,989,BEL1,2025,Lateral
D. Matijaš,0,697,BEL1,2025,Goleiro
D. Odoi,7,834,BEL1,2025,Primeiro Volante
D. Roef,0,1583,BEL1,2025,Goleiro
D. Tshimanga,4,840,BEL1,2025,Zagueiro
E. Banzuzi,8,1353,BEL1,2025,Segundo Volante
E. Bayram,4,882,BEL1,2025,Zagueiro
E. Camara,7,1031,BEL1,2025,Primeiro Volante
E. Henderson,8,925,BEL1,2025,Segundo Volante
E. Kakou,4,1096,BEL1,2025,Zagueiro
Erick,1,667,BEL1,2025,Lateral
F. Amuzu,11,624,BEL1,2025,Extremo
F. Ferraro,1,1417,BEL1,2025,Lateral
F. Ivanović,12,773,BEL1,2025,Atacante
F. Leysen,4,905,BEL1,2025,Zagueiro
F. Ricca,4,902,BEL1,2025,Zagueiro
F. Surdez,10,1138,BEL1,2025,Extremo
Faisal Al Ghamdi,8,865,BEL1,2025,Segundo Volante
Felipe Augusto,12,689,BEL1,2025,Atacante
Ferrán Jutglà,12,538,BEL1,2025,Atacante
Flávio Nazinho,1,989,BEL1,2025,Lateral
G. Dewaele,1,657,BEL1,2025,Lateral
G. Kerk,10,1310,BEL1,2025,Extremo
G. Kyei,12,646,BEL1,2025,Atacante
G. Magnée,1,818,BEL1,2025,Lateral
G. Nilsson,12,792,BEL1,2025,Atacante
G. Ruyssen,4,1521,BEL1,2025,Zagueiro
G. Yow,10,696,BEL1,2025,Extremo
H. Fujii,4,1394,BEL1,2025,Zagueiro
H. Gambor,1,838,BEL1,2025,Lateral
H. Kuruçay,4,828,BEL1,2025,Zagueiro
H. Lawrence,4,1062,BEL1,2025,Zagueiro
H. Matthys,4,995,BEL1,2025,Zagueiro
H. Mendyl,1,511,BEL1,2025,Lateral
H. Van Crombrugge,0,1491,BEL1,2025,Goleiro
H. Van der Bruggen,8,1256,BEL1,2025,Segundo Volante
H. Vanaken,9,1653,BEL1,2025,Meia
H. Vetlesen,7,861,BEL1,2025,Primeiro Volante
I. Bangoura,7,560,BEL1,2025,Primeiro Volante
I. Camara,1,1237,BEL1,2025,Lateral
I. Diakité,4,674,BEL1,2025,Zagueiro
I. Hautekiet,4,1412,BEL1,2025,Zagueiro
I. Mbenza,10,563,BEL1,2025,Extremo
I. N'Dri,10,1193,BEL1,2025,Extremo
I. Price,8,1456,BEL1,2025,Segundo Volante
J. Alcócer,9,740,BEL1,2025,Meia
J. Bataille,1,1286,BEL1,2025,Lateral
J. Fujita,8,1435,BEL1,2025,Segundo Volante
J. Kayembe,1,1638,BEL1,2025,Lateral
J. Ondrejka,10,1428,BEL1,2025,Extremo
J. Ordóñez,4,973,BEL1,2025,Zagueiro
J. Pétris,1,1509,BEL1,2025,Lateral
J. Pupe,4,1395,BEL1,2025,Zagueiro
J. Seys,1,1250,BEL1,2025,Lateral
J. Simić,4,1373,BEL1,2025,Zagueiro
J. Steuckers,10,1500,BEL1,2025,Extremo
J. Torunarigha,4,871,BEL1,2025,Zagueiro
João Silva,4,1633,BEL1,2025,Zagueiro
José Marsà,4,1453,BEL1,2025,Zagueiro
K. Cools,4,1682,BEL1,2025,Zagueiro
K. Corbanie,1,844,BEL1,2025,Lateral
K. Denkey,12,1363,BEL1,2025,Atacante
K. Dolberg,12,1364,BEL1,2025,Atacante
K. Karetsas,9,626,BEL1,2025,Meia
K. Mac Allister,4,1408,BEL1,2025,Zagueiro
K. Machida,4,1338,BEL1,2025,Zagueiro
K. Mrabti,9,1370,BEL1,2025,Meia
K. Olaigbe,9,594,BEL1,2025,Meia
K. Rodríguez,12,561,BEL1,2025,Atacante
K. Sardella,1,1324,BEL1,2025,Lateral
K. Van Langendonck,0,594,BEL1,2025,Goleiro
K. Zahiroleslam,12,1086,BEL1,2025,Atacante
L. Agyekum,8,1169,BEL1,2025,Segundo Volante
L. Dendoncker,4,738,BEL1,2025,Zagueiro
L. Hens,8,735,BEL1,2025,Segundo Volante
L. Kokubo,0,1384,BEL1,2025,Goleiro
L. Kuavita,8,1021,BEL1,2025,Segundo Volante
L. Lauberbach,12,1009,BEL1,2025,Atacante
L. Mbe Soh,4,1005,BEL1,2025,Zagueiro
L. Patris,1,1071,BEL1,2025,Lateral
L. Vušković,4,1651,BEL1,2025,Zagueiro
M. Berte,12,755,BEL1,2025,Atacante
M. Bulat,8,1093,BEL1,2025,Segundo Volante
M. De Cuyper,1,1489,BEL1,2025,Lateral
M. Dean,12,824,BEL1,2025,Atacante
M. Delanghe,0,790,BEL1,2025,Goleiro
M. Delorge,8,1645,BEL1,2025,Segundo Volante
M. Doumbia,7,1018,BEL1,2025,Primeiro Volante
M. Epolo,0,1495,BEL1,2025,Goleiro
M. Fossey,1,1481,BEL1,2025,Lateral
M. Frigan,12,1205,BEL1,2025,Atacante
M. Fuseini,12,1087,BEL1,2025,Atacante
M. Jørgensen,4,1297,BEL1,2025,Zagueiro
M. Koné,0,1185,BEL1,2025,Goleiro
M. Maertens,12,817,BEL1,2025,Atacante
M. Mampassi,4,562,BEL1,2025,Zagueiro
M. N'Diaye,1,1155,BEL1,2025,Lateral
M. Rasmussen,8,502,BEL1,2025,Segundo Volante
M. Rits,7,1377,BEL1,2025,Primeiro Volante
M. Smets,4,1554,BEL1,2025,Zagueiro
M. Stroeykens,9,1235,BEL1,2025,Meia
M. Verrips,0,1279,BEL1,2025,Goleiro
M. Viltard,8,796,BEL1,2025,Segundo Volante
M. Weymans,1,603,BEL1,2025,Lateral
Marwan Al Sahafi,12,838,BEL1,2025,Atacante
Mujaid Sadick,4,1669,BEL1,2025,Zagueiro
N. Fadiga,1,900,BEL1,2025,Lateral
N. Mehssatou,8,1323,BEL1,2025,Segundo Volante
N. Rôdes,7,1601,BEL1,2025,Primeiro Volante
N. Sadiki,8,1524,BEL1,2025,Segundo Volante
N. Sattlberger,7,820,BEL1,2025,Primeiro Volante
N. Shinton,0,1005,BEL1,2025,Goleiro
N. Storm,12,993,BEL1,2025,Atacante
Nacho Ferri,12,1141,BEL1,2025,Atacante
O. De Wolf,0,1702,BEL1,2025,Goleiro
O. Gandelman,9,1110,BEL1,2025,Meia
Oday Dabbagh,12,501,BEL1,2025,Atacante
Omar Fayed,4,504,BEL1,2025,Zagueiro
Óscar Gil,1,533,BEL1,2025,Lateral
P. David,12,522,BEL1,2025,Atacante
P. Gerkens,8,546,BEL1,2025,Segundo Volante
P. Guiagon,10,1163,BEL1,2025,Extremo
P. Gunnarsson,0,1004,BEL1,2025,Goleiro
P. Hrošovský,9,1266,BEL1,2025,Meia
P. Pflücke,1,1279,BEL1,2025,Lateral
R. Belghali,1,619,BEL1,2025,Lateral
R. Ito,8,1105,BEL1,2025,Segundo Volante
R. Květ,8,1181,BEL1,2025,Segundo Volante
R. Neustädter,4,909,BEL1,2025,Zagueiro
R. Ogawa,1,1602,BEL1,2025,Lateral
R. Onyedika,7,1151,BEL1,2025,Primeiro Volante
R. Sanusi,8,1121,BEL1,2025,Segundo Volante
R. Schoofs,8,1663,BEL1,2025,Segundo Volante
R. Sykes,4,549,BEL1,2025,Zagueiro
R. Van Helden,4,1645,BEL1,2025,Zagueiro
R. Vanwesemael,1,880,BEL1,2025,Lateral
R. Vermant,12,586,BEL1,2025,Atacante
R. Yamamoto,8,685,BEL1,2025,Segundo Volante
S. Andreou,4,1580,BEL1,2025,Zagueiro
S. Benjdida,12,631,BEL1,2025,Atacante
S. Bolat,0,1110,BEL1,2025,Goleiro
S. Edozie,10,610,BEL1,2025,Extremo
S. Lammens,0,1688,BEL1,2025,Goleiro
S. Miangue,4,883,BEL1,2025,Zagueiro
S. Michez,1,525,BEL1,2025,Lateral
S. Mignolet,0,1687,BEL1,2025,Goleiro
S. Mitrović,11,569,BEL1,2025,Extremo
S. Mitrović,4,1084,BEL1,2025,Zagueiro
S. Schrijvers,8,933,BEL1,2025,Segundo Volante
S. Taniguchi,4,1040,BEL1,2025,Zagueiro
T. Akimoto,1,1475,BEL1,2025,Lateral
T. Alderweireld,4,1493,BEL1,2025,Zagueiro
T. Ambrose,12,1112,BEL1,2025,Atacante
T. Arokodare,12,1489,BEL1,2025,Atacante
T. Chery,9,1478,BEL1,2025,Meia
T. Kaneko,10,936,BEL1,2025,Extremo
T. Leoni,8,1094,BEL1,2025,Segundo Volante
T. Leysen,0,1659,BEL1,2025,Goleiro
T. Ominami,4,827,BEL1,2025,Zagueiro
T. Raemaekers,4,1436,BEL1,2025,Zagueiro
T. Reyners,11,561,BEL1,2025,Extremo
T. Rommens,1,1479,BEL1,2025,Lateral
T. Somers,9,1547,BEL1,2025,Meia
T. Takamine,7,915,BEL1,2025,Primeiro Volante
T. Vandenberghe,0,587,BEL1,2025,Goleiro
T. Verlinden,10,1344,BEL1,2025,Extremo
T. Vlietinck,1,609,BEL1,2025,Lateral
T. Watanabe,4,1677,BEL1,2025,Zagueiro
V. Dragsnes,1,1462,BEL1,2025,Lateral
V. Janssen,12,1658,BEL1,2025,Atacante
W. Balikwisha,10,919,BEL1,2025,Extremo
W. Cagro,8,667,BEL1,2025,Segundo Volante
Warleson,0,913,BEL1,2025,Goleiro
Y. Maziz,9,1087,BEL1,2025,Meia
Y. Sor,10,667,BEL1,2025,Extremo
Y. Titraoui,7,506,BEL1,2025,Primeiro Volante
Y. Verschaeren,8,1114,BEL1,2025,Segundo Volante
Z. El Ouahdi,1,1356,BEL1,2025,Lateral
Z. Van den Bosch,4,1685,BEL1,2025,Zagueiro
A. Abid,10,1265,BEL2,2025,Extremo
A. Arslan,8,746,BEL2,2025,Segundo Volante
A. Barkarson,1,1166,BEL2,2025,Lateral
A. Caicedo,1,681,BEL2,2025,Lateral
A. Cascio,10,550,BEL2,2025,Extremo
A. Corryn,1,1204,BEL2,2025,Lateral
A. Curci,12,881,BEL2,2025,Atacante
A. De Corte,0,1058,BEL2,2025,Goleiro
A. Et Taïbi,4,787,BEL2,2025,Zagueiro
A. Keita,7,1152,BEL2,2025,Primeiro Volante
A. Khatir,4,651,BEL2,2025,Zagueiro
A. Laâziri,1,1349,BEL2,2025,Lateral
A. Lapage,4,1068,BEL2,2025,Zagueiro
A. Lefebvre,12,517,BEL2,2025,Atacante
A. Lejoly,0,678,BEL2,2025,Goleiro
A. Limbombe,10,789,BEL2,2025,Extremo
A. Maamar,1,895,BEL2,2025,Lateral
A. Nurudeen,0,803,BEL2,2025,Goleiro
A. Ola-Adebomi,12,503,BEL2,2025,Atacante
A. Palacios,4,826,BEL2,2025,Zagueiro
A. Staelens,1,618,BEL2,2025,Lateral
A. Tajaouart,8,1283,BEL2,2025,Segundo Volante
A. Tanghe,4,1344,BEL2,2025,Zagueiro
Alejandro Granados,9,915,BEL2,2025,Meia
Álvaro Santos,10,1094,BEL2,2025,Extremo
B. Adinany,12,908,BEL2,2025,Atacante
B. Baiye,7,1032,BEL2,2025,Primeiro Volante
B. Bruggeman,10,516,BEL2,2025,Extremo
B. Dansoko,10,1253,BEL2,2025,Extremo
B. Faraas,9,706,BEL2,2025,Meia
B. Gabriël,0,1272,BEL2,2025,Goleiro
B. Laes,1,845,BEL2,2025,Lateral
B. Lambot,4,864,BEL2,2025,Zagueiro
B. Lathouwers,0,1259,BEL2,2025,Goleiro
B. Manguelle,4,517,BEL2,2025,Zagueiro
B. Nyssen,1,1136,BEL2,2025,Lateral
B. Reus,0,1372,BEL2,2025,Goleiro
B. Vroninks,1,805,BEL2,2025,Lateral
C. Akpan,7,1334,BEL2,2025,Primeiro Volante
C. Janssens,1,629,BEL2,2025,Lateral
C. Lavie,10,881,BEL2,2025,Extremo
C. Makosso,4,1216,BEL2,2025,Zagueiro
C. Ndiaye,8,608,BEL2,2025,Segundo Volante
C. Van Daele,1,716,BEL2,2025,Lateral
D. De Roeve,1,715,BEL2,2025,Lateral
D. Dessoleil,4,993,BEL2,2025,Zagueiro
D. Karim,7,1271,BEL2,2025,Primeiro Volante
