Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ganhos,Ações_Defensivas_BemSucedidas,Duelos_Defensivos_Ganhos,Duelos_Aéreos_Ganhos,Interceptações_Ajustadas_a_Posse,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
554,J. Rojas,La Serena,La Serena,RB,RB,1,23.0,400000,2027-12-31,12,1041,Chile,Chile,right,185,73,yes,7.350099,9.68,4.585148,0.43,5.95,CHI,Testing,2025,0.5464942929397572,0.5648234354655439,0.5510152237995571
555,J. Saldías,Unión La Calera,Unión La Calera,"RB, LB, RCB",RB,1,23.0,275000,,11,521,Chile,Chile,,0,0,no,8.462432,9.85,3.971055000000001,1.7271,8.03,CHI,Testing,2025,0.6640024426084822,0.6901998406611681,0.6737266483367276
556,M. González,O'Higgins,O'Higgins,"RB, RCB",RB,1,24.0,550000,,11,1040,Chile,Chile,right,181,74,no,10.72767,12.2,6.66655,1.99155,7.17,CHI,Testing,2025,0.8996430080982508,0.9049642192118506,0.9012826258366404
557,J. Espejo,Audax Italiano,Audax Italiano,"RB, RWB",RB,1,24.0,0,2026-12-31,13,1302,Chile,Chile,right,0,0,yes,6.222977999999999,7.95,2.970688,0.276,6.04,CHI,Testing,2025,0.4206326947704937,0.4232706596548144,0.4159107137942684
558,J. León,Palestino,Palestino,LB,LB,1,25.0,150000,,12,1011,Chile,Chile,,0,0,no,7.925630999999999,8.28,4.185309,1.067404,5.74,CHI,Testing,2025,0.5071295637294106,0.5204437143673318,0.5087054079276304
559,F. Salinas,Coquimbo Unido,Coquimbo Unido,RB,RB,1,25.0,0,2026-12-31,13,1297,Chile,Chile,right,179,71,yes,12.417752,10.48,5.13513,4.299003,5.98,CHI,Testing,2025,0.821845857448608,0.8539837331710215,0.8362209044124699
560,F. Espinoza,Unión Española,Unión Española,"LB, LCB",LB,1,25.0,0,2027-12-31,8,545,Chile,Chile,left,179,72,no,7.763973000000001,9.74,5.7785,0.8271900000000001,4.29,CHI,Testing,2025,0.5429938204426776,0.5656868849077538,0.5496829330090574
561,L. Díaz,Huachipato,Huachipato,LB,LB,1,26.0,0,2027-12-31,7,517,Chile,Chile,left,173,67,no,8.528468,8.7,4.179756,1.915416,5.89,CHI,Testing,2025,0.566829904569273,0.5696810064196841,0.5637434572814765
562,M. Sepúlveda,Universidad de Chile,Universidad de Chile,"LWB, LB",LWB,1,26.0,800000,2026-12-31,10,852,Chile,Chile,left,184,74,no,7.924004,7.61,3.589656000000001,1.053386,6.07,CHI,Testing,2025,0.4823924777324158,0.4905189104916008,0.4810888376688821
563,V. Fernández,Cobresal,Cobresal,"LB, LWB",LB,1,26.0,450000,,13,1222,Chile,Chile,left,180,66,no,6.923664,9.43,4.124088,1.180452,5.79,CHI,Testing,2025,0.5284504324177696,0.5406176889235054,0.5296696529712356
564,S. Ramírez,Unión Española,Unión Española,RB,RB,1,26.0,600000,,9,851,Chile,Chile,right,178,66,no,7.718759999999999,9.62,4.335976,0.8451540000000002,7.08,CHI,Testing,2025,0.6000740750470012,0.6152016498776676,0.603537434823006
565,C. Barrera,Cobresal,Cobresal,"RB, RWB",RB,1,27.0,450000,,11,941,Chile,Chile,right,180,66,no,5.931648,6.41,3.253458,0.382184,2.91,CHI,Testing,2025,0.2339795501306265,0.241432458564471,0.2297395593977802
566,F. Fritz,Deportes Limache,Deportes Limache,"LB, LW",LB,1,27.0,275000,,8,568,Chile,Chile,left,182,75,no,8.55442,11.41,4.436286,1.426138,8.74,CHI,Testing,2025,0.7648931017764738,0.7804836787934459,0.7703128430084943
567,N. Baeza,Everton,Everton,"LB, LCB",LB,1,28.0,600000,2026-12-31,8,730,Chile,Chile,left,175,75,no,9.124557,11.22,4.808146,1.235,7.97,CHI,Testing,2025,0.755149330800804,0.7692552093628078,0.7597171363468198
568,D. Zúñiga,Palestino,Palestino,"RB, LB",RB,1,28.0,750000,2025-12-31,9,861,Chile,Chile,right,170,73,no,10.032984,8.99,4.602456,1.255798,7.28,CHI,Testing,2025,0.6575294249571784,0.6721944255866408,0.6613595245733344
569,F. Hormazábal,Universidad de Chile,Universidad de Chile,"RWB, RCB, RB",RWB,1,29.0,1200000,2025-12-31,9,898,Chile,Chile,right,176,74,no,10.92495,10.42,5.812487999999999,0.6999600000000001,7.06,CHI,Testing,2025,0.7856170591589254,0.7964478905481511,0.7888486346359017
570,L. Pavez,O'Higgins,O'Higgins,LB,LB,1,29.0,600000,,12,1203,Chile,Chile,left,174,72,no,6.51168,8.68,3.293864000000001,1.722378,6.74,CHI,Testing,2025,0.5050492598416616,0.5153521570615306,0.505082002132499
571,C. Diaz,Unión La Calera,Unión La Calera,RB,RB,1,29.0,250000,,12,1090,Chile,Chile,right,180,66,no,7.841187,7.35,3.796596,1.485099,4.72,CHI,Testing,2025,0.416808491723067,0.428479610492049,0.4166103234257122
572,C. Cuevas,Universidad Católica,Universidad Católica,"LB, LWB, LW",LB,1,30.0,750000,2026-12-31,12,1042,Chile,Chile,left,174,70,no,12.26312,8.46,5.270182000000001,1.469182,5.29,CHI,Testing,2025,0.6031118587369263,0.6297890008210365,0.6124420989327468
573,B. Cerezo,Ñublense,Ñublense,RB,RB,1,30.0,650000,,10,944,Chile,Chile,right,178,76,no,9.438714,9.92,4.9595,1.335,5.09,CHI,Testing,2025,0.611048998377589,0.6192723316253606,0.6111388553135376
574,É. Wiemberg,Colo Colo,Colo Colo,"LB, LWB",LB,1,30.0,800000,2025-12-31,7,688,Chile,Chile,left,178,75,no,8.6352,10.2,5.360145,1.176507,8.22,CHI,Testing,2025,0.7410062313260124,0.7508599053208151,0.743277911341591
575,B. Ampuero,Universidad Católica,Universidad Católica,"RB, LCB, CB",RB,1,31.0,600000,2025-12-31,12,1003,Chile,Chile,right,184,82,no,6.373185000000001,6.1,2.6925,2.1539,4.98,CHI,Testing,2025,0.3269528705910288,0.3278120662100845,0.3203531981081284
576,D. Orellana,Deportes Iquique,Deportes Iquique,"RB, RDMF, LW",RB,1,32.0,450000,2025-12-31,10,705,Chile,Chile,right,173,68,no,5.362673000000001,6.38,3.321556,1.148648,4.16,CHI,Testing,2025,0.2534616263936303,0.2763797584314495,0.2572386578287605
577,J. Campusano,Ñublense,Ñublense,LB,LB,1,32.0,700000,,11,1090,Chile,Chile,left,170,69,no,8.669948,9.33,5.367705,0.91,4.98,CHI,Testing,2025,0.5573717710683185,0.5733366490932248,0.5608118920541465
578,M. Jorquera,Deportes Iquique,Deportes Iquique,LB,LB,1,32.0,400000,,9,736,Chile,Chile,left,173,74,no,7.090668000000001,10.03,5.13729,1.1,5.7,CHI,Testing,2025,0.5693806394298537,0.5744367245799421,0.5674348622742795
579,Y. Andía,Deportes Limache,Deportes Limache,RB,RB,1,32.0,400000,,11,900,Chile,Chile,right,172,77,no,8.1993,7.8,3.9,0.8,4.68,CHI,Testing,2025,0.426973866722633,0.4418048872889195,0.4284783952627924
580,N. Peñailillo,Deportes Limache,Deportes Limache,"LB, LCB",LB,1,33.0,250000,,9,857,Chile,Chile,left,176,75,no,8.403901999999999,11.55,5.044179,1.47,7.56,CHI,Testing,2025,0.7521252373880597,0.750234939003193,0.7485797658251225
581,J. Gómez,Deportes Iquique,Deportes Iquique,RB,RB,1,34.0,300000,,6,551,Argentina,"Argentina, Chile",right,183,83,no,6.370245,7.51,3.594969,0.97875,4.49,CHI,Testing,2025,0.3498508875011635,0.3575229290703681,0.3469325357014071
582,J. Cornejo,Coquimbo Unido,Coquimbo Unido,LB,LB,1,35.0,300000,2025-12-31,12,1062,Chile,Chile,left,177,78,no,8.391632,7.63,3.814362,2.11792,3.84,CHI,Testing,2025,0.4111533366902226,0.4299615335495175,0.4145019010070513
583,E. Mena,Universidad Católica,Universidad Católica,LB,LB,1,36.0,400000,2026-12-31,8,574,Chile,Chile,left,173,68,no,5.799843000000001,8.0,3.605634,0.784584,6.29,CHI,Testing,2025,0.4434384907222477,0.4494063194112551,0.4406371759286333
584,M. Isla,Colo Colo,Colo Colo,"RB, RWB",RB,1,36.0,350000,2025-06-30,8,702,Chile,Chile,right,176,75,no,5.767888,6.41,3.46371,1.150791,4.01,CHI,Testing,2025,0.2697213864287983,0.2851500086830905,0.269884452536414
585,Xuan Zhijian,Changchun Yatai,Changchun Yatai,"LB, LW",LB,1,19.0,0,,9,747,China PR,China PR,,0,0,no,9.637888,12.17,5.423636,1.323787,7.67,CHN,Testing,2025,0.8127616641427133,0.8271318633638679,0.8180650957842814
586,Hu Hetao,Chengdu Rongcheng,Chengdu Rongcheng,"RB, RWB",RB,1,21.0,0,2027-02-28,13,1210,China PR,China PR,left,180,0,no,8.33294,7.36,3.720186,1.115744,5.18,CHN,Testing,2025,0.4399196470031707,0.4460358090563082,0.4371564998805552
587,Shinichi Chan,Shanghai Shenhua,Shanghai Shenhua,LB,LB,1,22.0,300000,,11,987,Japan,"Japan, Hong Kong",left,184,72,no,7.748478,8.48,4.105339,0.818626,6.45,CHN,Testing,2025,0.5279534097026224,0.5391016993814084,0.5286526282294391
588,Zhang Yujie, Shenzhen Peng City, Shenzhen Peng City,"RB, RWB, RW",RB,1,23.0,0,2027-12-31,10,752,China PR,China PR,right,177,0,no,8.376865,9.1,5.627135999999999,0.836268,3.99,CHN,Testing,2025,0.5161220552978527,0.5308202622424489,0.5184911368858314
589,He Longhai,Qingdao West Coast,Qingdao West Coast,"LB, RB",LB,1,23.0,100000,,11,653,China PR,China PR,,0,0,no,10.477454,10.2,4.685,1.794,6.98,CHN,Testing,2025,0.7459167023761932,0.7376960761710297,0.7391081059367826
590,Lu Zhuoyi,Dalian Young Boy,Dalian Young Boy,RB,RB,1,24.0,0,,12,1148,China PR,China PR,,175,65,no,9.875536,11.6,4.705122,1.645,7.57,CHN,Testing,2025,0.7893129333376009,0.801142006220681,0.7930874698597751
591,Yang Zihao,Tianjin Tigers,Tianjin Tigers,LB,LB,1,24.0,125000,,10,831,China PR,China PR,left,180,0,no,8.341552,6.93,4.11684,1.947435,3.82,CHN,Testing,2025,0.3791576759353253,0.3986914277480444,0.3825384344831954
592,Sun Ming Him,Tianjin Tigers,Tianjin Tigers,"LB, LW",LB,1,24.0,300000,,13,852,Hong Kong,Hong Kong,left,178,68,no,10.669405,10.04,5.811878999999999,1.269125,5.55,CHN,Testing,2025,0.6886306527840191,0.6929023225590176,0.6875348057133259
593,Xu Haofeng,Changchun Yatai,Changchun Yatai,RB,RB,1,26.0,150000,2026-12-31,7,636,China PR,China PR,right,182,73,yes,13.1626,11.32,7.785572000000001,2.402075,4.26,CHN,Testing,2025,0.8121117201231778,0.8260845183006673,0.8172075823812154
594,Wen Jiabao,Dalian Young Boy,Dalian Young Boy,LB,LB,1,26.0,125000,2025-12-31,13,1003,China PR,China PR,left,177,65,no,8.347413999999999,9.33,5.207083,0.627155,4.47,CHN,Testing,2025,0.5198987643258447,0.533916977264948,0.5219637646828308
595,Y. Gurfinkel,Chengdu Rongcheng,Chengdu Rongcheng,"LB, LWB",LB,1,26.0,500000,2026-01-31,12,1213,Israel,Israel,left,171,74,no,9.051504,6.38,3.416325,1.037736,4.53,CHN,Testing,2025,0.3717716509967212,0.3902915217957706,0.374562982654458
596,Zhang Chenliang,Yunnan Yukun,Yunnan Yukun,"RB, RCB",RB,1,26.0,125000,,10,678,China PR,China PR,right,183,0,no,9.158579999999999,12.35,5.709689999999999,1.860727,8.14,CHN,Testing,2025,0.8504578555475086,0.8654873264244758,0.8564883164912154
597,Yue Tze Nam,Meizhou Hakka,Meizhou Hakka,RB,RB,1,27.0,350000,2025-12-31,12,1197,Hong Kong,Hong Kong,right,172,68,no,7.36598,7.07,3.533706,0.3750300000000001,4.62,CHN,Testing,2025,0.3721883337174618,0.3716875875940922,0.3653743228860833
598,Liu Bin,Henan,Henan,"LWB, LB",LWB,1,27.0,100000,2025-12-31,9,569,China PR,China PR,left,180,70,no,9.490892,7.12,4.109318,2.85,3.91,CHN,Testing,2025,0.461808496496722,0.4660907075381504,0.4583475429559914
599,Dilmurat Mawlanyaz,Yunnan Yukun,Yunnan Yukun,"RB, RWB",RB,1,27.0,100000,,8,656,China PR,China PR,right,169,70,no,9.463862,12.48,5.898142,0.549036,7.69,CHN,Testing,2025,0.8190170965755663,0.8337304943760818,0.8245592939736899
600,Tong Lei,Zhejiang Professional,Zhejiang Professional,"RWB, RB",RWB,1,27.0,200000,2025-12-31,12,636,China PR,China PR,right,178,68,no,5.518032000000001,8.92,3.53684,0.141097,6.23,CHN,Testing,2025,0.4763536328537828,0.4573692542144954,0.4612898150221643
601,Lin Liangming,Beijing Guoan,Beijing Guoan,"LWB, LB",LWB,1,27.0,300000,2026-12-31,10,885,China PR,China PR,right,180,74,no,10.3733,7.42,2.136,3.047646,9.49,CHN,Testing,2025,0.5518456670949515,0.5932388426053992,0.5680750563486658
602,Cao Yongjing,Beijing Guoan,Beijing Guoan,"RWB, RW, CF",RWB,1,28.0,175000,2025-12-31,11,878,China PR,China PR,right,180,73,no,7.892759999999999,7.28,4.20146,0.306636,4.97,CHN,Testing,2025,0.4355477476707792,0.4360876702703029,0.4299216541822914
603,Tsui Wang Kit,Yunnan Yukun,Yunnan Yukun,"LB, LWB, RB",LB,1,28.0,250000,2025-12-31,10,1017,Hong Kong,Hong Kong,right,177,63,no,9.559522000000001,11.15,4.5152,1.506318,7.41,CHN,Testing,2025,0.7573237734387237,0.7622808476826121,0.7572920957604813
604,Ba Dun,Tianjin Tigers,Tianjin Tigers,"RB, RW",RB,1,29.0,400000,,13,1112,China PR,China PR,right,181,72,no,7.3661,8.66,3.964928,0.891883,6.69,CHN,Testing,2025,0.5344318833221791,0.5509411933194817,0.5379073290681889
605,Li Shuai,Shanghai Port,Shanghai Port,LB,LB,1,29.0,325000,,10,922,China PR,China PR,left,180,75,no,5.563691,6.05,2.63473,0.196,5.53,CHN,Testing,2025,0.282472322827884,0.2907529587856424,0.2791573005347865
606,Liu Yang,Shandong Taishan,Shandong Taishan,LB,LB,1,29.0,600000,2027-12-31,12,1095,China PR,China PR,left,184,74,no,9.039612,9.04,4.027200000000001,2.875,6.78,CHN,Testing,2025,0.6619754753592929,0.6660402779965225,0.6604965506419334
607,Chen Zhechao,Wuhan Three Towns,Wuhan Three Towns,LB,LB,1,30.0,125000,,11,911,China PR,China PR,left,177,71,no,5.926512,7.41,3.260719,0.495873,5.36,CHN,Testing,2025,0.3646125160206277,0.3736040738598089,0.3625150854091335
608,Ming Tian,Shanghai Port,Shanghai Port,RB,RB,1,30.0,250000,,11,814,China PR,China PR,right,180,71,no,7.73828,7.63,4.533746,0.8839199999999999,3.94,CHN,Testing,2025,0.4123436218537099,0.41558817820696,0.4078414802884483
609,Deng Hanwen,Wuhan Three Towns,Wuhan Three Towns,RB,RB,1,30.0,400000,2025-12-31,10,988,China PR,China PR,right,178,73,no,9.927280999999999,10.84,6.009976,0.546,5.63,CHN,Testing,2025,0.700455508135042,0.7071974528111908,0.7007312835381456
610,Wilson Manafá,Shanghai Shenhua,Shanghai Shenhua,RB,RB,1,30.0,1300000,2025-12-31,13,1231,Portugal,"Portugal, Guinea-Bissau",right,177,72,no,9.28464,8.7,4.749768,0.511,6.16,CHN,Testing,2025,0.5828603817613649,0.5899039899892173,0.5820596232350753
611,Sun Guowen,Zhejiang Professional,Zhejiang Professional,"RWB, LWB, LB",RWB,1,31.0,200000,2025-12-31,13,1309,China PR,China PR,right,182,73,no,7.01197,7.29,3.298371,0.6862950000000001,5.07,CHN,Testing,2025,0.3758158250333021,0.3844325107257015,0.3736460810515276
612,Wang Jianan,Meizhou Hakka,Meizhou Hakka,LB,LB,1,32.0,100000,2025-12-31,12,1183,China PR,China PR,right,180,70,no,7.304245,7.3,3.652425,0.9904160000000001,5.19,CHN,Testing,2025,0.411742313127365,0.4177050892520269,0.4086072009398338
613,Zhang Wei, Shenzhen Peng City, Shenzhen Peng City,"RB, RWB",RB,1,32.0,100000,2025-12-31,7,503,China PR,China PR,right,177,73,no,6.799572,7.87,4.113649000000001,0.8932439999999999,3.82,CHN,Testing,2025,0.3709036993928097,0.3776326291627441,0.3677288785808823
614,Song Wenjie,Qingdao Hainiu,Qingdao Hainiu,"RB, CF, RWB",RB,1,34.0,50000,,8,645,China PR,China PR,right,185,76,no,10.742123,6.7,3.073125,3.070292,5.2,CHN,Testing,2025,0.4742144826316816,0.4756045387955737,0.4694219894942501
615,Zhao Honglue,Qingdao West Coast,Qingdao West Coast,LB,LB,1,35.0,50000,,10,609,China PR,China PR,left,174,70,no,8.276720000000001,7.98,3.843891999999999,1.034474,4.39,CHN,Testing,2025,0.4296200902723054,0.4364643099059738,0.4271171395119983
616,Song Long,Qingdao Hainiu,Qingdao Hainiu,"LB, LWB",LB,1,35.0,50000,2025-12-31,12,1121,China PR,China PR,left,180,70,no,5.220908,7.07,1.8446,1.206,6.04,CHN,Testing,2025,0.3565611725721847,0.3276021587292425,0.335206011084458
617,Jiang Zhipeng, Shenzhen Peng City, Shenzhen Peng City,"LB, LWB",LB,1,36.0,25000,,11,886,China PR,China PR,left,178,72,no,8.83902,6.91,3.65924,0.506616,4.06,CHN,Testing,2025,0.3593765058421355,0.3723872841589973,0.3592549675894357
618,Zhang Chengdong,Qingdao West Coast,Qingdao West Coast,"RB, RCB",RB,1,36.0,25000,,11,652,China PR,China PR,right,185,76,no,8.142552,10.63,5.104594000000001,1.379277,7.05,CHN,Testing,2025,0.6903098067263821,0.7037423666259678,0.6938598214091313
619,E. Perlaza,Santa Fe,Santa Fe,"RB, RWB",RB,1,36.0,250000,2025-12-31,8,575,Colombia,Colombia,right,172,75,no,5.948306,3.91,2.033634,1.25,2.65,COL,Testing,2025,0.1215991111356625,0.1052260788618205,0.1041472068474739
620,D. Banguero,Millonarios,Millonarios,LB,LB,1,35.0,350000,2025-12-31,19,1855,Colombia,Colombia,left,185,85,no,7.858125,8.49,4.1696,1.89329,5.67,COL,Testing,2025,0.5187163969460511,0.5378015450111185,0.523328984700745
621,L. Saldaña,Alianza,Alianza,LB,LB,1,35.0,300000,,8,767,Colombia,Colombia,left,171,66,no,6.5711,6.57,3.523384999999999,1.05651,4.11,COL,Testing,2025,0.2942268552365843,0.3099092424740752,0.2947742271812921
622,F. Hinestroza,Atlético Bucaramanga,Atlético Bucaramanga,LB,LB,1,35.0,400000,2025-12-31,17,1591,Colombia,Colombia,left,178,76,no,6.7875,6.96,3.169272,1.01605,5.0,COL,Testing,2025,0.3597452620844738,0.3695079734262301,0.3579865719186168
623,E. Velasco,Deportivo Pasto,Deportivo Pasto,"LB, LCB, LWB",LB,1,33.0,300000,2025-06-30,8,616,Colombia,Colombia,left,179,75,no,5.2605,5.99,2.339033,0.4379999999999999,3.88,COL,Testing,2025,0.1969713425424096,0.2046350145848092,0.1924510762011165
624,Y. Candelo,América de Cali,América de Cali,RB,RB,1,33.0,600000,2026-06-30,14,1158,Colombia,Colombia,right,173,70,no,6.8381,7.93,4.737852,0.7010759999999999,5.19,COL,Testing,2025,0.4266866557214332,0.4527440894583252,0.433860050803376
625,F. Viáfara,Deportivo Cali,Deportivo Cali,RB,RB,1,33.0,450000,2025-06-30,17,1475,Colombia,Colombia,right,167,65,no,7.872525,9.7,5.187904,0.793491,6.24,COL,Testing,2025,0.5980199564437775,0.618527368159061,0.604179879164666
626,D. Mosquera,Unión Magdalena,Unión Magdalena,LB,LB,1,32.0,450000,,12,1041,Colombia,Colombia,left,178,72,no,8.991889,11.76,5.017536,1.554,7.02,COL,Testing,2025,0.7567501178343715,0.7730602278829632,0.7624482861337578
627,C. Mafla,Santa Fe,Santa Fe,LB,LB,1,32.0,250000,,18,1503,Colombia,Colombia,left,175,70,no,5.99011,5.27,2.6345,1.319892,3.55,COL,Testing,2025,0.2122147996507084,0.2050576739184301,0.2003659947377308
628,H. Palacios,Millonarios,Millonarios,RB,RB,1,31.0,1000000,2025-12-31,15,801,Colombia,Colombia,right,181,78,no,7.417914999999999,6.63,3.823389,1.236168,4.55,COL,Testing,2025,0.3562790277564328,0.3720566996763258,0.3575230236154656
629,J. Murillo,Unión Magdalena,Unión Magdalena,"RB, LB",RB,1,31.0,150000,,10,875,Colombia,Colombia,right,178,75,no,5.963229,6.27,2.778,0.924,4.15,COL,Testing,2025,0.2599545061103112,0.2684802699518543,0.2565280034804012
630,M. Castaño,Deportivo Pasto,Deportivo Pasto,"LB, LWB",LB,1,31.0,250000,,16,1313,Colombia,Colombia,left,177,71,no,6.784309,8.77,4.661227999999999,0.685728,4.58,COL,Testing,2025,0.4498155717270881,0.4683522882526487,0.4534310216385535
631,A. Correa,La Equidad,La Equidad,LB,LB,1,31.0,400000,,17,1524,Colombia,Colombia,left,178,73,no,7.796641999999999,8.39,4.725665999999999,1.006305,4.85,COL,Testing,2025,0.4856415473366975,0.4954739495363442,0.4852337610047518
632,W. Pacheco,Deportivo Pereira,Deportivo Pereira,RB,RB,1,30.0,800000,2027-06-30,16,1491,Colombia,Colombia,right,172,67,no,7.305975000000001,9.48,3.681496,0.9044550000000001,6.73,COL,Testing,2025,0.5624443514110544,0.5668577699889684,0.5601013943263374
633,I. Alba,Deportivo Pasto,Deportivo Pasto,"RB, RWB",RB,1,30.0,400000,2025-06-30,14,1334,Colombia,Colombia,right,175,0,no,3.981536,6.48,2.43,0.338215,4.75,COL,Testing,2025,0.2341718006397904,0.2447722499241483,0.2315240363460674
634,C. Cándido,Atlético Nacional,Atlético Nacional,LB,LB,1,30.0,1500000,2026-12-31,17,1499,Uruguay,"Uruguay, Italy",left,174,65,yes,5.764632000000001,9.55,3.960036,0.479964,9.31,COL,Testing,2025,0.6078150584233412,0.6216514838043561,0.6107069948947608
635,A. Román,Atlético Nacional,Atlético Nacional,RB,RB,1,29.0,1200000,2026-06-30,14,1154,Colombia,Colombia,right,183,80,no,3.975,5.07,2.186776,0.7010759999999999,4.98,COL,Testing,2025,0.1824267195027602,0.1833768800693706,0.1743626169147798
636,J. Monroy,Santa Fe,Santa Fe,RB,RB,1,29.0,400000,2026-06-30,11,837,Colombia,"Colombia, Armenia",right,185,80,no,4.516135,5.16,2.687328,0.537543,3.33,COL,Testing,2025,0.1208529962766661,0.1325342884659689,0.1175670494006132
637,C. Arrieta,Tolima,Tolima,"RB, LB",RB,1,29.0,450000,,9,607,Colombia,Colombia,right,171,75,yes,7.114996,5.49,2.81619,1.036,3.36,COL,Testing,2025,0.2256092245254438,0.2316977630973621,0.2205924445131091
638,G. Montes,Llaneros,Llaneros,RB,RB,1,29.0,250000,,13,1251,Colombia,Colombia,right,179,0,no,4.318122,4.17,1.868865,0.7927369999999999,3.23,COL,Testing,2025,0.0668927898771749,0.07610285742785668,0.06179440014951219
639,J. Herrera,Boyacá Chicó,Boyacá Chicó,LB,LB,1,29.0,100000,,11,818,Colombia,Colombia,left,177,67,no,6.490462,8.14,3.299758,0.9900000000000001,5.88,COL,Testing,2025,0.4424153205549333,0.4454201337778951,0.4381063225910976
640,Jeison Angulo,Santa Fe,Santa Fe,"LB, LCB",LB,1,28.0,300000,,15,726,Colombia,Colombia,left,184,74,no,4.587876,6.69,3.471876,0.495397,4.04,COL,Testing,2025,0.2340079359249339,0.249772932794523,0.233967719298334
641,Y. Hurtado,Tolima,Tolima,RB,RB,1,28.0,550000,,18,1555,Colombia,Colombia,right,170,67,no,5.442908999999999,6.08,2.778771,1.2138,4.13,COL,Testing,2025,0.2325619639342615,0.2450512513699431,0.2308516646893456
642,J. Castro,Atlético Nacional,Atlético Nacional,"RB, RCB",RB,1,28.0,700000,,13,770,Colombia,Colombia,right,176,72,no,6.77904,5.61,2.921592,1.405,4.47,COL,Testing,2025,0.2879121571368816,0.2972441496897581,0.2851851564472702
643,Y. Súarez,Deportivo Pereira,Deportivo Pereira,LB,LB,1,27.0,550000,2026-12-31,19,1878,Colombia,Colombia,left,174,68,no,6.27915,7.91,4.022235,0.717838,5.01,COL,Testing,2025,0.4012587787938213,0.4116276763545119,0.4002401912403364
644,Yulian Gomez,Deportivo Cali,Deportivo Cali,LB,LB,1,27.0,450000,2025-12-31,19,1781,Colombia,Colombia,left,182,72,no,6.468447,6.77,2.98264,1.3662,5.48,COL,Testing,2025,0.3618649808446797,0.3741270799968194,0.361391197035726
645,J. Pineda,Águilas Doradas,Águilas Doradas,"RB, RCMF",RB,1,27.0,600000,,16,1030,Colombia,Colombia,right,180,70,no,7.514577,8.13,3.847032,1.835608,5.57,COL,Testing,2025,0.4874838518896187,0.4933121260035342,0.4850723319290713
646,D. Ruíz,Fortaleza,Fortaleza,"LB, RB",LB,1,27.0,150000,,12,1097,Colombia,Colombia,right,0,0,no,5.003184999999999,7.79,2.952,1.229106,6.54,COL,Testing,2025,0.4198530420020997,0.4278785327904284,0.4178448276162285
647,E. Mena,América de Cali,América de Cali,"RB, LB, RWB",RB,1,27.0,450000,2026-12-31,10,803,Colombia,Colombia,right,178,63,no,7.286786000000001,6.05,3.360168,1.121019,4.06,COL,Testing,2025,0.3123551134296015,0.3182411001647734,0.3081425474325438
648,J. Cuesta,Once Caldas,Once Caldas,RB,RB,1,27.0,450000,2027-06-30,17,1645,Colombia,Colombia,right,174,73,no,5.469672999999999,7.17,3.118751999999999,0.987355,5.17,COL,Testing,2025,0.3296744876605401,0.3455490971847147,0.3306894249093893
649,A. Gutiérrez,Atlético Bucaramanga,Atlético Bucaramanga,RB,RB,1,26.0,450000,,15,1438,Colombia,Colombia,right,175,70,no,6.820317,9.45,4.569859999999999,0.6864,6.33,COL,Testing,2025,0.5493708605198473,0.563987040583942,0.5520459706837019
650,A. Mojica,Llaneros U18,Llaneros,RB,RB,1,26.0,50000,,7,540,Colombia,Colombia,right,176,0,no,8.667200000000001,9.5,5.835788,0.49875,5.89,COL,Testing,2025,0.6035533065697471,0.6278379460607605,0.6116794073047729
651,E. Herrera,Junior,Junior,LB,LB,1,26.0,750000,2026-12-31,14,1286,Colombia,Colombia,right,172,68,no,7.48972,9.17,4.620209999999999,1.050042,6.28,COL,Testing,2025,0.5677919360960394,0.5738603307095717,0.5663410003680116
652,J. Patiño,Once Caldas,Once Caldas,LB,LB,1,26.0,400000,2027-12-31,18,1760,Colombia,Colombia,left,183,82,no,7.263222,9.15,4.44788,1.072044,5.39,COL,Testing,2025,0.5061923437809156,0.5204442048172223,0.508232148476267
653,M. García,Medellín,Medellín,"RWB, CF",RWB,1,26.0,900000,2025-06-30,18,1248,Colombia,Colombia,right,180,66,no,6.537224999999999,4.46,2.4616,1.462006,3.79,COL,Testing,2025,0.1769701493626501,0.1905398591624208,0.1752247379070973
654,Y. López,Boyacá Chicó,Boyacá Chicó,"RB, LB",RB,1,26.0,175000,2025-06-30,10,756,Costa Rica,Costa Rica,right,178,70,no,9.762201,10.12,6.192632000000001,1.1905,5.59,COL,Testing,2025,0.6780140547834833,0.6845042437466375,0.6779281097250612
655,M. Mina,América de Cali,América de Cali,LB,LB,1,26.0,400000,2025-06-30,13,1241,Colombia,Colombia,left,177,72,no,7.106435,6.96,3.556096,0.5811910000000001,5.37,COL,Testing,2025,0.3957812744928897,0.4043527840809167,0.3937973577271182
656,J. Vásquez,Llaneros,Llaneros,LB,LB,1,25.0,0,,7,591,Colombia,Colombia,left,180,0,no,7.613934999999999,7.92,3.655555,1.67405,5.28,COL,Testing,2025,0.4606312718764841,0.467570560409456,0.4585004384079664
657,J. Mosquera,Medellín,Medellín,"RWB, RB, RCB",RWB,1,25.0,275000,2026-12-31,16,1183,Colombia,Colombia,right,175,72,yes,6.849168,6.54,3.27332,0.988,4.94,COL,Testing,2025,0.3470045626179979,0.3591140882512379,0.3462983942203033
