Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
14,N. Laméndola,Atlético Tucumán,Atlético Tucumán,"LW, LAMF, LWF",LW,10,27,375000,,15,1186,Argentina,Argentina,right,178,68,no,6.297216000000001,1.29,3.795888000000001,0.3,1.75,0.11,0.228,6.667,0.1,0.83,0.76,0.99,0.46,ARG1,Testing,2026,0.2952825899469672,0.3000615313657989,0.297672060656383
15,J. Palacios,Unión Santa Fe,Unión Santa Fe,"RW, LW",RW,10,27,450000,2026-12-31,17,1412,Argentina,Argentina,right,169,68,no,4.398104,2.42,1.595136,1.02,2.1,0.13,0.445603,10.0,0.24,2.1,1.59,1.21,0.83,ARG1,Testing,2026,0.5214412294696155,0.5067548487659362,0.5140980391177759
16,Rick,Talleres Córdoba,Talleres Córdoba,"LAMF, CF, RW",LAMF,10,26,2500000,2028-12-31,15,1043,Brazil,Brazil,right,170,70,no,5.43444,2.42,3.453795,1.29,1.98,0.14,0.949905,6.061,0.1,0.78,0.86,1.12,0.43,ARG1,Testing,2026,0.3886558660692554,0.3972904150661749,0.392973140567715
17,M. Pellegrini,Vélez Sarsfield,Vélez Sarsfield,"RAMF, LAMF",RAMF,10,26,2200000,2026-12-31,12,801,Argentina,Argentina,right,176,68,no,3.369939,3.6,1.234014,0.45,2.36,0.28,1.008981,15.789,0.23,1.69,1.35,0.79,1.12,ARG1,Testing,2026,0.6221386688957541,0.5990980028072205,0.6106183358514872
18,J. Campaz,Rosario Central,Rosario Central,"LAMF, AMF",LAMF,10,26,0,2026-12-31,12,821,Colombia,Colombia,left,165,65,no,6.908665999999999,3.29,4.935762,0.11,2.41,0.19,1.315275,3.846,0.27,1.75,1.32,2.08,0.88,ARG1,Testing,2026,0.6336475656865876,0.6319717885104266,0.632809677098507
19,J. Córdoba,Instituto,Instituto,"RWF, RW",RWF,11,25,700000,2028-06-30,12,884,Colombia,Colombia,right,183,77,yes,4.3774,3.77,2.341109,0.81,3.05,0.24,0.8159489999999999,6.667,0.15,0.92,0.61,1.02,0.51,ARG1,Testing,2026,0.4543398041616316,0.4523188102602022,0.4533293072109169
20,H. López,Argentinos Juniors,Argentinos Juniors,"RWF, CF, RAMF",RWF,11,25,0,2026-12-31,14,888,Argentina,Argentina,left,169,67,yes,4.661418,2.64,1.6215,0.3,2.03,0.25,1.21836,7.692,0.18,1.42,1.82,0.51,0.3,ARG1,Testing,2026,0.4204761298478391,0.4400809796644107,0.4302785547561249
21,S. Montiel,Independiente,Independiente,"RW, RAMF, RWF",RW,10,25,0,2028-12-31,12,702,Argentina,Argentina,left,166,60,no,4.87032,2.56,2.819243,0.26,2.31,0.23,1.154092,5.882,0.14,0.9,1.28,0.38,0.51,ARG1,Testing,2026,0.4065311045958518,0.4172458308755695,0.4118884677357106
22,F. Lencioni,Gimnasia Mendoza,Gimnasia Mendoza,"LW, LAMF, LCMF",LW,10,25,0,2028-12-31,16,1446,Argentina,Argentina,left,180,78,no,3.734652,1.06,1.869593,0.19,0.5,0.16,0.498348,5.714,0.11,1.37,0.56,0.68,0.12,ARG1,Testing,2026,0.2842560877669542,0.2703876452618343,0.2773218665143942
23,G. Baroni,Talleres Córdoba,Talleres Córdoba,"RW, AMF, RAMF",RW,10,17,0,2028-12-31,13,741,Argentina,Argentina,unknown,0,0,no,3.03424,0.85,1.095,0.0,1.7,0.1,0.4853940000000001,0.0,0.13,1.58,0.24,0.36,0.0,ARG1,Testing,2026,0.2279665617006758,0.1934990707229742,0.210732816211825
