Liga,Temporada,player_id,Atleta,Clube,Minutos,most_played_position,função,Posição,Passes criativos (p90),xT Passes no último terço (p90),xT Passes para último terço (p90),xT Passes (p90),xT Cruzamentos (p90)
BRA1,2024,20241.0,Marcelo,Fluminense,1151.0,DL,Lateral,Lateral,0.0565584090172309,0.0121274865919453,1.583147222636314,0.3548565648182679,0.2389568895144474
BRA1,2024,74447.0,Marcos Rocha,Palmeiras,2178.0,DR,Lateral,Lateral,0.9972377504433252,0.4844948847488683,2.6139674697828736,1.2531062471307004,-0.6085841272574679
BRA1,2024,83705.0,Damián Suárez,Botafogo RJ,1394.0,DR,Lateral,Lateral,0.4506173034181753,-0.4575830340968889,0.0003152261531858,-0.7515854138368883,-0.159671989881465
BRA1,2024,87833.0,Raúl Cáceres,Vitoria,1898.0,DR,Lateral,Lateral,0.0889965699862123,-0.5875290001319377,-1.0425290479801472,-1.0738803096118992,0.2658666300083621
BRA1,2024,88112.0,Santiago Arias,Bahia,2108.0,DR,Lateral,Lateral,1.1903246811963648,1.955179015432931,-0.1983392898185766,1.399772012844789,0.6139552267595496
BRA1,2024,93433.0,Diogo Barbosa,Fluminense,2088.0,DL,Lateral,Lateral,-0.5781423058174233,-0.3317591507421814,1.0601329390981875,0.105456500036889,-0.981913562074086
BRA1,2024,97813.0,Miguel Trauco,Criciuma,1646.0,DL,Lateral,Lateral,-1.0078456561365992,-1.308802746942597,0.9191333011672486,-0.1400375563392346,-0.7700886331966328
BRA1,2024,102166.0,Fágner,Corinthians,1030.0,DR,Lateral,Lateral,1.152388613997161,0.1700261897973864,-0.4345513415499797,-0.5396823586783552,0.6472518859882929
BRA1,2024,110930.0,Reinaldo,Gremio,2842.0,DL,Lateral,Lateral,0.851623976532939,0.6167202448351885,0.9239993077443928,0.7553351503321646,-0.1808473993299893
BRA1,2024,114105.0,Renê,Internacional,1168.0,DL,Lateral,Lateral,0.0077344350839612,2.128447831825247,5.107448019112303,3.1981625539974226,-0.9377221927685524
BRA1,2024,114194.0,Madson,Athletico Paranaense,1110.0,DR,Lateral,Lateral,-0.4131944785637437,-1.3907310288392754,-1.4001759767237922,-1.9325795302869164,-1.726690244229902
BRA1,2024,119542.0,Gilberto,Bahia,1488.0,DR,Lateral,Lateral,0.3642299593697695,1.8934037702038204,0.3324975258722192,1.664914918080412,0.6316882767486808
BRA1,2024,121718.0,Marçal,Botafogo RJ,1138.0,DL,Lateral,Lateral,-0.6887212356437095,0.203027598148281,-0.071347212141862,0.4366616311664064,0.2260887358971716
BRA1,2024,130563.0,Mayke,Palmeiras,1178.0,DR,Lateral,Lateral,0.3871584667699274,-0.6544413314016237,0.0574902663980043,-0.1002121791939949,-1.1367927491103824
BRA1,2024,144146.0,Leonardo Godoy,Athletico Paranaense,1813.0,DR,Lateral,Lateral,-1.4415268470148253,-1.2732829112501465,-0.6475859810066232,-1.7351487071353036,-1.2448120053953344
BRA1,2024,145385.0,Guillermo Varela,Flamengo,1168.0,DR,Lateral,Lateral,-1.0606263321997145,-0.0835203320498848,-1.1222485539915372,-0.8130840729794825,0.495480164701359
BRA1,2024,146526.0,Tinga,Fortaleza,2437.0,DR,Lateral,Lateral,0.9538031626625172,-0.4318508360535812,0.9947350838388184,0.352005089214805,-0.2320487731502427
BRA1,2024,146674.0,Alan Ruschel,Juventude,2546.0,DL,Lateral,Lateral,-0.06517556930212,-0.7169412798443516,-0.1619602932196461,-0.4719343012281135,-0.0669204081753945
BRA1,2024,243212.0,João Pedro,Gremio,3061.0,DR,Lateral,Lateral,-0.1510650862373264,-0.1428579093201877,-0.4510890391422095,-0.2349714700623529,-1.3818960509764058
BRA1,2024,243276.0,William,Cruzeiro,3318.0,DR,Lateral,Lateral,0.8871006043438476,1.8922863241669603,0.5252749552763958,1.5364498568347975,2.4169587184196266
BRA1,2024,255362.0,Marcelo Hermes,Criciuma,3596.0,DL,Lateral,Lateral,1.864297096848018,0.3491257163209276,0.0774375611223857,0.2983531069039379,1.6419707556484862
BRA1,2024,280413.0,Samuel Xavier,Fluminense,3061.0,DR,Lateral,Lateral,-1.060394630403334,0.4562307621376452,0.1467040478312511,0.2482411726675434,-0.5194440392031904
BRA1,2024,297581.0,Ayrton Lucas,Flamengo,2644.0,DL,Lateral,Lateral,-0.7263555543510984,0.3504440632487286,-0.2460173835318631,0.1568479878319294,0.0826653307329481
BRA1,2024,328564.0,Fabricio Bustos,Internacional,961.0,DR,Lateral,Lateral,2.0907506661461848,1.8760022918571035,0.1037370305283229,1.454260208137693,-0.3035317337214522
BRA1,2024,337900.0,Juninho Capixaba,Red Bull Bragantino,2069.0,DL,Lateral,Lateral,-0.5901279996467749,-0.1149636402990873,0.6929153686631992,0.5446162690045566,-0.3101185017373083
BRA1,2024,337971.0,Bruno Pacheco,Fortaleza,1368.0,DL,Lateral,Lateral,-1.543455005465593,-1.624234870749906,-0.4658402955245551,-1.3048636833931166,-1.6465769601334297
BRA1,2024,341745.0,Marlon,Cruzeiro,2436.0,DL,Lateral,Lateral,0.4097100762754621,0.2394441885477285,0.4425842339281506,0.6238809290611926,-0.024754349416651
BRA1,2024,358143.0,Felipe Jonatan,Fortaleza,1689.0,DL,Lateral,Lateral,-1.0145872089518362,-0.993150663953172,0.3339626217744333,-0.1662286962708588,-0.3275247300408838
BRA1,2024,358560.0,Willean Lepo,Vitoria,2055.0,DR,Lateral,Lateral,0.5213079656878191,-0.5459877340224916,-0.7269815913160608,0.0388020001864322,0.1057347419272317
