Unnamed: 0,Duelos_Ofensivos_Ganhos,Pisadas_Área,Dribles_BemSucedidos,Acelerações,Passes_Longos_Recebidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Deep_Completions,Deep_Completed_Crosses,Passes_Chave,Rating,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Liga,Base,Versão_Temporada,Role,L_Rating,L_Ranking,Size,L_Percentil,Duelos_Ofensivos_Ganhos_LM,Pisadas_Área_LM,Dribles_BemSucedidos_LM,Acelerações_LM,Passes_Longos_Recebidos_LM,xG_LM,Finalizações_NoAlvo_LM,Conversão_Gols_LM,xA_LM,Assistência_Finalização_LM,Deep_Completions_LM,Deep_Completed_Crosses_LM,Passes_Chave_LM,Duelos_Ofensivos_Ganhos_Rank,Pisadas_Área_Rank,Dribles_BemSucedidos_Rank,Acelerações_Rank,Passes_Longos_Recebidos_Rank,xG_Rank,Finalizações_NoAlvo_Rank,Conversão_Gols_Rank,xA_Rank,Assistência_Finalização_Rank,Deep_Completions_Rank,Deep_Completed_Crosses_Rank,Passes_Chave_Rank,Duelos_Ofensivos_Ganhos_Percentil,Pisadas_Área_Percentil,Dribles_BemSucedidos_Percentil,Acelerações_Percentil,Passes_Longos_Recebidos_Percentil,xG_Percentil,Finalizações_NoAlvo_Percentil,Conversão_Gols_Percentil,xA_Percentil,Assistência_Finalização_Percentil,Deep_Completions_Percentil,Deep_Completed_Crosses_Percentil,Passes_Chave_Percentil
1017,0.151915,0.220196,0.161733,0.049751,0.421412,0.176471,0.259638,0.191489,0.21875,0.242424,0.154705,0.368272,0.28877,0.401681,D. Krugovoy,CSKA Moskva,CSKA Moskva,"RAMF, RW, LB",RAMF,10,28,1800000,2028-06-30,30,2690,Russia,Russia,left,175,70,no,RUS,Testing,2026,Extremo Agudo,0.402,12,27,55,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,26,23.0,21.0,23.0,6.0,22.5,14.0,10.0,10.5,15.5,15.0,5.0,6.0,3,14,22,14,77,16,48,62,61,42,44,81,77
1018,0.225335,0.357644,0.165298,0.422886,0.202733,0.441176,0.489857,0.159569,0.125,0.170163,0.188198,0.144476,0.240642,0.387725,I. Oleynikov,Krylya Sovetov,Krylya Sovetov,"LAMF, CF, RWF",LAMF,10,27,1300000,2027-06-30,25,1597,Russia,Russia,right,178,70,no,RUS,Testing,2026,Extremo Agudo,0.388,13,27,51,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,19,10.0,19.0,1.0,24.0,2.5,2.0,14.0,21.0,23.0,12.5,20.0,10.5,29,62,29,96,11,90,92,48,22,14,53,25,61
1015,0.406541,0.207574,0.373712,0.119403,0.287016,0.25,0.384082,0.204539,0.109375,0.181818,0.143541,0.254958,0.128342,0.374626,D. Lesovoy,Nizhny Novgorod,Nizhny Novgorod,"LWF, LW, LAMF",LWF,11,28,1500000,2028-06-30,25,1501,Russia,"Russia, Ukraine",right,177,71,no,RUS,Testing,2026,Extremo Agudo,0.375,14,27,48,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,7,24.0,4.0,11.0,15.5,16.5,5.0,9.0,23.5,22.0,17.5,11.5,25.0,74,11,85,59,42,38,81,66,12,18,35,57,7
1013,0.188085,0.232819,0.161898,0.124378,0.261959,0.367647,0.234079,0.400003,0.03125,0.088578,0.090909,0.053824,0.032086,0.371028,M. Kramarič,Sochi,Sochi,"RW, CF, AMF",RW,10,28,800000,2026-06-30,19,1492,Slovenia,Slovenia,right,178,72,no,RUS,Testing,2026,Extremo Agudo,0.371,15,27,44,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,21,22.0,20.0,9.5,19.0,7.0,18.0,1.0,27.0,27.0,25.0,27.0,27.0,22,18,25,64,29,74,33,96,0,0,7,0,0
1008,0.253581,0.420757,0.11495,0.024876,0.271071,0.441176,0.249699,0.230774,0.125,0.242424,0.218501,0.124646,0.176471,0.360793,Victor Sá,Krasnodar,Krasnodar,LAMF,LAMF,10,32,2000000,2026-06-30,22,1723,Brazil,Brazil,right,178,72,no,RUS,Testing,2026,Extremo Agudo,0.361,16,27,40,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,16,7.0,23.0,26.5,18.0,2.5,15.0,5.5,21.0,15.5,7.0,22.5,20.5,40,74,14,1,33,90,44,79,22,42,74,16,24
1034,0.2863,0.295933,0.169483,0.208955,0.455581,0.323529,0.315169,0.227279,0.09375,0.135198,0.127592,0.135977,0.197861,0.358538,K. Glebov,CSKA Moskva,CSKA Moskva,"LAMF, LW, LWF",LAMF,10,20,0,2028-06-30,22,1695,Russia,Russia,right,174,70,no,RUS,Testing,2026,Extremo Agudo,0.359,17,27,37,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,13,18.0,18.0,4.0,4.5,10.0,9.0,7.0,25.0,24.0,21.5,21.0,18.0,51,33,33,85,83,62,66,74,7,11,20,22,33
1016,0.238889,0.339411,0.175034,0.104478,0.29385,0.176471,0.152229,0.09678,0.28125,0.289044,0.23126,0.269122,0.42246,0.350885,João Batxi,Krasnodar,Krasnodar,"RAMF, LAMF",RAMF,10,28,0,2029-06-30,30,2218,Portugal,"Portugal, Angola",right,174,69,no,RUS,Testing,2026,Extremo Agudo,0.351,18,27,33,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,17,13.0,16.0,16.5,14.0,22.5,22.0,24.0,5.5,8.0,6.0,10.0,2.0,37,51,40,38,48,16,18,11,79,70,77,62,92
1032,0.214941,0.384292,0.135628,0.024876,0.207289,0.294118,0.328051,0.140624,0.109375,0.130536,0.089314,0.291785,0.139037,0.350277,M. Boldyrev,Akron Togliatti,Akron Togliatti,"LWF, CF, LW",LWF,11,22,0,2030-06-30,24,1753,Russia,Russia,right,187,68,no,RUS,Testing,2026,Extremo Agudo,0.35,19,27,29,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,20,8.5,22.0,26.5,22.0,12.0,8.0,19.0,23.5,25.0,26.0,8.0,24.0,25,68,18,1,18,55,70,29,12,7,3,70,11
1010,0.376429,0.126227,0.390002,0.179104,0.348519,0.088235,0.141093,0.107144,0.21875,0.251748,0.114833,0.526912,0.245989,0.34904,A. Zinkovskiy,Sochi,Sochi,"LW, LAMF, LWF",LW,10,30,3000000,2027-06-30,28,1841,Russia,Russia,right,175,67,yes,RUS,Testing,2026,Extremo Agudo,0.349,20,27,25,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,10,26.0,2.0,5.0,10.0,25.0,23.0,22.0,10.5,14.0,23.0,1.0,9.0,62,3,92,81,62,7,14,18,61,48,14,96,66
1026,0.297665,0.245442,0.230625,0.104478,0.246014,0.294118,0.282728,0.256094,0.125,0.202797,0.145136,0.082153,0.197861,0.346133,M. Petrov,Baltika,Baltika,"RWF, LWF, RW",RWF,11,25,500000,2030-06-30,26,2180,Russia,Russia,right,169,59,no,RUS,Testing,2026,Extremo Agudo,0.346,21,27,22,0.299277,0.336294,0.239918,0.124378,0.322028,0.272331,0.271568,0.171549,0.195023,0.254252,0.182527,0.23156,0.230343,12,20.5,13.0,16.5,21.0,12.0,11.0,3.0,21.0,18.0,16.0,26.0,18.0,55,24,51,38,22,55,59,88,22,33,40,3,33
